pair,label,split,seed,direction,population,total_n,n,fraction,active_n,action_rate,mean_abs_movement,harm_n,benefit_n,harm_rate,benefit_rate,utility,contribution,mean_loss,conditional_loss
mkgw_mhyper_adamf,W-A,test,2,tail,all,4274,4274,1.0,374,0.08750584932147872,0.015219934487599441,51,213,0.011932615816565278,0.049836218998596166,0.0020797778139534247,0.0020797778139534247,0.0012399395198941648,0.10391179427505216
mkgw_mhyper_adamf,W-A,test,3,head,all,4274,4274,1.0,1276,0.2985493682732803,0.06065746373420683,229,911,0.053579784744969584,0.21314927468413664,0.0009139172842394419,0.0009139172842394419,0.0007409112405135282,0.013828186209409688
mkgw_mhyper_adamf,W-A,test,3,tail,all,4274,4274,1.0,356,0.0832943378568086,0.014962564342536266,55,222,0.012868507253158634,0.05194197473093121,0.0013053387747172795,0.0013053387747172795,0.0014363426093375931,0.11161687840561585
mkgw_mhyper_adamf,W-A,test,1,head,ties,4274,319,0.07463734206832008,27,0.08463949843260188,0.013793103448275864,0,8,0.0,0.025078369905956112,0.003968524281706297,0.0002962001043201472,0.0,
mkgw_mhyper_adamf,W-A,test,1,tail,ties,4274,1343,0.314225549836219,25,0.018615040953090096,0.002866716306775875,0,3,0.0,0.0022338049143708115,0.0004964228640601255,0.00015598874741056353,0.0,
mkgw_mhyper_adamf,W-A,test,2,head,ties,4274,364,0.08516612072999533,47,0.12912087912087913,0.020467032967032964,1,7,0.0027472527472527475,0.019230769230769232,0.0031936630148789503,0.0002719918898961015,0.00045787545787545793,0.16666666666666669
mkgw_mhyper_adamf,W-A,test,2,tail,ties,4274,1423,0.3329433785680861,54,0.03794799718903725,0.0065003513703443426,2,3,0.0014054813773717498,0.0021082220660576245,0.0009838369641602248,0.0003275620028076743,7.027406886858748e-05,0.04999999999999999
mkgw_mhyper_adamf,W-A,test,3,head,ties,4274,356,0.0832943378568086,34,0.09550561797752809,0.01573033707865169,1,3,0.0028089887640449437,0.008426966292134831,0.0007584976531948305,6.317855978880666e-05,6.688068485821294e-05,0.023809523809523808
mkgw_mhyper_adamf,W-A,test,3,tail,ties,4274,1413,0.3306036499766027,36,0.025477707006369428,0.004246284501061571,1,7,0.0007077140835102619,0.004953998584571833,0.0013465058590532816,0.0004451597517178959,0.00011795234725171032,0.16666666666666669
mkgw_mhyper_adamf,W-A,test,1,head,non_ties,4274,3955,0.9253626579316799,1173,0.2965865992414665,0.06031605562579013,228,825,0.05764854614412136,0.20859671302149177,0.0001294234509218718,0.00011976362854375362,0.002113138965549049,0.03665554652958986
mkgw_mhyper_adamf,W-A,test,1,tail,non_ties,4274,2931,0.685774450163781,348,0.1187308085977482,0.019771409075400887,52,231,0.017741385192766974,0.07881269191402251,0.0009494716833423951,0.0006511234215902105,0.0024113130511934384,0.13591458755861474
mkgw_mhyper_adamf,W-A,test,2,head,non_ties,4274,3910,0.9148338792700047,1578,0.40358056265984654,0.08345268542199487,312,1120,0.07979539641943734,0.2864450127877238,0.0003163066156678893,0.0002893680082502216,0.0016233418951433075,0.020343803878238243
mkgw_mhyper_adamf,W-A,test,2,tail,non_ties,4274,2851,0.6670566214319139,320,0.11224131883549632,0.01957207997193967,49,210,0.017186951946685375,0.07365836548579446,0.0026267872244254424,0.00175221581114575,0.0018237465829630518,0.10611227567403389
mkgw_mhyper_adamf,W-A,test,3,head,non_ties,4274,3918,0.9167056621431914,1242,0.3169984686064318,0.064739663093415,228,908,0.05819295558958652,0.23175089331291476,0.0009280391292246082,0.0008507387244506353,0.0008021554666016576,0.013784408412917958
mkgw_mhyper_adamf,W-A,test,3,tail,non_ties,4274,2861,0.6693963500233973,320,0.1118490038448095,0.020255155540020973,54,215,0.018874519398811605,0.07514854945823139,0.0012850070409994284,0.0008601790229993833,0.0020874734867676356,0.11059743788226306
db15k_mhyper_native,D-N,dev_oof,1,head,all,7922,7922,1.0,1335,0.16851805099722292,0.013834890179247664,222,519,0.02802322645796516,0.06551375915172936,-0.00013719544585535443,-0.00013719544585535443,0.0008033030087360924,0.028665614573005965
db15k_mhyper_native,D-N,dev_oof,1,tail,all,7922,7922,1.0,89,0.011234536733148195,0.0008520575612219138,14,26,0.0017672304973491543,0.003281999495077001,-5.3031356710566454e-05,-5.3031356710566454e-05,6.724087574844555e-05,0.03804872983422756
db15k_mhyper_native,D-N,dev_oof,2,head,all,7922,7922,1.0,754,0.09517798535723303,0.006488260540267612,98,297,0.01237061348144408,0.0374905326937642,0.00011790370377866788,0.00011790370377866788,0.00026211435486633405,0.021188468563786717
db15k_mhyper_native,D-N,dev_oof,2,tail,all,7922,7922,1.0,38,0.004796768492804847,0.0004670537742994194,10,11,0.0012623074981065387,0.0013885382479171926,7.182367985788412e-05,7.182367985788412e-05,2.36388957980632e-05,0.018726733251225668
db15k_mhyper_native,D-N,dev_oof,3,head,all,7922,7922,1.0,2353,0.29702095430446857,0.027448876546326682,419,1006,0.052890684170663976,0.1269881343095178,-0.00012813762632104847,-0.00012813762632104847,0.0018628746158723408,0.035221223644249844
db15k_mhyper_native,D-N,dev_oof,3,tail,all,7922,7922,1.0,238,0.030042918454935622,0.001994445847008332,20,70,0.0025246149962130774,0.008836152486745772,7.572176821462915e-05,7.572176821462915e-05,5.080967367533029e-05,0.020125711742798324
db15k_mhyper_native,D-N,dev_oof,1,head,ties,7922,1178,0.14869982327695028,238,0.20203735144312393,0.016723259762308998,3,2,0.0025466893039049238,0.001697792869269949,-0.00021121351766513057,-3.140741275050793e-05,0.00035370684776457275,0.1388888888888889
db15k_mhyper_native,D-N,dev_oof,1,tail,ties,7922,2338,0.2951274930573088,11,0.004704875962360992,0.000278015397775877,0,0,0.0,0.0,0.0,0.0,0.0,
db15k_mhyper_native,D-N,dev_oof,2,head,ties,7922,1165,0.14705882352941177,128,0.10987124463519313,0.00733905579399142,2,2,0.0017167381974248926,0.0017167381974248926,-2.8612303290414874e-05,-4.207691660355128e-06,0.00021459227467811158,0.125
db15k_mhyper_native,D-N,dev_oof,2,tail,ties,7922,2377,0.30005049229992425,4,0.0016827934371055953,0.00021034917963819945,1,0,0.00042069835927639884,0.0,-7.011639321273314e-05,-2.1038458301775647e-05,7.011639321273314e-05,0.16666666666666669
db15k_mhyper_native,D-N,dev_oof,3,head,ties,7922,1136,0.1433981317849028,394,0.34683098591549294,0.03265845070422535,6,19,0.00528169014084507,0.016725352112676055,0.0022754658690432215,0.00032629755456110827,0.00029276034997865986,0.05542929292929293
db15k_mhyper_native,D-N,dev_oof,3,tail,ties,7922,2333,0.2944963393082555,50,0.021431633090441493,0.001264466352336049,1,0,0.0004286326618088298,0.0,-5.953231414011528e-06,-1.7532048584813045e-06,5.953231414011528e-06,0.013888888888888895
db15k_mhyper_native,D-N,dev_oof,1,head,non_ties,7922,6744,0.8513001767230497,1097,0.16266310794780545,0.013330367734282323,219,517,0.032473309608540925,0.07666073546856465,-0.00012426642916023048,-0.00010578803310484655,0.0008818356714917937,0.0271557067056651
db15k_mhyper_native,D-N,dev_oof,1,tail,non_ties,7922,5584,0.7048725069426912,78,0.013968481375358166,0.0010924068767908309,14,26,0.002507163323782235,0.004656160458452722,-7.523538822727569e-05,-5.3031356710566454e-05,9.539437995687422e-05,0.03804872983422756
