pair,label,split,alignment,n,population_n,mass,utility,utility_contribution,harm_rate,benefit_rate,conditional_loss,loss_p95,mean_loss,mean_gain
db15k_mhyper_adamf,D-A,test,tied_endpoints,27,59412,0.00045445364572813574,0.0051440329218107005,2.3377245150624274e-06,0.037037037037037035,0.07407407407407407,0.08333333333333331,0.08333333333333331,0.003086419753086419,0.00823045267489712
db15k_mhyper_adamf,D-A,test,winner_aligned,139,59412,0.0023395946946744763,0.10547091871575841,0.00024675920186983133,0.02158273381294964,0.9568345323741008,0.00018740755470943366,0.0005004528533700151,4.044767367829503e-06,0.10547496348312624
db15k_mhyper_adamf,D-A,test,winner_opposed,101,59412,0.0016999932673533967,-0.022084403386496965,-3.754333707056139e-05,0.5148514851485149,0.38613861386138615,0.05360738348671015,0.5,0.027599841003058692,0.00551543761656173
mkgw_native_adamf,W-NA,dev_oof,all,25656,25656,1.0,0.00014695963382712314,0.00014695963382712314,0.009900218272528844,0.01633146242594325,0.08817340725960729,0.5,0.0008729359777026915,0.0010198956115298147
mkgw_native_adamf,W-NA,dev_oof,unchanged,24627,25656,0.9598924228250701,0.0,0.0,0.0,0.0,,,0.0,0.0
mkgw_native_adamf,W-NA,dev_oof,tied_endpoints,206,25656,0.008029310882444652,-0.0019270353965798927,-1.547276628061498e-05,0.02912621359223301,0.04854368932038835,0.2888888888888889,0.5,0.008414239482200648,0.006487204085620753
mkgw_native_adamf,W-NA,dev_oof,winner_aligned,435,25656,0.01695509822263798,0.05063590857684396,0.0008585368035129062,0.03218390804597701,0.7954022988505747,0.043616810320477636,0.22916666666666652,0.0014037594126130736,0.052039667989457035
mkgw_native_adamf,W-NA,dev_oof,winner_opposed,388,25656,0.015123168069847209,-0.046029006633409766,-0.000696104403405168,0.6030927835051546,0.16237113402061856,0.08569263575265057,0.5,0.051680610221959355,0.005651603588549583
mkgw_native_adamf,W-NA,test,all,25644,25644,1.0,0.00013891958603661343,0.00013891958603661343,0.009163936983309936,0.0156761815629387,0.09279438885062805,0.5,0.0008503619318319136,0.000989281517868527
mkgw_native_adamf,W-NA,test,unchanged,24718,25644,0.9638901887381064,0.0,0.0,0.0,0.0,,,0.0,0.0
mkgw_native_adamf,W-NA,test,tied_endpoints,165,25644,0.006434253626579317,0.0011478930780189243,7.385835200168558e-06,0.024242424242424242,0.05454545454545454,0.25000000000000006,0.4499999999999999,0.006060606060606061,0.007208499138624985
mkgw_native_adamf,W-NA,test,winner_aligned,402,25644,0.0156761815629387,0.05356165447164136,0.0008396422203088374,0.017412935323383085,0.8308457711442786,0.19763195405501288,0.5,0.003441352433793756,0.05700300690543511
mkgw_native_adamf,W-NA,test,winner_opposed,359,25644,0.013999376072375605,-0.050581430616016804,-0.0007081084694723924,0.6239554317548747,0.16434540389972144,0.08671097188175225,0.5,0.05410378189836351,0.003522351282346707
db15k_native_adamf,D-NA,dev_oof,all,47532,47532,1.0,3.0512798876784747e-05,3.0512798876784747e-05,0.005007153075822604,0.018976689388201632,0.07841883137377631,0.5,0.0003926550927156182,0.00042316789159240294
db15k_native_adamf,D-NA,dev_oof,unchanged,45703,47532,0.9615206597660524,0.0,0.0,0.0,0.0,,,0.0,0.0
db15k_native_adamf,D-NA,dev_oof,tied_endpoints,333,47532,0.00700580661449129,0.004878688212021545,3.417914614582123e-05,0.012012012012012012,0.02702702702702703,0.06607142857142857,0.14916666666666664,0.0007936507936507937,0.005672339005672339
db15k_native_adamf,D-NA,dev_oof,winner_aligned,858,47532,0.018050997222923505,0.01770868752153057,0.00031965946927276845,0.01282051282051282,0.8333333333333334,0.006169154098472526,0.03392857142857142,7.909171921118623e-05,0.01778777924074176
db15k_native_adamf,D-NA,dev_oof,winner_opposed,638,47532,0.013422536396532863,-0.02408828011264118,-0.00032332581654180494,0.3495297805642633,0.27899686520376177,0.08220419487708454,0.5,0.028732814196849296,0.004644534084208115
db15k_native_adamf,D-NA,test,all,59412,59412,1.0,-1.487158520481653e-05,-1.487158520481653e-05,0.005907897394465764,0.020904867703494243,0.07612834054782375,0.5,0.00044975842476749025,0.0004348868395626737
db15k_native_adamf,D-NA,test,unchanged,56996,59412,0.9593348145155861,0.0,0.0,0.0,0.0,,,0.0,0.0
db15k_native_adamf,D-NA,test,tied_endpoints,418,59412,0.007035615700531879,0.0030743869849907,2.1630205341111435e-05,0.014354066985645933,0.03110047846889952,0.09126984126984128,0.16666666666666669,0.0013100934153565734,0.004384480400347272
db15k_native_adamf,D-NA,test,winner_aligned,1184,59412,0.019928633946004175,0.01666040057816394,0.00033201902451602546,0.016891891891891893,0.8353040540540541,0.008055873341355513,0.0341666666666667,0.00013607894157695123,0.016796479519740892
db15k_native_adamf,D-NA,test,winner_opposed,814,59412,0.01370093583787787,-0.026897492216782278,-0.00036852081506195337,0.39926289926289926,0.29484029484029484,0.08003788005489222,0.5,0.03195615604157245,0.005058663824790169
