dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_native_adamf,C0,1,63376,0.033540851641145016,0.029426347831439693,0.09115524408510675,0.40622633173441053,0.47658706330619005,0.07036073157177952,0.5750630447342727,0.20416245897500632,0.2138204961840744,0.009658037209068077,0.5039527410867997,0.5479236189484425,0.04792361894844255,0.5992847152740588,0.6103887907094168,-0.011104075435357963,0.007998247080990117,0.5285579047017986,0.16913852950457559,True,63376,15844
db15k,db15k_native_adamf,C0,2,63376,0.04271886889230402,0.038100523566278334,0.09349646834770817,0.4074728603887907,0.4800993562593246,0.07262649587053388,0.5810451045471386,0.2243436001009846,0.23527595112431515,0.010932351023330539,0.5032520975781034,0.55020398259933,0.05020398259933001,0.6258426341931599,0.6318164604897754,-0.00597382629661547,0.009933552149759278,0.5312401388450615,0.1970653202903124,True,63376,15844
db15k,db15k_native_adamf,C0,3,63376,0.02938467682138128,0.025515512508463397,0.07382858308121153,0.3895323150719515,0.45198083246290033,0.06244851739094881,0.564925806557795,0.20327884372633173,0.2014265305934202,-0.0018523131329115372,0.4945445268190148,0.535931613392156,0.035931613392156,0.5825708212597288,0.5928111587982833,-0.010240337538554467,0.002508867855155275,0.5025244556642474,0.175765225623225,False,63376,15844
db15k,db15k_native_adamf,C1,1,63376,0.033357907418135546,0.0293504788255283,0.11983022482047358,0.40622633173441053,0.4894327995698459,0.0832064678354354,0.5926106834177858,0.20416245897500632,0.2128451730057088,0.008682714030702476,0.5070083995748095,0.5608259401934569,0.060825940193456884,0.6045220468628979,0.6103887907094168,-0.005866743846518863,0.010599830093304514,0.5476491006626696,0.1866519406752919,True,63376,15844
db15k,db15k_native_adamf,C1,2,63376,0.04228696483324429,0.0377871861502965,0.12849323110259145,0.4074728603887907,0.4999062910741396,0.09243343068534887,0.6018008466920913,0.2243436001009846,0.23726761664217116,0.01292401654118655,0.5095842386406011,0.5679057782837366,0.06790577828373656,0.6211010405913546,0.6318164604897754,-0.01071541989842073,0.013616206708982986,0.564846954875355,0.19769643420637426,True,63376,15844
db15k,db15k_native_adamf,C1,3,63376,0.02908121082595167,0.025333872157174423,0.09476754811016418,0.3895323150719515,0.4595802411839011,0.0700479261119496,0.5746202529593329,0.20327884372633173,0.20230918472626264,-0.0009696590000690952,0.5021045322430776,0.5482175013266539,0.04821750132665392,0.5887732535200977,0.5928111587982833,-0.004037905278185594,0.0049021280045373015,0.51704007573367,0.17655411801830231,False,63376,15844
db15k,db15k_native_adamf,C2,1,63376,0.0336393244583653,0.02947478648634853,0.10209536967161924,0.40622633173441053,0.4849235933485689,0.07869726161415835,0.5917909329794917,0.20416245897500632,0.21205766111977403,0.007895202144767716,0.5021231516689432,0.5563039312407109,0.05630393124071087,0.5752746946459849,0.6103887907094168,-0.035114096063431854,0.008037721508901021,0.5295045755758915,0.18144525086778163,True,63376,15844
db15k,db15k_native_adamf,C2,2,63376,0.042795849104548214,0.038081486907846795,0.10487089768716214,0.4074728603887907,0.48509013746729374,0.07761727707850302,0.5907421979770043,0.2243436001009846,0.24061777752861188,0.016274177427627268,0.5140003595275056,0.5644117067035294,0.06441170670352936,0.6011708510043015,0.6318164604897754,-0.0306456094854739,0.0061547906352852275,0.5277690123067214,0.2059009151151783,True,63376,15844
db15k,db15k_native_adamf,C2,3,63376,0.029339555013217933,0.025488074834265812,0.08610848486416506,0.3895323150719515,0.45892705306979986,0.06939473799784834,0.5839985234118472,0.20327884372633173,0.20055382358224053,-0.002725020144091206,0.49265850066631456,0.5462524895366146,0.04625248953661465,0.5567750411976506,0.5928111587982833,-0.03603611760063263,-0.00022337151323210597,0.4992111076049227,0.18901861786052382,False,63376,15844
db15k,db15k_native_adamf,C3,1,63376,0.034946546113991846,0.030058131647444242,0.0768863623016369,0.40622633173441053,0.4612407942221922,0.05501446248778169,0.568627232873745,0.20416245897500632,0.21048240405922403,0.00631994508421771,0.49878932616910276,0.5398794807990303,0.039879480799030254,0.5739049555388881,0.6103887907094168,-0.03648383517052867,0.0055897745474028995,0.491479962133165,0.16913852950457559,True,63376,15844
db15k,db15k_native_adamf,C3,2,63376,0.044088509632342066,0.03865442143805751,0.08296785990506984,0.4074728603887907,0.45777723597017855,0.05030437558138784,0.5676450918254156,0.2243436001009846,0.23816795764181384,0.013824357540829224,0.5166917051382731,0.5537938583532785,0.053793858353278545,0.6002385701201666,0.6318164604897754,-0.031577890369608785,0.0027255054962854745,0.47081098138213945,0.19927421899652886,True,63376,15844
db15k,db15k_native_adamf,C3,3,63376,0.030611656163871043,0.026025231878694256,0.061427251664937114,0.3895323150719515,0.4348883015649583,0.04535598649300676,0.5565566105663533,0.20327884372633173,0.20075616332709045,-0.0025226803992412783,0.49856894371646926,0.5343313090103103,0.03433130901031034,0.5596976720140379,0.5928111587982833,-0.033113486784245416,0.0008791781619754634,0.45913537393499526,0.1724518775639003,False,63376,15844
db15k,db15k_native_adamf,C4,1,63376,0.035161793354490115,0.03013137674653943,0.08067774789828012,0.40622633173441053,0.45551299864768596,0.049286666913275434,0.5617687349758674,0.20416245897500632,0.21254115669021698,0.008378697715210659,0.5085449745466987,0.5438233162762882,0.043823316276288216,0.5829604012931313,0.6103887907094168,-0.027428389416285448,0.0037878061728522953,0.47806879141685077,0.1719785421268539,True,63376,15844
