pair,variant,base_seed,selector_seed,fit_triples,available_directional_rows,loss_rows_per_epoch,epochs,optimization_rows,model_sha256
mkgw_mhyper_adamf,R1_source,3,11,4276,8552,4276,1,4276,6aebd5a90b668f34360fd8c50a9ea1444b457417c0c4f2e9ef30a0a2059b8e60
mkgw_mhyper_adamf,R2_init,3,11,4276,8552,4276,1,4276,6e36ab0c69d6e1dce6ff687cb64d1aef9cd3a9b1eaa2f3a55752b753ce3b0837
mkgw_mhyper_adamf,R3_softplus_fixed,3,11,4276,8552,4276,1,4276,3b2e7cbff3964be90885af83f068426303662a2de6bd437c2068f9c09c84d267
mkgw_mhyper_adamf,R3_softplus,3,11,4276,8552,4276,10,42760,25816eb9bce63d9f7efd1c06ffdedd12928d08cf9efc9fe869d8d42efa6fba65
mkgw_mhyper_adamf,R4_swap,3,11,4276,8552,4276,10,42760,ccfbe142cdf82bed3f33aee0e2245cb1496768b804704672d5e0a0fc089f444f
mkgw_mhyper_adamf,R1_source,3,23,4276,8552,4276,1,4276,b88373e3e58366a73abe968d22d0de7f4deedca6e89b5425314b276e725f0a21
mkgw_mhyper_adamf,R2_init,3,23,4276,8552,4276,1,4276,62fc7335d00a6dc4b1e3cea70115a51268e12b0b2902312459b93a81012d74cc
mkgw_mhyper_adamf,R3_softplus_fixed,3,23,4276,8552,4276,1,4276,e712e08497c72b24a184a58ad3d2f754f625251c40f90d795b513edfaeaa416e
mkgw_mhyper_adamf,R3_softplus,3,23,4276,8552,4276,10,42760,698b346a1e064529a65ad2e202f1c96863aa95aebaac762e374f75aa5635cfc8
mkgw_mhyper_adamf,R4_swap,3,23,4276,8552,4276,10,42760,4f29ab0bf270df52b2ec12522d4f3b3b5dcc4604186d1b7ae6f0829222510a7f
mkgw_mhyper_adamf,R1_source,3,37,4276,8552,4276,1,4276,d4b06ce33e9997af4608059e24dabc448ebb98f4ae26321906a9d752a08f6034
mkgw_mhyper_adamf,R2_init,3,37,4276,8552,4276,1,4276,ea726db3dfd92bcbd7cbb34f8e7a85a2e9f3d2e1fad0868a53cfa968478a9da9
