split,dataset,pair,method,scope,seed,direction,n_observations,mrr,delta_mrr_vs_global,delta_mrr_ci95_low,delta_mrr_ci95_high,harmful_query_rate,harmful_query_rate_ci95_low,harmful_query_rate_ci95_high,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_harm_ci95_low,mean_harm_ci95_high,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,DB15K,M-Hyper + NativE,DynaSemble,seed,3,,19804,0.30986051184786645,-0.0636550209725977,-0.06759690343907002,-0.05982159412258802,0.5020197939810139,0.4938396283579075,0.510149464754595,0.28686124015350434,0.21111896586548173,0.19541203958266634,0.19020943282268302,0.20072362386487677,0.12007788456073641,-4.984461900780352e-06,9942,5681,4181,9902
test,DB15K,M-Hyper + NativE,Anchored Dynamic,seed,1,,19804,0.37674551586700084,0.0013721145971551624,0.0005691843023288858,0.002180644790558145,0.10558473035750353,0.10098969905069682,0.11007877196525954,0.22369218339729346,0.6707230862452029,0.03389004994881413,0.02940700463079929,0.03871465476745105,0.022130350321677462,0.0,2091,4430,13283,9902
test,DB15K,M-Hyper + NativE,Anchored Dynamic,seed,2,,19804,0.3756129887517452,0.0008019464787198388,8.793058573287006e-05,0.0015109609065499983,0.08745707937790345,0.08331650171682488,0.09169864673803273,0.212027873156938,0.7005150474651586,0.03294512465781891,0.027644472654065864,0.03834325273051441,0.01737144652819958,0.0,1732,4199,13873,9902
test,DB15K,M-Hyper + NativE,Anchored Dynamic,seed,3,,19804,0.37515570616824556,0.0016401733477814286,0.0008196205585573632,0.0024517001073449006,0.09907089476873358,0.09452635831145223,0.10351444152696425,0.23439709149666735,0.666532013734599,0.03629024321200758,0.03117773578119357,0.04153918669252113,0.022335943593585154,0.0,1962,4642,13200,9902
test,MKG-W,M-Hyper + AdaMF-MAT,Global,seed,1,,8548,0.3606102414333147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,8548,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Global,seed,2,,8548,0.3588541218335704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,8548,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Global,seed,3,,8548,0.3596984551613601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0,0,8548,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Query-soft,seed,1,,8548,0.3500867653263637,-0.010523476106951089,-0.013725931098874204,-0.00735586726484739,0.24403369209171735,0.23373888628919046,0.2542115114646701,0.42922321010762754,0.32674309780065514,0.11834181690849632,0.10926331388055839,0.12766598846777577,0.04276542826625932,0.0,2086,3669,2793,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Query-soft,seed,2,,8548,0.35332157215622945,-0.005532549677341036,-0.00856335305870175,-0.002471259703452895,0.23900327562002807,0.22870846981750118,0.2491810949929808,0.42840430510060834,0.3325924192793636,0.10531464146303238,0.09678984404243846,0.11413979534314564,0.04583986288013762,0.0,2043,3662,2843,4274
test,MKG-W,M-Hyper + AdaMF-MAT,Query-soft,seed,3,,8548,0.35400281537731004,-0.005695639784049995,-0.008989386657733654,-0.002450021473010353,0.23748245203556387,0.22730463266261114,0.24766027140851662,0.4349555451567618,0.32756200280767434,0.11223777095175667,0.10316097419635235,0.1213839401620137,0.04818621467402008,0.0,2030,3718,2800,4274
