split,pool,aggregation,decile,quota_fraction,pairs,n,method,accepted,intervention,harm_all,harm_accepted,harm_active,utility,mean_loss,mean_movement,accepted_random_lo,accepted_random_hi,accepted_valid_draws,intervention_random_lo,intervention_random_hi,intervention_valid_draws,harm_all_random_lo,harm_all_random_hi,harm_all_valid_draws,harm_accepted_random_lo,harm_accepted_random_hi,harm_accepted_valid_draws,harm_active_random_lo,harm_active_random_hi,harm_active_valid_draws,utility_random_lo,utility_random_hi,utility_valid_draws,mean_loss_random_lo,mean_loss_random_hi,mean_loss_valid_draws,mean_movement_random_lo,mean_movement_random_hi,mean_movement_valid_draws
dev_oof,All,micro,4,0.4,4,146376,Confidence,0.367519265453353,0.2077116467180412,0.0396581406787998,0.10790765112647781,0.19092882515458492,6.101655280384775e-05,0.0020230825021128394,0.031256490134994756,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,4,0.4,4,146376,Random,0.3675192654533531,0.17597836916998005,0.033631762122889,0.0915102017343297,0.19111342577186302,-2.218841473825287e-05,0.0014206381749113164,0.01922003775273099,0.367519265453353,0.367519265453353,512.0,0.1748631947860305,0.17715267530196208,512.0,0.03294990298956113,0.03425202902115101,512.0,0.0896548999925645,0.09319791434307384,512.0,0.18739328151893456,0.19445189034372434,512.0,-0.0001497167373169957,9.656263809432089e-05,512.0,0.0013260365567267127,0.001510475806643424,512.0,0.019060638356014657,0.01937364219544188,512.0
dev_oof,All,micro,5,0.5,4,146376,Confidence,0.46417445482866043,0.26526889654041647,0.04988522708640761,0.10747085835393853,0.18805531947770995,7.058202606236381e-05,0.002405855740767208,0.03673450565666497,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,5,0.5,4,146376,Random,0.4641744548286606,0.22185182818990135,0.042531039497595235,0.09162727301159779,0.19170940358360938,-2.8903161576523307e-05,0.0017874043047115928,0.02418595173453128,0.46417445482866043,0.46417445482866043,512.0,0.22060225036891293,0.22303758812920152,512.0,0.041815427392468706,0.04321217276056184,512.0,0.09008558518780171,0.09309468091369363,512.0,0.1885882003724131,0.19462980527397455,512.0,-0.00016427383114794834,9.327440277300797e-05,512.0,0.0016885512957142165,0.0018843034559257606,512.0,0.0240153952833798,0.02434806593977155,512.0
dev_oof,All,micro,6,0.6,4,146376,Confidence,0.5557468437448763,0.31966305951795376,0.06024211619391157,0.10839848551900477,0.18845504477356756,1.2559069047290139e-05,0.0028392426974749134,0.04127794173908276,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,6,0.6,4,146376,Random,0.555746843744876,0.2656853246305747,0.050883205430705854,0.09155824455579731,0.191516900167077,-3.4266661933042463e-05,0.00214184736768678,0.02897531843292274,0.5557468437448763,0.5557468437448763,512.0,0.26450374378313385,0.2669373736131606,512.0,0.050178991091435754,0.05156890473848172,512.0,0.09029109504843388,0.09279207847765157,512.0,0.1890339212991861,0.19413848643422293,512.0,-0.00016096052541301993,8.97371670340779e-05,512.0,0.002044576492140825,0.0022365377728999457,512.0,0.028819119937694697,0.029128221156473733,512.0
dev_oof,All,micro,7,0.7,4,146376,Confidence,0.648098048860469,0.37201453790238836,0.07019593375963272,0.10831066978685726,0.18869137253461638,1.751932943831707e-05,0.0031489725146373296,0.044685262611356774,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,7,0.7,4,146376,Random,0.6480980488604688,0.30961761416232847,0.059290078505014485,0.09148319241087428,0.19149453278944856,-4.272423812655357e-05,0.0024972351719866554,0.03376080092428915,0.648098048860469,0.648098048860469,512.0,0.3085189853527901,0.3107112846368257,512.0,0.0586351246105919,0.05996201563097776,512.0,0.09047261400290937,0.09251997554445217,512.0,0.18948325530751808,0.19374576377763741,512.0,-0.00016091126597386882,8.6609065903271e-05,512.0,0.002406177011390584,0.002581996683043385,512.0,0.03361456966989123,0.03390408946821882,512.0
dev_oof,All,micro,8,0.8,4,146376,Confidence,0.7419658960485326,0.4151773514783844,0.07861944581078865,0.10596099663002044,0.18936352267491607,1.5030411187443068e-05,0.0033784148444480464,0.0469875526042519,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,micro,8,0.8,4,146376,Random,0.7419658960485324,0.35480505897483194,0.06798364368561104,0.09162637265091247,0.19160839554722212,-4.9262700113994695e-05,0.0028592178463391744,0.0386787027180856,0.7419658960485326,0.7419658960485326,512.0,0.3538238850631251,0.35587271820517025,512.0,0.0673660641088703,0.06863146963983166,512.0,0.09079401690514335,0.09249949358230669,512.0,0.1900268445098723,0.19332092964434788,512.0,-0.00014714758806128807,6.32233696688046e-05,512.0,0.0027838628305173036,0.002931560221848538,512.0,0.0385495402251735,0.03879985448434168,512.0
