pair,label,split,method,convention,changed_rows,endpoint_rows,seed,direction,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,W-N,dev,Relation,normalized_endpoint,0,543,2,head,4276,0.19929256274671,0.19144519484794112,0.007847367898768848,0.33886810102899906,0.42586529466791395,0.764733395696913,0.019769340776362367,0.0066991989674810735,0.014546566866249921,,
mkgw_mhyper_native,W-N,dev,Relation,normalized_endpoint,0,543,2,tail,4276,0.5305460739098822,0.5195024163656786,0.011043657544203446,0.181244153414406,0.27338634237605236,0.4546304957904584,0.0752426013769134,0.013637281587256286,0.02468093913145973,,
mkgw_mhyper_native,W-N,dev,Relation,normalized_endpoint,0,543,3,head,4276,0.20244664366965037,0.19591321613478416,0.006533427534866222,0.33419083255378856,0.42726847521047706,0.7614593077642656,0.022450180390896846,0.0075026444758165564,0.014036072010682781,,
mkgw_mhyper_native,W-N,dev,Relation,normalized_endpoint,1,543,3,tail,4276,0.5258814165983311,0.5155132337957664,0.010368182802564657,0.18662301216089802,0.274555659494855,0.46117867165575305,0.09662243783286743,0.018031970390698836,0.02840015319326349,,
mkgw_mhyper_native,W-N,dev,Equal,raw_endpoint,0,0,1,head,4276,0.19391017079213343,0.19429153782097075,-0.0003813670288373032,0.20369504209541628,0.4883068288119738,0.6920018709073901,0.019249234452313715,0.003920973622068579,0.003539606593231277,,
mkgw_mhyper_native,W-N,dev,Equal,raw_endpoint,0,0,1,tail,4276,0.5196862193084725,0.5213228763889308,-0.0016366570804585085,0.10243217960710944,0.24976613657623947,0.3521983161833489,0.10608050873486487,0.010866057723543224,0.009229400643084714,,
mkgw_mhyper_native,W-N,dev,Equal,raw_endpoint,0,0,2,head,4276,0.19197772909883903,0.19144519484794112,0.0005325342508978602,0.18709073900841908,0.5035079513564079,0.6905986903648269,0.01817290789452553,0.0033999827679187136,0.003932517018816574,,
mkgw_mhyper_native,W-N,dev,Equal,raw_endpoint,0,0,2,tail,4276,0.5172180798696602,0.5195024163656786,-0.002284336496018443,0.09681945743685688,0.25444340505144997,0.35126286248830685,0.11753060667408499,0.011379249570409538,0.009094913074391095,,
mkgw_mhyper_native,W-N,dev,Equal,raw_endpoint,0,0,3,head,4276,0.19589758176469813,0.19591321613478416,-1.5634370085998407e-05,0.1999532273152479,0.48573433115060805,0.6856875584658559,0.020615780812656668,0.004122191907114464,0.004106557537028467,,
mkgw_mhyper_native,W-N,dev,Equal,raw_endpoint,0,0,3,tail,4276,0.5161795956848961,0.5155132337957664,0.0006663618891298159,0.09822263797942002,0.25140318054256316,0.34962581852198316,0.10230995438801765,0.010049153611545234,0.01071551550067505,,
mkgw_mhyper_native,W-N,dev,Equal,normalized_endpoint,0,0,1,head,4276,0.19391017079213343,0.19429153782097075,-0.0003813670288373032,0.20369504209541628,0.4883068288119738,0.6920018709073901,0.019249234452313715,0.003920973622068579,0.003539606593231277,,
mkgw_mhyper_native,W-N,dev,Equal,normalized_endpoint,0,0,1,tail,4276,0.5196862193084725,0.5213228763889308,-0.0016366570804585085,0.10243217960710944,0.24976613657623947,0.3521983161833489,0.10608050873486487,0.010866057723543224,0.009229400643084714,,
mkgw_mhyper_native,W-N,dev,Equal,normalized_endpoint,0,0,2,head,4276,0.19197772909883903,0.19144519484794112,0.0005325342508978602,0.18709073900841908,0.5035079513564079,0.6905986903648269,0.01817290789452553,0.0033999827679187136,0.003932517018816574,,
mkgw_mhyper_native,W-N,dev,Equal,normalized_endpoint,0,0,2,tail,4276,0.5172180798696602,0.5195024163656786,-0.002284336496018443,0.09681945743685688,0.25444340505144997,0.35126286248830685,0.11753060667408499,0.011379249570409538,0.009094913074391095,,
mkgw_mhyper_native,W-N,dev,Equal,normalized_endpoint,0,0,3,head,4276,0.19589758176469813,0.19591321613478416,-1.5634370085998407e-05,0.1999532273152479,0.48573433115060805,0.6856875584658559,0.020615780812656668,0.004122191907114464,0.004106557537028467,,
mkgw_mhyper_native,W-N,dev,Equal,normalized_endpoint,0,0,3,tail,4276,0.5161795956848961,0.5155132337957664,0.0006663618891298159,0.09822263797942002,0.25140318054256316,0.34962581852198316,0.10230995438801765,0.010049153611545234,0.01071551550067505,,
mkgw_mhyper_native,W-N,dev,RRF,raw_endpoint,0,0,1,head,4276,0.18469400808321376,0.19429153782097075,-0.009597529737756951,0.3854069223573433,0.43101028999064545,0.8164172123479888,0.05457159810896087,0.02103227167529642,0.011434741937539468,,
