pair,label,split,method,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method,paired_lo,paired_hi,bootstrap_replicates,bootstrap_seed,random_expectation
mkgw_mhyper_adamf,W-A,test,ADC,25644,0.36073485108823533,0.001013911612153524,0.03618780221494307,0.0014250522968633134,0.20293245983465918,0.040038605521759474,0.0,0.0,0.0,2000,20260932,False
mkgw_mhyper_adamf,W-A,test,Random-I,25644,0.36037542371379716,0.0006544842377153692,0.03465658122487228,0.001015057897464764,0.20293245983465918,0.03347079085923597,0.00035942737443815485,6.915046075736907e-05,0.0006731883830774135,2000,20260932,True
mkgw_mhyper_adamf,W-A,test,Head-first,25644,0.35998044246026173,0.00025950298417992305,0.03669474340976447,0.0007965471752508025,0.20293245983465918,0.03343472157229762,0.0007544086279736012,0.0003284854474092568,0.0012055865760236704,2000,20260932,False
mkgw_mhyper_adamf,W-A,test,Tail-first,25644,0.36078618581183025,0.0010652463357484743,0.03263921385119326,0.0009712340880079091,0.20293245983465918,0.03335088129776946,-5.1334723594950004e-05,-0.00040635807286157696,0.0003253015862248562,2000,20260932,False
mkgw_mhyper_adamf,W-A,test,Low-A-gap,25644,0.3611345988807365,0.0014136594046547071,0.03404305100608329,0.0008251065851775525,0.20293245983465918,0.03543908906566838,-0.0003997477925011826,-0.000783988007002202,-1.4688112786183065e-05,2000,20260932,False
mkgw_mhyper_adamf,W-A,test,Gap-agree,25644,0.360765463822813,0.001044524346731171,0.036304788644517236,0.0015074129559202055,0.20293245983465918,0.03741420995164561,-3.0612734577647155e-05,-0.00028562358245285514,0.00022431629538403913,2000,20260932,False
mkgw_mhyper_adamf,W-A,test,Random-shape,25644,0.36080456492512114,0.0010836254490393313,0.03680367174254425,0.0013986386623230553,0.20293245983465918,0.040038605521759474,-6.971383688580714e-05,-0.00019535982723818657,4.747393360997801e-05,2000,20260932,True
mkgw_mhyper_adamf,W-A,test,No-gate,25644,0.36076743551465884,0.0010464960385770253,0.06613632818593043,0.0021773536203858325,0.39603805958508814,0.052322180627047264,-3.258442642350144e-05,-0.00033872867889953896,0.00026767829794496734,2000,20260932,False
db15k_mhyper_native,D-N,dev_oof,ADC,47532,0.38257819381126984,-8.819212839298039e-06,0.01647311285029033,0.0005116635707827677,0.10113186905663553,0.008514264074728604,0.0,0.0,0.0,2000,20260933,False
db15k_mhyper_native,D-N,dev_oof,Random-I,47532,0.3826288670425863,4.185401847717858e-05,0.014800320473351801,0.00038208137756306956,0.10113186905663553,0.006631299872128122,-5.067323131647668e-05,-0.0001737594391386998,6.413569427299044e-05,2000,20260933,True
db15k_mhyper_native,D-N,dev_oof,Head-first,47532,0.382595075926441,8.062902331861721e-06,0.015442228393503324,0.00038396105070105776,0.10113186905663553,0.006940587393755787,-1.6882115171159856e-05,-0.00016569724692010738,0.00012718360860424462,2000,20260933,False
db15k_mhyper_native,D-N,dev_oof,Tail-first,47532,0.38255398571973215,-3.302730437698901e-05,0.01401161322898258,0.00042877034487540816,0.10113186905663553,0.006217916351089795,2.4208091537691055e-05,-0.0001524006494942854,0.00019656198375672638,2000,20260933,False
db15k_mhyper_native,D-N,dev_oof,Low-A-gap,47532,0.38261553196522563,2.8518941116480855e-05,0.01588403601784061,0.00040087511276354446,0.10113186905663553,0.006893250862576792,-3.733815395577897e-05,-0.00019403017133173435,0.00011492946033049582,2000,20260933,False
db15k_mhyper_native,D-N,dev_oof,Gap-agree,47532,0.38262162932729454,3.461630318541358e-05,0.015715728351426407,0.0004690667909683785,0.10113186905663553,0.007041571993604311,-4.3435516024711595e-05,-0.00020670837420158964,0.00012480821259420815,2000,20260933,False
db15k_mhyper_native,D-N,dev_oof,Random-shape,47532,0.3826303389032755,4.332587916641302e-05,0.016214279300580732,0.0004954940145664362,0.10113186905663553,0.008514264074728604,-5.2145092005711e-05,-0.00012374064098371273,1.265528422437155e-05,2000,20260933,True
db15k_mhyper_native,D-N,dev_oof,No-gate,47532,0.38264393723981377,5.69242157046324e-05,0.05299587646217285,0.001417653349800221,0.3532777918034166,0.023041319532104698,-6.574342854393036e-05,-0.0003018299882680372,0.00017467957351510854,2000,20260933,False
db15k_mhyper_native,D-N,test,ADC,59412,0.3744854355331475,-8.12232546308676e-05,0.014239547566148253,0.0006174638032597515,0.07873830202652662,0.007954621961893218,0.0,0.0,0.0,2000,20260934,False
db15k_mhyper_native,D-N,test,Random-I,59412,0.37450668275414123,-5.997603363717411e-05,0.01226596981750856,0.00041496452284107017,0.07873830202652662,0.005410483821835867,-2.1247220993693893e-05,-0.00014685609030758994,0.00010472088380840264,2000,20260934,True
db15k_mhyper_native,D-N,test,Head-first,59412,0.3745418293400474,-2.482944773094693e-05,0.013179155726115936,0.0004195777604828003,0.07873830202652662,0.005793442402208309,-5.639380689992058e-05,-0.00021025333781008075,9.103368616393754e-05,2000,20260934,False
db15k_mhyper_native,D-N,test,Tail-first,59412,0.3745760132928772,9.354505098816756e-06,0.0111256985120851,0.00036559213742898684,0.07873830202652662,0.004870228236719857,-9.057775972968426e-05,-0.000278966870459708,9.426893748733569e-05,2000,20260934,False
db15k_mhyper_native,D-N,test,Low-A-gap,59412,0.37454418203428996,-2.2476753488407362e-05,0.012657375614354002,0.0004545006329958065,0.07873830202652662,0.005730323840301623,-5.8746501142460574e-05,-0.0002327921974264741,0.00011557353583223316,2000,20260934,False
db15k_mhyper_native,D-N,test,Gap-agree,59412,0.3745744310409458,7.772253167370881e-06,0.01398707331852151,0.0004903929613328755,0.07873830202652662,0.005936511142530129,-8.899550779823851e-05,-0.00024902027301140767,7.17104086022426e-05,2000,20260934,False
db15k_mhyper_native,D-N,test,Random-shape,59412,0.3745031903880164,-6.346839976199255e-05,0.01422759888694357,0.0006044959590299518,0.07873830202652662,0.007954621961893218,-1.7754854868875043e-05,-6.552362513667122e-05,3.0036409329814132e-05,2000,20260934,True
db15k_mhyper_native,D-N,test,No-gate,59412,0.3744195098595692,-0.00014714892820924416,0.05325523463273413,0.0014720283751591017,0.3390392513296977,0.02136268767252408,6.592567357837644e-05,-0.00012028310017336082,0.00025962368727551087,2000,20260934,False
db15k_mhyper_adamf,D-A,dev_oof,ADC,47532,0.38262345634737344,3.644332326432074e-05,0.0009256921652781284,0.00012457054044366276,0.003639653286207187,0.000879407557014222,0.0,0.0,0.0,2000,20260935,False
db15k_mhyper_adamf,D-A,dev_oof,Random-I,47532,0.3825636793168339,-2.3333707275248376e-05,0.0006028519245675942,4.9286873095518235e-05,0.003639653286207187,0.00033745643802461395,5.977703053956918e-05,-5.544751242706369e-05,0.00019580347967790515,2000,20260935,True
db15k_mhyper_adamf,D-A,dev_oof,Head-first,47532,0.38255625054679143,-3.076247731769061e-05,0.0007363460405621476,7.178144005714636e-05,0.003639653286207187,0.0003934191702432046,6.720580058201136e-05,-5.8581712955429124e-05,0.00021026983242007917,2000,20260935,False
db15k_mhyper_adamf,D-A,dev_oof,Tail-first,47532,0.38257380264896135,-1.3210375147809072e-05,0.0004838845409408399,6.344919278713307e-05,0.003639653286207187,0.000266136497517462,4.9653698412129806e-05,-8.297329894424573e-05,0.0001926429943766243,2000,20260935,False
db15k_mhyper_adamf,D-A,dev_oof,Low-A-gap,47532,0.38260224281732785,1.5229793218740538e-05,0.0006311537490532694,9.27135717831249e-06,0.003639653286207187,0.00035870571404527485,2.121353004558019e-05,-8.872450198832714e-05,0.0001529013648036144,2000,20260935,False
db15k_mhyper_adamf,D-A,dev_oof,Gap-agree,47532,0.38266139908959795,7.438606548879882e-05,0.0006942691239585963,0.00010186873996465834,0.003639653286207187,0.0007657998821846335,-3.79427422244781e-05,-0.0001816509513987498,9.25407282650523e-05,2000,20260935,False
db15k_mhyper_adamf,D-A,dev_oof,Random-shape,47532,0.3826144647163722,2.7451692263114225e-05,0.0009193505410134165,0.0001142046537159529,0.003639653286207187,0.0008794075570142221,8.991631001206526e-06,-3.7873881948118894e-05,6.513418180102784e-05,2000,20260935,True
db15k_mhyper_adamf,D-A,dev_oof,No-gate,47532,0.38048731248585954,-0.002099700538249607,0.07285618109904907,0.004856127645322555,0.4039383993940924,0.03727909618783136,0.002136143861513938,0.0015806237936947939,0.002663424048101351,2000,20260935,False
db15k_mhyper_adamf,D-A,test,ADC,59412,0.37477821237709275,0.00021155358931433232,0.0009425705244731704,4.833164171053642e-05,0.0044940416077560085,0.0013869252002962366,0.0,0.0,0.0,2000,20260936,False
db15k_mhyper_adamf,D-A,test,Random-I,59412,0.37453065107761496,-3.6007710163448626e-05,0.000810965691996062,7.933460486663274e-05,0.0044940416077560085,0.0005006531798111121,0.000247561299477781,0.00010919500010938055,0.00041618187772403484,2000,20260936,True
db15k_mhyper_adamf,D-A,test,Head-first,59412,0.3744974159247938,-6.924286298462086e-05,0.0010940550730492156,9.653822472699984e-05,0.0044940416077560085,0.0005798491887160843,0.000280796452298953,0.00013090292942283152,0.00046057045682168984,2000,20260936,False
db15k_mhyper_adamf,D-A,test,Tail-first,59412,0.3745100075478038,-5.665123997463292e-05,0.0007574227428802262,9.482620296801832e-05,0.0044940416077560085,0.0004039587962027874,0.00026820482928896494,0.00011027029186512975,0.0004395156040281759,2000,20260936,False
db15k_mhyper_adamf,D-A,test,Low-A-gap,59412,0.3745307093062853,-3.594948149312084e-05,0.0007910859758971251,9.994171620930723e-05,0.0044940416077560085,0.000541978051572073,0.000247503070807453,9.190243615383886e-05,0.00042530274689350214,2000,20260936,False
db15k_mhyper_adamf,D-A,test,Gap-agree,59412,0.37465533458349354,8.86757957151318e-05,0.0010603918400323166,0.00010340047747811979,0.0044940416077560085,0.0012000942570524473,0.0001228777935992006,3.596845010409704e-05,0.00022180612555915423,2000,20260936,False
db15k_mhyper_adamf,D-A,test,Random-shape,59412,0.37477616337653386,0.0002095045887554586,0.00093319290956132,4.822473584344762e-05,0.0044940416077560085,0.0013869252002962366,2.049000558873718e-06,5.383174715808054e-07,4.063809487307573e-06,2000,20260936,True
db15k_mhyper_adamf,D-A,test,No-gate,59412,0.3715776448843108,-0.0029890139034676054,0.08560560156197401,0.0063742469342423225,0.4335151147916246,0.04646199420992393,0.003200567492781947,0.002659834952077576,0.0037594272391873896,2000,20260936,False
mkgw_native_adamf,W-NA,dev_oof,ADC,25656,0.33533867997277395,0.00014695963382712314,0.009900218272528844,0.0008729359777026915,0.04010757717492984,0.008134549423136886,0.0,0.0,0.0,2000,20260937,False
mkgw_native_adamf,W-NA,dev_oof,Random-I,25656,0.3350000734290732,-0.00019164690987365804,0.010110284789656044,0.0006432177268647495,0.04010757717492984,0.003030435269044316,0.0003386065437007798,2.1953914708951893e-06,0.0006832820749345122,2000,20260937,True
mkgw_native_adamf,W-NA,dev_oof,Head-first,25656,0.3348591884318897,-0.0003325319070571174,0.013642033052697225,0.0005887075763432439,0.04010757717492984,0.0021417991892734656,0.0004794915408842414,7.793421415893301e-05,0.0009361233180402466,2000,20260937,False
mkgw_native_adamf,W-NA,dev_oof,Tail-first,25656,0.3351283398527326,-6.338048621424158e-05,0.008263174306205176,0.0008934831779585202,0.04010757717492984,0.003720377299656999,0.00021034012004136446,-0.00022369550800647775,0.0006455523444205136,2000,20260937,False
mkgw_native_adamf,W-NA,dev_oof,Low-A-gap,25656,0.3349722509978969,-0.00021946934104992725,0.014460555035859059,0.00048554393542232045,0.04010757717492984,0.0025802931088244473,0.00036642897487705037,-2.6702852969176484e-05,0.0007884655987747557,2000,20260937,False
mkgw_native_adamf,W-NA,dev_oof,Gap-agree,25656,0.33488641343512243,-0.00030530690382438695,0.009159650763953852,0.000839758215679058,0.04010757717492984,0.0033130651699407533,0.0004522665376515102,2.484156546771392e-05,0.0008898838032387139,2000,20260937,False
mkgw_native_adamf,W-NA,dev_oof,Random-shape,25656,0.33526245794145393,7.073760250709006e-05,0.010056892204898117,0.000889332221882722,0.04010757717492984,0.008134549423136888,7.6222031320033e-05,-8.306923757382811e-05,0.00024557805214604235,2000,20260937,True
mkgw_native_adamf,W-NA,dev_oof,No-gate,25656,0.33179893367146857,-0.003392786667478285,0.21067196757093856,0.010912815691044318,0.7663314624259433,0.05487800124727159,0.003539746301305394,0.0024233188013351743,0.004681136308052879,2000,20260937,False
mkgw_native_adamf,W-NA,test,ADC,25644,0.3442659286460117,0.00013891958603661343,0.009163936983309936,0.0008503619318319136,0.03610981126189362,0.008056465450007797,0.0,0.0,0.0,2000,20260938,False
mkgw_native_adamf,W-NA,test,Random-I,25644,0.3439506835762979,-0.00017632548367718388,0.008202919792483158,0.000701418468219394,0.03610981126189362,0.0030341225794961024,0.00031524506971379596,-6.804207345625122e-05,0.0007084558385557748,2000,20260938,True
mkgw_native_adamf,W-NA,test,Head-first,25644,0.3439335687186429,-0.00019344034133215895,0.011815629386991109,0.0005757360563430482,0.03610981126189362,0.0019751208859772277,0.00033235992736877287,-0.00015602627432128222,0.0008087106390174608,2000,20260938,False
mkgw_native_adamf,W-NA,test,Tail-first,25644,0.3437902371737371,-0.0003367718862379798,0.007253158633598503,0.0008740113002567215,0.03610981126189362,0.0034666978630478857,0.00047569147227459404,5.12966164673808e-06,0.0009449091828705725,2000,20260938,False
mkgw_native_adamf,W-NA,test,Low-A-gap,25644,0.34414422173057096,1.7212670595877365e-05,0.011971611293090002,0.0005723203084822597,0.03610981126189362,0.0027920761191701773,0.00012170691544073625,-0.0002946288051606638,0.0005318759875796789,2000,20260938,False
mkgw_native_adamf,W-NA,test,Gap-agree,25644,0.3437552701359726,-0.0003717389240024604,0.009163936983309936,0.000869596016026297,0.03610981126189362,0.0028018249883013566,0.0005106585100390753,4.333107670633291e-05,0.0009979460688628351,2000,20260938,False
mkgw_native_adamf,W-NA,test,Random-shape,25644,0.3443042974997806,0.0001772884398055331,0.009267039693054334,0.0008364445090687307,0.036109811261893617,0.008056465450007799,-3.836885376891986e-05,-0.00019922059421616703,0.0001233991882918183,2000,20260938,True
mkgw_native_adamf,W-NA,test,No-gate,25644,0.3408774216996875,-0.0032495873602875923,0.2172827951957573,0.011662084043563203,0.7909062548744346,0.05853221026360942,0.003388506946324212,0.0022621364617471736,0.004605439071201422,2000,20260938,False
db15k_native_adamf,D-NA,dev_oof,ADC,47532,0.3210524310780122,3.0512798876784747e-05,0.005007153075822604,0.0003926550927156182,0.038479340233947654,0.004010982075233527,0.0,0.0,0.0,2000,20260939,False
db15k_native_adamf,D-NA,dev_oof,Random-I,47532,0.32087318438766615,-0.000148733891469251,0.00425508174018768,0.00037866292006075435,0.038479340233947654,0.0025650209076007093,0.00017924669034603545,4.517538084571655e-05,0.00031208215510131275,2000,20260939,True
db15k_native_adamf,D-NA,dev_oof,Head-first,47532,0.3207945537200541,-0.00022736455908128122,0.005974922157704283,0.00036680926564769845,0.038479340233947654,0.002837036101994446,0.000257877357958066,8.160555428380004e-05,0.00043932432104739944,2000,20260939,False
