pair,label,split,method,seed,direction,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method
mkgw_mhyper_native,W-N,test,Head-first,2,tail,4274,0.5358487551950766,0.0002516506404910707,0.13055685540477305,0.0071257569537790865,0.5519419747309312,0.0893074403369209,0.003135473739713977
mkgw_mhyper_native,W-N,test,Head-first,3,head,4274,0.19338308362566595,0.0002656384306870418,0.2267197005147403,0.004979557188407785,0.7931679925128685,0.1340313523631259,-0.0003496905632617073
mkgw_mhyper_native,W-N,test,Head-first,3,tail,4274,0.5376128847811273,0.0036048044953350764,0.08656995788488535,0.004163455396704932,0.4415067852129153,0.06456481048198408,0.0020705370878308415
mkgw_mhyper_native,W-N,test,Tail-first,1,head,4274,0.194351510950476,0.00032624017370143805,0.12681328965839964,0.0027762155513518082,0.400561534861956,0.0725666822648573,0.0010798789212727877
mkgw_mhyper_native,W-N,test,Tail-first,1,tail,4274,0.5415578122730055,0.001591481254639665,0.17267197005147403,0.008574451387024373,0.8387927000467946,0.1226017781937295,0.0006761582713194885
mkgw_mhyper_native,W-N,test,Tail-first,2,head,4274,0.19318056226713504,0.001904058153741755,0.11792232101076275,0.0012500670901131746,0.3968179691155826,0.053263921385119324,0.0001236614061844872
mkgw_mhyper_native,W-N,test,Tail-first,2,tail,4274,0.5369400048400252,0.0013429002854397165,0.2339728591483388,0.011762860014891657,0.928872250818905,0.14905240992044916,0.0020442240947653317
mkgw_mhyper_native,W-N,test,Tail-first,3,head,4274,0.1938943064071001,0.0007768612121212032,0.12447356106691623,0.0020207596752450704,0.4010294805802527,0.07091717360786151,-0.0008609133446958686
mkgw_mhyper_native,W-N,test,Tail-first,3,tail,4274,0.5405011064942635,0.00649302620847129,0.16682264857276555,0.007530092000014837,0.8336452971455312,0.12085868039307439,-0.0008176846253053722
mkgw_mhyper_native,W-N,test,Low-A-gap,1,head,4274,0.1952097061712109,0.0011844353944363301,0.1846045858680393,0.004694865829024609,0.6909218530650445,0.11488067384183434,0.00022168370053789522
mkgw_mhyper_native,W-N,test,Low-A-gap,1,tail,4274,0.5397521701953496,-0.00021416082301617967,0.12213383247543284,0.006555018298400981,0.5484323818437061,0.05504211511464668,0.0024818003489753336
