split,dataset,pair,scope,seed,direction,magnitude_bucket,bucket_order,n,observation_rate,delta_mrr_contribution,mean_delta_rr_within_bucket,harm_rate,mean_harm,mean_benefit,n_harmful,n_beneficial,n_unchanged
test,DB15K,M-Hyper + NativE,seed,3,pooled,"(0.10,0.20]",3,3992,0.20157543930519087,0.0007287415471719121,0.0036152298597676726,0.24549098196392785,0.034294701694105444,0.02160108150198556,980,2224,788
test,DB15K,M-Hyper + NativE,seed,3,pooled,>0.20,4,1794,0.09058776004847506,0.000913210972365461,0.010080953231173684,0.27480490523968787,0.04093417119456221,0.03336161856638602,493,1147,154
test,DB15K,M-Hyper + NativE,direction,pooled,head,0,0,12016,0.4044974079310577,0.0,0.0,0.0,,,0,0,12016
test,DB15K,M-Hyper + NativE,direction,pooled,head,"(0,0.05]",1,1837,0.06183935905204336,-3.7886869312865584e-06,-6.126659443701607e-05,0.14534567229178008,0.01410268427711672,0.005559923847807253,267,657,913
test,DB15K,M-Hyper + NativE,direction,pooled,head,"(0.05,0.10]",2,2471,0.08318184878475729,-0.0001393634600256893,-0.0016754070997665423,0.19263456090651557,0.028599342493148626,0.008604319784936984,476,1101,894
test,DB15K,M-Hyper + NativE,direction,pooled,head,"(0.10,0.20]",3,8713,0.2933077492762405,0.0004628348626353415,0.0015779837518013833,0.2546769195455067,0.030799817723174687,0.017102868324410436,2219,4800,1694
test,DB15K,M-Hyper + NativE,direction,pooled,head,>0.20,4,4669,0.15717363495590117,0.0011598963970442494,0.007379713508373628,0.2780038552152495,0.03777341259938456,0.028728758404885632,1298,2906,465
test,DB15K,M-Hyper + NativE,direction,pooled,tail,0,0,21007,0.7071635359859961,0.0,0.0,0.0,,,0,0,21007
test,DB15K,M-Hyper + NativE,direction,pooled,tail,"(0,0.05]",1,2726,0.09176597320406651,8.936517155642068e-05,0.0009738377792571654,0.1107850330154072,0.019636057095687276,0.009959131124306948,302,862,1562
test,DB15K,M-Hyper + NativE,direction,pooled,tail,"(0.05,0.10]",2,2585,0.08701945734868377,7.725454884929485e-05,0.0008877847690975446,0.172147001934236,0.03922261069899669,0.017953623081064254,445,1100,1040
test,DB15K,M-Hyper + NativE,direction,pooled,tail,"(0.10,0.20]",3,2988,0.10058574025449404,0.000564263640999252,0.005609777683910235,0.22556894243641232,0.05094301677695999,0.03246353813671843,674,1574,740
test,DB15K,M-Hyper + NativE,direction,pooled,tail,>0.20,4,400,0.013465293206759578,0.00033236047497670415,0.024682750674144934,0.26,0.06397475394418016,0.060983301401670506,104,271,25
test,DB15K,M-Hyper + AdaMF-MAT,pair,pooled,pooled,0,0,55268,0.9302497811889854,0.0,0.0,0.0,,,0,0,55268
test,DB15K,M-Hyper + AdaMF-MAT,pair,pooled,pooled,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,pair,pooled,pooled,"(0.05,0.10]",2,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,pair,pooled,pooled,"(0.10,0.20]",3,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,pair,pooled,pooled,>0.20,4,4144,0.0697502188110146,0.0007140771224431483,0.010237632721668033,0.29464285714285715,0.04037481538427799,0.033438716581405674,1221,2743,180
test,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,0,0,18265,0.9222884265804888,0.0,0.0,0.0,,,0,0,18265
test,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,"(0.05,0.10]",2,0,0.0,0.0,,,,,0,0,0
test,DB15K,M-Hyper + AdaMF-MAT,seed,1,pooled,"(0.10,0.20]",3,0,0.0,0.0,,,,,0,0,0
