dataset,pair_id,relation,n_query_instances,n_original_triples,n_nonreference_action_rows,opportunity_prevalence,actual_mean_u,spearman,positive_auprc_lift,harmful_auprc_lift,top_10pct_actual_mean_u,h1_style_pass
mkg_w,mkgw_native_adamf,34,552,92,2760,0.49818840579710144,-0.0005394238594749442,0.02854754600885477,0.009872232671790104,0.009204201600764572,0.0040861927027423224,True
mkg_w,mkgw_native_adamf,37,246,41,1230,0.540650406504065,-0.006712071208607543,-0.0337834454191888,-0.016165044735213907,-0.002577817696811202,-0.021957930865722328,False
mkg_w,mkgw_native_adamf,39,84,14,420,0.32142857142857145,-0.013561080878167332,-0.04953247632061013,-0.012193468692333731,0.010273533601850127,-0.023809523809523808,False
mkg_w,mkgw_native_adamf,40,90,15,450,0.5,-0.0020660630579217285,-0.04811384315968963,-0.039337279135626846,0.019605579828017083,-0.016649958990126175,False
mkg_w,mkgw_native_adamf,41,66,11,330,0.36363636363636365,0.0029704050547964505,0.17328559620881476,0.08596024362511479,0.0543085827629155,0.043377837333798644,True
mkg_w,mkgw_native_adamf,44,78,13,390,0.6153846153846154,-0.011248123232987736,0.0019814403560250143,-0.014904866663184635,0.0010333531049022682,0.012841786542589634,False
mkg_w,mkgw_native_adamf,46,66,11,330,0.16666666666666666,-0.05405103335688642,0.09115506127305725,0.03598008713335515,0.06085862760877489,0.025252525252525252,True
mkg_w,mkgw_native_adamf,48,192,32,960,0.6354166666666666,-0.021032660334636463,-0.004912539575186404,0.006466397729887607,-0.012064271463415932,-0.002969709857570141,False
mkg_w,mkgw_native_adamf,49,78,13,390,0.5769230769230769,0.005794659542967286,-0.08890298554204286,-0.033551307272177255,-0.022699902779155096,0.03825112172305277,False
mkg_w,mkgw_native_adamf,50,234,39,1170,0.5,-0.022264859792555082,0.1464087402761362,0.056990061726269914,0.02976647621495887,0.014858122897336077,True
mkg_w,mkgw_native_adamf,53,102,17,510,0.35294117647058826,-0.00985375246495416,-0.034284271899366135,-0.014372074890418723,-0.0016210662544720589,0.006570705242310984,False
mkg_w,mkgw_native_adamf,56,288,48,1440,0.5173611111111112,-0.003940468404865976,-0.03964446551564795,0.008954624707168679,-0.03189377036376295,-0.017381197736145354,False
mkg_w,mkgw_native_adamf,57,72,12,360,0.5,0.003153668839083401,-0.028380495920660533,0.00927397147935316,-0.021335813486642763,0.014677229243886794,False
mkg_w,mkgw_native_adamf,58,198,33,990,0.6161616161616161,-0.0031476441118183543,0.03570428383104732,0.02208722083051351,-0.0053844532860782834,-0.0023667554753353374,False
mkg_w,mkgw_native_adamf,59,162,27,810,0.5493827160493827,0.0004090159614434483,0.11980995247776406,0.06263631979617662,0.0592126711093105,0.014316895129149678,True
mkg_w,mkgw_native_adamf,61,102,17,510,0.6862745098039216,-0.0009084847582711822,-0.016894687018700973,0.022369764974402018,0.02122854405826624,0.019201841843668247,False
mkg_w,mkgw_native_adamf,64,96,16,480,0.34375,-0.018108299504128216,0.0676003244043785,0.01367779085267573,0.06849595860399613,-0.039905912751378156,False
