dataset,pair_id,h1_status,feature,n_finite,n_positive,n_zero,n_harmful,positive_mean,positive_median,zero_mean,zero_median,harmful_mean,harmful_median,smd_positive_vs_rest,smd_harmful_vs_rest,smd_positive_vs_harmful,positive_auroc_increasing,positive_auroc_orientation_free,positive_auroc_lift_orientation_free,harmful_auroc_increasing,harmful_auroc_orientation_free,harmful_auroc_lift_orientation_free,positive_vs_harmful_auroc_increasing,positive_vs_harmful_auroc_orientation_free,positive_vs_harmful_auroc_lift_orientation_free,spearman_with_advantage
mkg_w,mkgw_native_adamf,FAIL,geometry_b_top1,128280,37260,50902,40118,-0.9052907195324164,-0.7366065979003906,-0.5153350756916005,-0.6102943420410156,-0.7737586068229879,-0.6542625427246094,-0.18129808627741004,-0.06265728180722031,-0.08987029202440415,0.46678248075458517,0.5332175192454148,0.03321751924541483,0.4939776861995685,0.5060223138004315,0.0060223138004315,0.4803807304415474,0.5196192695584526,0.019619269558452612,-0.029781145557878183
mkg_w,mkgw_native_adamf,FAIL,geometry_b_top5_mean,128280,37260,50902,40118,-1.347154886046147,-1.0845344066619873,-1.7855508760686087,-1.6445488333702087,-1.2460820418071556,-1.0320940017700195,0.1378943053227611,0.2517977324345427,-0.07134489051548258,0.5570468629050872,0.5570468629050872,0.0570468629050872,0.5810901804197479,0.5810901804197479,0.08109018041974791,0.4874319767020087,0.5125680232979912,0.012568023297991227,-0.02739076743667386
mkg_w,mkgw_native_adamf,FAIL,geometry_b_top1_top2_margin,128280,37260,50902,40118,0.3672929026654377,0.186406135559082,1.1390286758744053,0.7309322357177734,0.39133700629615187,0.1865797042846679,-0.5428034298152127,-0.5054987547807377,-0.041937631292850636,0.36392742527492733,0.6360725747250726,0.13607257472507261,0.3671598270028893,0.6328401729971107,0.1328401729971107,0.4952244876540668,0.5047755123459332,0.004775512345933208,-0.0015340456812576908
mkg_w,mkgw_native_adamf,FAIL,geometry_b_score_std,128280,37260,50902,40118,1.907899625080283,1.404356837272644,1.3578542499456803,1.2501837015151978,1.8739061266431971,1.4185569882392883,0.24187821981075094,0.217359301932858,0.02289433405770966,0.5826668345321874,0.5826668345321874,0.08266683453218737,0.608111973864844,0.608111973864844,0.10811197386484395,0.4871469302433827,0.5128530697566174,0.012853069756617375,-0.02554391755546817
mkg_w,mkgw_native_adamf,FAIL,geometry_top1_delta_a_minus_b,128280,37260,50902,40118,0.5048372508247118,0.5165414810180664,0.6063816490156853,0.5954723358154297,0.5578990346193611,0.5608415603637695,-0.10521964145312523,-0.007358151867348415,-0.07096838031819437,0.4679377680968349,0.5320622319031652,0.03206223190316515,0.49864440530185733,0.5013555946981427,0.0013555946981427258,0.4775407696249365,0.5224592303750635,0.022459230375063477,-0.029554647897041063
mkg_w,mkgw_native_adamf,FAIL,geometry_top5_delta_a_minus_b,128280,37260,50902,40118,0.5598516168062821,0.5854936242103577,0.7265932195882342,0.7298156023025513,0.6098745864917643,0.6132813692092896,-0.18021386827672672,-0.07298066106064834,-0.08046052900641915,0.44601239701466516,0.5539876029853348,0.05398760298533478,0.47911918345112764,0.5208808165488723,0.020880816548872305,0.47476240313833185,0.5252375968616682,0.025237596861668155,-0.03040481717799668
mkg_w,mkgw_native_adamf,FAIL,geometry_margin_delta_a_minus_b,128280,37260,50902,40118,-0.058274747208120745,-0.0545363426208496,-0.12156533092362234,-0.0739139318466186,-0.05764975313757833,-0.0508670806884765,0.06106149225911572,0.06346712119449711,-0.0013312987554427807,0.5107889703064676,0.5107889703064676,0.010788970306467638,0.5159160596077781,0.5159160596077781,0.015916059607778088,0.49586593676405544,0.5041340632359446,0.004134063235944563,-0.00587411831529568
mkg_w,mkgw_native_adamf,FAIL,geometry_std_delta_a_minus_b,128280,37260,50902,40118,-0.4574439263174243,-0.1961690187454223,-0.2727733422015852,-0.2261937260627746,-0.41839992640334506,-0.186021089553833,-0.1615946736921354,-0.09225814175340234,-0.04651386977763842,0.5084614365750221,0.5084614365750221,0.008461436575022074,0.5392774677431551,0.5392774677431551,0.0392774677431551,0.47964304984942835,0.5203569501505716,0.020356950150571596,-0.03026773758347063
db15k,db15k_mhyper_native,FAIL,geometry_direction_tail,190128,62797,91143,36188,0.36242177174068824,0.0,0.6599409718793544,1.0,0.335912457168122,0.0,-0.420878734241512,-0.41735012170528696,0.05563016156454353,0.39728552598155037,0.6027144740184496,0.10271447401844958,0.3986694934924669,0.6013305065075332,0.10133050650753317,0.5132546572862831,0.5132546572862831,0.013254657286283056,-0.04933783526433658
db15k,db15k_mhyper_native,FAIL,geometry_a_top1,190128,62797,91143,36188,6.046051389394977,6.050684928894043,8.216058132085871,8.208372116088867,5.817042259751228,5.986122131347656,-0.8074020851761738,-0.7455498536978975,0.12184890750370121,0.2633231985624543,0.7366768014375458,0.23667680143754577,0.3039924436300555,0.6960075563699445,0.1960075563699445,0.5208862225292785,0.5208862225292785,0.02088622252927852,-0.13247867148093675
db15k,db15k_mhyper_native,FAIL,geometry_a_top5_mean,190128,62797,91143,36188,5.296874923036097,5.458837985992432,6.622287956155257,6.658500671386719,4.883009817895539,5.410820484161377,-0.5310938318234393,-0.6660032011281181,0.22503684450198902,0.3052530825598339,0.6947469174401661,0.19474691744016615,0.33196716312323277,0.6680328368767672,0.16803283687676718,0.5262474104727817,0.5262474104727817,0.026247410472781674,-0.09850772622423094
