pair,label,split,method,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
db15k_mhyper_adamf,D-A,test,Global,59412,0.0,0.0,0.0,0.3745666587877784,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_native_adamf,W-NA,dev_oof,ADC,25656,1029.0,254.0,419.0,0.33533867997277395,0.0001469596338271231,0.009900218272528844,0.2468415937803693,0.04010757717492984,0.0008729359777026915,0.0010198956115298147,0.008134549423136881
mkgw_native_adamf,W-NA,dev_oof,Center-0.5,25656,1029.0,353.0,406.0,0.33527102387931956,7.930354037271692e-05,0.013758964764577487,0.3430515063168124,0.04010757717492984,0.0019127443699116888,0.0019920479102844063,0.025113033988150953
mkgw_native_adamf,W-NA,dev_oof,Linear-p,25656,1029.0,219.0,399.0,0.33510624927520694,-8.547106373989483e-05,0.008536014967259122,0.21282798833819241,0.04010757717492984,0.0006541437025012027,0.0005686726387613077,0.004453149360773305
mkgw_native_adamf,W-NA,dev_oof,Clip-g,25656,1029.0,264.0,424.0,0.33546749007430166,0.0002757697353548373,0.01028999064546305,0.2565597667638484,0.04010757717492984,0.0009367332276055852,0.0012125029629604224,0.008943327096975364
mkgw_native_adamf,W-NA,dev_oof,Shrink-fixed,25656,1029.0,273.0,421.0,0.3352804818150305,8.876147608366163e-05,0.010640785781103836,0.2653061224489796,0.04010757717492984,0.0010228007272942991,0.0011115622033779607,0.010001559089491734
mkgw_native_adamf,W-NA,dev_oof,Radius-1,25656,1029.0,310.0,424.0,0.33548914470029223,0.00029742436134539145,0.012082943560960398,0.3012633624878523,0.04010757717492984,0.0014530650027183539,0.0017504893640637451,0.017759978172747107
mkgw_native_adamf,W-NA,dev_oof,No-gate,25656,19661.0,5405.0,5707.0,0.33179893367146857,-0.003392786667478285,0.21067196757093856,0.2749097197497584,0.7663314624259433,0.010912815691044325,0.007520029023566042,0.05487800124727216
mkgw_native_adamf,W-NA,dev_oof,Global,25656,0.0,0.0,0.0,0.33519172033894684,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_native_adamf,W-NA,test,ADC,25644,926.0,235.0,402.0,0.3442659286460117,0.00013891958603661335,0.009163936983309936,0.25377969762419006,0.03610981126189362,0.0008503619318319135,0.000989281517868527,0.008056465450007797
mkgw_native_adamf,W-NA,test,Center-0.5,25644,926.0,326.0,378.0,0.34413833037143715,1.1321311462084882e-05,0.012712525347059741,0.35205183585313177,0.03610981126189362,0.0015982306854255607,0.0016095519968876454,0.023338792700046813
mkgw_native_adamf,W-NA,test,Linear-p,25644,926.0,197.0,400.0,0.3441758488939401,4.883983396500951e-05,0.007682108875370457,0.21274298056155508,0.03610981126189362,0.0005634762438312792,0.0006123160777962887,0.004377242239900171
