pair,label,split,comparator,regime,adc_n,adc_active_n,adc_harm_n,adc_benefit_n,adc_mrr,adc_utility,adc_harm,adc_harm_active,adc_intervention,adc_mean_loss,adc_mean_gain,adc_movement,other_n,other_active_n,other_harm_n,other_benefit_n,other_mrr,other_utility,other_harm,other_harm_active,other_intervention,other_mean_loss,other_mean_gain,other_movement,native_adc_active_n,native_other_active_n,match_active_n,match_strata,zero_quota_strata,adc_fraction_retained,other_fraction_retained,delta,lo,hi,clusters,cluster_order_sha256,seed,replicates,rng,quantile,observations_per_cluster
mkgw_mhyper_native,W-N,dev_oof,No-gate,Native,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,23061.0,5863.0,7072.0,0.35887941100984194,0.003129242610817216,0.22852354225132523,0.25423875807640606,0.8988540692235735,0.00673912857326776,0.009868371184084975,0.14814858122856348,16238.0,23061.0,16238,150,42,1.0,0.7041325181041586,-5.880683857498571e-05,-0.0005584064905533375,0.0004579698822356211,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,No-gate,Matched-I,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,4157.5568970035165,5060.408927999917,0.35799537374330526,0.002245205344280501,0.16205008173540367,0.25603872995464444,0.6329123791705644,0.004664058108955245,0.006909263453235749,0.10661653897069517,16238.0,23061.0,16238,150,42,1.0,0.7041325181041586,0.0008252304279617309,0.0003897046717665296,0.0012659974627585505,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Center-0.5,Native,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,3857.0,4930.0,0.36674425238683517,0.0020791297295201278,0.1504055529558571,0.2375,0.6332865387615036,0.005630462135160469,0.007709591864680598,0.11523163313055654,16240.0,16240.0,16240,69,25,1.0,1.0,0.00036751893908919264,-0.0003423434280702112,0.0010703128624163503,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Center-0.5,Matched-I,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,3857.0,4930.0,0.36674425238683517,0.0020791297295201278,0.1504055529558571,0.2375,0.6332865387615036,0.005630462135160469,0.007709591864680598,0.11523163313055654,16240.0,16240.0,16240,69,25,1.0,1.0,0.00036751893908919264,-0.0003423434280702112,0.0010703128624163503,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Linear-p,Native,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,3539.0,4818.0,0.3662772362882323,0.0016121136309172118,0.13800499142099518,0.21791871921182265,0.6332865387615036,0.004520846658156392,0.006132960289073601,0.06569567930120104,16240.0,16240.0,16240,69,25,1.0,1.0,0.0008345350376921091,3.186272600385831e-05,0.0016421091585605476,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Linear-p,Matched-I,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,3539.0,4818.0,0.3662772362882323,0.0016121136309172118,0.13800499142099518,0.21791871921182265,0.6332865387615036,0.004520846658156392,0.006132960289073601,0.06569567930120104,16240.0,16240.0,16240,69,25,1.0,1.0,0.0008345350376921091,3.186272600385831e-05,0.0016421091585605476,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Clip-g,Native,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,3942.0,4978.0,0.3670826709973693,0.002417548340054237,0.15372016846045858,0.24273399014778324,0.6332865387615036,0.005720350986313601,0.008137899326367838,0.13346981750116876,16240.0,16240.0,16240,69,25,1.0,1.0,2.910032855508308e-05,-0.0003280921502402053,0.0003842277180782761,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Clip-g,Matched-I,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,16240.0,3942.0,4978.0,0.3670826709973693,0.002417548340054237,0.15372016846045858,0.24273399014778324,0.6332865387615036,0.005720350986313601,0.008137899326367838,0.13346981750116876,16240.0,16240.0,16240,69,25,1.0,1.0,2.910032855508308e-05,-0.0003280921502402053,0.0003842277180782761,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Shrink-fixed,Native,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263,25644,11756.0,2283.0,4228.0,0.36534325653377053,0.0006781338764554789,0.0890266729059429,0.194198707043212,0.45843082202464513,0.002515765577097797,0.003193899453553276,0.029100374356573814,16240.0,11756.0,11756,69,28,0.7238916256157636,1.0,0.00176851479215384,0.0008695316998597212,0.002661679076770662,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,test,Shrink-fixed,Matched-I,25644,11756.0,2920.030680975822,3988.611748220931,0.3663649654056151,0.0016998427483000177,0.11386798787146397,0.24838641382917848,0.45843082202464513,0.0037581085529849933,0.0054579513012850125,0.0874389166722708,25644,11756.0,2283.0,4228.0,0.36534325653377053,0.0006781338764554789,0.0890266729059429,0.194198707043212,0.45843082202464513,0.002515765577097797,0.003193899453553276,0.029100374356573814,16240.0,11756.0,11756,69,28,0.7238916256157636,1.0,0.0010217088718445407,0.00032870925733914625,0.001709121985486612,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
