pair,label,split,method,seed,direction,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
mkgw_mhyper_native,W-N,test,No-gate,2,head,4274,3769.0,1127.0,1663.0,0.19424154929799342,0.0029650451846001467,0.26368741226017783,0.2990183072433006,0.8818437061300889,0.004456555700446209,0.007421600885046355,0.12243799719232526
mkgw_mhyper_native,W-N,test,No-gate,2,tail,4274,3970.0,1000.0,427.0,0.5369400048400252,0.0013429002854397165,0.2339728591483388,0.2518891687657431,0.928872250818905,0.011762860014891657,0.013105760300331375,0.1490524099204491
mkgw_mhyper_native,W-N,test,No-gate,3,head,4274,3841.0,1105.0,1786.0,0.19340340586698757,0.00028596067200866847,0.25854000935891436,0.28768549856808123,0.8986897519887693,0.0056937124833314045,0.005979673155340073,0.14640851661207271
mkgw_mhyper_native,W-N,test,No-gate,3,tail,4274,3713.0,741.0,524.0,0.5398473451457083,0.00583926485991609,0.17337388862891903,0.19956908160517103,0.8687412260177819,0.008195846529590396,0.014035111389506489,0.12631024801123053
mkgw_mhyper_native,W-N,test,Global,1,head,4274,0.0,0.0,0.0,0.19402527077677456,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,test,Global,1,tail,4274,0.0,0.0,0.0,0.5399663310183658,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,test,Global,2,head,4274,0.0,0.0,0.0,0.19127650411339328,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,test,Global,2,tail,4274,0.0,0.0,0.0,0.5355971045545855,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,test,Global,3,head,4274,0.0,0.0,0.0,0.1931174451949789,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,test,Global,3,tail,4274,0.0,0.0,0.0,0.5340080802857923,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,1,head,4276,1143.0,244.0,788.0,0.18733686067675118,-0.0004485359071333122,0.05706267539756782,0.21347331583552057,0.26730589335827876,0.0017904122046256213,0.0013418762974923089,0.05332086061739946
mkgw_mhyper_adamf,W-A,dev_oof,ADC,1,tail,4276,394.0,68.0,247.0,0.5195788835350227,0.0018843214230475813,0.015902712815715623,0.17258883248730963,0.0921421889616464,0.0014366741635830798,0.003320995586630661,0.015528531337698786
mkgw_mhyper_adamf,W-A,dev_oof,ADC,2,head,4276,1527.0,300.0,1049.0,0.18838131010715692,0.0003104120951034437,0.07015902712815715,0.19646365422396855,0.3571094480823199,0.001553243820374919,0.0018636559154783627,0.07257951356407853
mkgw_mhyper_adamf,W-A,dev_oof,ADC,2,tail,4276,365.0,55.0,218.0,0.5198805829065802,0.0022907334574986168,0.012862488306828812,0.1506849315068493,0.0853601496725912,0.0014105870266681356,0.003701320484166752,0.014452759588400373
mkgw_mhyper_adamf,W-A,dev_oof,ADC,3,head,4276,1189.0,231.0,839.0,0.19246041689575216,0.0009102765025586046,0.05402245088868101,0.19428090832632464,0.27806361085126285,0.0010238681214813996,0.0019341446240400038,0.056817118802619304
mkgw_mhyper_adamf,W-A,dev_oof,ADC,3,tail,4276,380.0,63.0,226.0,0.5165171194901783,0.0022761738397462025,0.014733395696913003,0.16578947368421051,0.08886810102899906,0.001641121880913938,0.00391729572066014,0.016300280636108517
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,1,head,4276,1958.0,603.0,1013.0,0.1802148739372027,-0.007570522646681797,0.14101964452759588,0.3079673135852911,0.4579045837231057,0.012380705248110736,0.004810182601428936,0.2391370439663235
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,1,tail,4276,2756.0,435.0,757.0,0.5045105939590281,-0.013183968152946928,0.10173058933582788,0.15783744557329463,0.6445275958840038,0.02353100515144809,0.010347036998501162,0.20358980355472397
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,2,head,4276,2003.0,655.0,1069.0,0.18473659002237078,-0.0033343079896827154,0.15318054256314312,0.327009485771343,0.4684284377923293,0.00918989631149036,0.005855588321807646,0.2837815715622078
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,2,tail,4276,2307.0,335.0,581.0,0.5109617435126658,-0.006628105936415851,0.07834424695977549,0.14521022973558734,0.5395229186155285,0.01723929306143221,0.010611187125016358,0.1839335827876519
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,3,head,4276,1806.0,546.0,943.0,0.1887814997424771,-0.0027686406507164787,0.127689429373246,0.3023255813953488,0.4223573433115061,0.009109273545046877,0.0063406328943303985,0.23636576239476123
