split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,3,pooled,8552,0.3628101347700237,0.35638179496148725,0.006428339808536479,0.1753975678203929,0.026541807789940777,0.33243685687558466,0.916510757717493,0.0,0.15890434985968194,0.35,0.0,1500,2843,4209
dev,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,1,pooled,8552,0.36189929761209594,0.356701020927837,0.005198276684258955,0.18638914873713752,0.026334622594026254,0.33091674462114123,0.9256314312441534,0.0,0.18007483629560336,0.4,0.0,1594,2830,4128
dev,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,2,pooled,8552,0.3600230329626182,0.35598535652575225,0.004037676436865901,0.18826005612722171,0.028689386645949694,0.3317352666043031,0.92855472404116,0.0,0.1773737137511693,0.4,0.0,1610,2837,4105
dev,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,3,pooled,8552,0.36375681949352145,0.35638179496148725,0.007375024532034178,0.1824134705332086,0.02612366895983323,0.3376987839101964,0.9257483629560337,0.0,0.18149555659494856,0.4,0.0,1560,2888,4104
dev,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,1,pooled,8552,0.36225697305126325,0.356701020927837,0.005555952123426226,0.19387277829747426,0.026339505575309823,0.33372310570626756,0.9338166510757717,0.0,0.1960418615528531,0.4,0.16113189897100094,1658,2854,4040
dev,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,2,pooled,8552,0.36040744717145695,0.35598535652575225,0.004422090645704753,0.19434050514499532,0.02880237681829726,0.33559401309635173,0.9365060804490177,0.0,0.19291393826005612,0.4,0.1597287184284378,1662,2870,4020
dev,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,3,pooled,8552,0.36382594733133394,0.35638179496148725,0.007444152369846728,0.18942937324602432,0.026188256026122153,0.34015434985968196,0.9349859681945744,0.0,0.19792446211412537,0.4,0.1578578110383536,1620,2909,4023
dev,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,1,pooled,8552,0.3629046669816317,0.356701020927837,0.006203646053794717,0.19819925163704397,0.02521532727605358,0.3360617399438728,0.9390785781103835,0.0,0.20959424695977547,0.4,0.19796538821328344,1695,2874,3983
dev,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,2,pooled,8552,0.36033600111151154,0.35598535652575225,0.004350644585759319,0.20030402245088869,0.030953904419878372,0.33676333021515437,0.9427034611786717,0.0,0.20658910196445276,0.4,0.19434050514499532,1713,2880,3959
dev,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,3,pooled,8552,0.3643164244260181,0.35638179496148725,0.00793462946453081,0.19480823199251637,0.026095918411972244,0.34284377923292797,0.9404817586529467,0.0,0.21181594948550045,0.4,0.19492516370439664,1666,2932,3954
dev,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,1,pooled,8552,0.3631101980036596,0.356701020927837,0.006409177075822573,0.23854069223573432,0.034857256437966805,0.34869036482694105,0.9698316183348924,0.0,0.31663353601496724,0.5,0.32448550046772684,2040,2982,3530
dev,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,2,pooled,8552,0.36271761116847584,0.35598535652575225,0.006732254642723577,0.23854069223573432,0.03671293089020293,0.3484565014031805,0.9729887745556595,0.0,0.3100678203928906,0.5499999999999999,0.32811038353601496,2040,2980,3532
dev,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,3,pooled,8552,0.36454156193454323,0.35638179496148725,0.008159766973055977,0.23725444340505145,0.03884117375724875,0.3510289990645463,0.9701824134705332,0.0,0.32185453695042093,0.5499999999999999,0.3299812909260992,2029,3002,3521
dev,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,1,pooled,8552,0.35307773297469214,0.3527399793479298,0.0003377536267624123,0.010640785781103836,0.008016949276715712,0.05554256314312442,0.07471936389148737,0.254911131898971,0.003735968194574372,0.050000000000000044,0.5266604303086997,91,475,7986
dev,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,2,pooled,8552,0.35370577109974854,0.35283037373056747,0.0008753973691810646,0.01695509822263798,0.002238175396469687,0.0961178671655753,0.12710477081384472,0.2257951356407858,0.006355238540692242,0.050000000000000044,0.48947614593077643,145,822,7585
dev,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,3,pooled,8552,0.35331686684525726,0.35289554302181275,0.0004213238234444899,0.013914873713751169,0.0018693818847873701,0.08840037418147802,0.11927034611786716,0.24462114125350795,0.005963517305893363,0.050000000000000044,0.49812909260991584,119,756,7677
dev,MKG-W,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,1,pooled,8552,0.35332630035622076,0.3527399793479298,0.0005863210082910407,0.04326473339569691,0.008983986286729872,0.20007015902712816,0.2898737137511693,0.254911131898971,0.015399906454630508,0.050000000000000044,0.5266604303086997,370,1711,6471
dev,MKG-W,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,2,pooled,8552,0.35402736080644237,0.35283037373056747,0.00119698707587484,0.047708138447146865,0.0073690547206767334,0.230355472404116,0.33688026192703463,0.2257951356407858,0.01782039289055193,0.050000000000000044,0.48947614593077643,408,1970,6174
