split,dataset,pair,beta,beta_role,is_dev_locked_beta,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,25656,0.3552893558229038,0.35282196536677,0.0024673904561337856,0.0700420954162769,0.025368353273934673,0.2511303398815092,0.356836607421266,0.24177580293108825,0.07660391331462425,0.30000000000000004,0.5047552229497974,1797,6443,17416
dev,MKG-W,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,25656,0.35735380565673663,0.35282196536677,0.004531840289966654,0.08773776114748986,0.03511009227351108,0.24653102588088557,0.356836607421266,0.24177580293108825,0.15360734331150608,0.6,0.5047552229497974,2251,6325,17080
dev,DB15K,M-Hyper + NativE,0.05,formal_dev_candidate,False,47532,0.3826543500289003,0.38258701302410913,6.733700479115163e-05,0.009509383152402592,0.012323297816755728,0.025330303795337877,0.047757300345030715,0.0,0.0023878650172515377,0.0,0.5139695363123791,452,1204,45876
dev,DB15K,M-Hyper + NativE,0.1,formal_dev_candidate,False,47532,0.38281238097466597,0.38258701302410913,0.00022536795055680227,0.052448876546326684,0.014939424876415806,0.13881174787511572,0.2917613397290247,0.0,0.014602793907262488,0.050000000000000044,0.5139695363123791,2493,6598,38441
dev,DB15K,M-Hyper + NativE,0.15,formal_dev_candidate,False,47532,0.3829068510279244,0.38258701302410913,0.0003198380038152533,0.06460910544475301,0.01694218145246664,0.1690650509130691,0.36423882857864176,0.0,0.020599806446183637,0.050000000000000044,0.5139695363123791,3071,8036,36425
dev,DB15K,M-Hyper + NativE,0.2,formal_dev_candidate,False,47532,0.3831932725079601,0.38258701302410913,0.0006062594838509204,0.07216191197509046,0.0200040132777508,0.18705293276108725,0.39682740048809223,0.0,0.028329336026256,0.09999999999999998,0.5139695363123791,3430,8891,35211
dev,DB15K,M-Hyper + NativE,0.25,formal_dev_candidate,False,47532,0.3832536180701212,0.38258701302410913,0.0006666050460121102,0.07832618025751073,0.024197063801696745,0.1978456618698982,0.4150887822940335,0.0,0.035439283009341085,0.09999999999999998,0.5139695363123791,3723,9404,34405
dev,DB15K,M-Hyper + NativE,0.3,formal_dev_candidate,False,47532,0.38330351088530595,0.38258701302410913,0.00071649786119682,0.08423798704030969,0.027455446907689703,0.2063662374821173,0.4283850879407557,0.0,0.04255343768408651,0.15000000000000002,0.5139695363123791,4004,9809,33719
dev,DB15K,M-Hyper + NativE,0.35,formal_dev_candidate,False,47532,0.3833961420417961,0.38258701302410913,0.0008091290176870345,0.08924514011613228,0.02977231148184109,0.21274089034755533,0.43747370192712276,0.0,0.04984852310022723,0.15000000000000002,0.5139695363123791,4242,10112,33178
dev,DB15K,M-Hyper + NativE,0.4,formal_dev_candidate,False,47532,0.38358051832287815,0.38258701302410913,0.0009935052987690269,0.09303206261045191,0.03216898347642934,0.21806362029790458,0.44414289320878564,0.0,0.05705945468316082,0.19999999999999996,0.5139695363123791,4422,10365,32745
dev,DB15K,M-Hyper + NativE,0.45,formal_dev_candidate,False,47532,0.38380031798906206,0.38258701302410913,0.0012133049649529048,0.09572498527307918,0.03380816617679374,0.2220188504586384,0.4487503155768745,0.0,0.06421463435159472,0.19999999999999996,0.5139695363123791,4550,10553,32429
dev,DB15K,M-Hyper + NativE,0.5,formal_dev_candidate,True,47532,0.3839261995850663,0.38258701302410913,0.0013391865609572,0.09875452326853489,0.035642588842292655,0.22534292687031895,0.45312631490364386,0.0,0.0713329967180005,0.25,0.5139695363123791,4694,10711,32127
dev,DB15K,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,47532,0.38476433615695005,0.38258701302410913,0.002177323132840955,0.12372717327274257,0.056988493853168246,0.24034334763948498,0.46997812000336614,0.0,0.14285639148363208,0.5,0.5139695363123791,5881,11424,30227
dev,DB15K,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,47532,0.38262452617895415,0.38258701302410913,3.751315484509445e-05,0.013927459395775478,0.01678316881100188,0.04365480097618447,0.0704998737692502,0.672641588824371,0.003524993688462512,0.050000000000000044,0.5159471513927459,662,2075,44795
dev,DB15K,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,47532,0.3826489330676569,0.38258701302410913,6.192004354778281e-05,0.013990574770680804,0.017105886824754956,0.04365480097618447,0.0704998737692502,0.672641588824371,0.0038090128755364832,0.050000000000000044,0.5159471513927459,665,2075,44792
dev,DB15K,M-Hyper + AdaMF-MAT,0.15,formal_dev_candidate,False,47532,0.38283612523312316,0.38258701302410913,0.00024911220901400045,0.016094420600858368,0.021710580283261588,0.045779685264663805,0.0704998737692502,0.672641588824371,0.007114154674745434,0.09999999999999998,0.5159471513927459,765,2176,44591
dev,DB15K,M-Hyper + AdaMF-MAT,0.2,formal_dev_candidate,False,47532,0.382919241862182,0.38258701302410913,0.0003322288380728854,0.016599343600100985,0.024419431439882018,0.0463898005554153,0.0704998737692502,0.672641588824371,0.008550029453841621,0.09999999999999998,0.5159471513927459,789,2205,44538
dev,DB15K,M-Hyper + AdaMF-MAT,0.25,formal_dev_candidate,False,47532,0.3829033761449949,0.38258701302410913,0.00031636312088578023,0.017503997307077336,0.03178187140746612,0.047041992762770345,0.0704998737692502,0.672641588824371,0.011129344441639316,0.15000000000000002,0.5159471513927459,832,2236,44464
