split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,pooled,head,12828,0.19001881390512934,0.1891354783297105,0.0008833355754188523,0.08652946679139382,0.01032607513719041,0.3390240099781727,0.4680386654193951,0.28710632990333645,0.057974742750233864,0.19999999999999996,0.3604614904895541,1110,4349,7369
dev,MKG-W,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,pooled,tail,12828,0.5192496872314539,0.5165084524038295,0.0027412348276242776,0.03811973807296539,0.040231487608795836,0.15606485812285625,0.2456345494231369,0.19644527595884004,0.034264889304646086,0.19999999999999996,0.6490489554100405,489,2002,10337
dev,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,pooled,head,12828,0.19008918607957373,0.1891354783297105,0.0009537077498632228,0.09034923604614904,0.011962410156268397,0.3407390084190833,0.4680386654193951,0.28710632990333645,0.06769566573121297,0.19999999999999996,0.3604614904895541,1159,4371,7298
dev,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,pooled,tail,12828,0.5194480377710833,0.5165084524038295,0.0029395853672536387,0.040302463361396944,0.044466367689633086,0.15902712815715622,0.2456345494231369,0.19644527595884004,0.04027517929529155,0.25,0.6490489554100405,517,2040,10271
dev,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,pooled,head,12828,0.19020600674709373,0.1891354783297105,0.001070528417383224,0.09299968818210165,0.012492872927561152,0.3404271905207359,0.4680386654193951,0.28710632990333645,0.07748674773932022,0.25,0.3604614904895541,1193,4367,7268
dev,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,pooled,tail,12828,0.5199262239898477,0.5165084524038295,0.00341777158601814,0.04162768942937325,0.04465759273305056,0.16058621764889305,0.2456345494231369,0.19644527595884004,0.045817742438415965,0.25,0.6490489554100405,534,2060,10234
dev,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,pooled,head,12828,0.19034091137694523,0.1891354783297105,0.0012054330472347824,0.09463673214842531,0.012899845401470026,0.34019332709697536,0.4680386654193951,0.28710632990333645,0.08657623947614593,0.25,0.3604614904895541,1214,4364,7250
dev,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,pooled,tail,12828,0.5202277890265701,0.5165084524038295,0.0037193366227405984,0.042719052073589024,0.04581528927350793,0.16167758029310883,0.2456345494231369,0.19644527595884004,0.051395385095104454,0.30000000000000004,0.6490489554100405,548,2074,10206
dev,MKG-W,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,pooled,head,12828,0.19019765039101807,0.1891354783297105,0.0010621720613075856,0.09666354848768319,0.015075170637059291,0.33956969130028064,0.4680386654193951,0.28710632990333645,0.09615684440286873,0.30000000000000004,0.3604614904895541,1240,4356,7232
dev,MKG-W,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,pooled,tail,12828,0.5203810612547896,0.5165084524038295,0.0038726088509599852,0.04342064234487059,0.04828315842604505,0.16269098846273777,0.2456345494231369,0.19644527595884004,0.057050982226379804,0.35,0.6490489554100405,557,2087,10184
dev,MKG-W,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,pooled,head,12828,0.19118454582012565,0.1891354783297105,0.002049067490415168,0.12106329903336452,0.019467046195838292,0.3276426566884939,0.4680386654193951,0.28710632990333645,0.19283988150919862,0.6,0.3604614904895541,1553,4203,7072
dev,MKG-W,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,pooled,tail,12828,0.5235230654933477,0.5165084524038295,0.00701461308951814,0.05441222326161522,0.06991474923429307,0.16541939507327721,0.2456345494231369,0.19644527595884004,0.11437480511381352,0.65,0.6490489554100405,698,2122,10008
dev,DB15K,M-Hyper + NativE,0.05,formal_dev_candidate,False,pooled,head,23766,0.24360465787478527,0.24351429823048043,9.035964430486362e-05,0.018135151056130606,0.012507181698760876,0.04653706976352773,0.08907683244971809,0.0,0.0044538416224859075,0.050000000000000044,0.3631658672052512,431,1106,22229
dev,DB15K,M-Hyper + NativE,0.05,formal_dev_candidate,False,pooled,tail,23766,0.5217040421830152,0.5216597278177378,4.431436527743966e-05,0.0008836152486745772,0.008549300047983429,0.004123537827148026,0.006437768240343348,0.0,0.0003218884120171676,0.0,0.6647732054195069,21,98,23647
dev,DB15K,M-Hyper + NativE,0.1,formal_dev_candidate,False,pooled,head,23766,0.24380519187904556,0.24351429823048043,0.0002908936485651435,0.08684675586972987,0.012980264125980715,0.22549019607843138,0.46558108221829503,0.0,0.023300092569216547,0.050000000000000044,0.3631658672052512,2064,5359,16343
dev,DB15K,M-Hyper + NativE,0.1,formal_dev_candidate,False,pooled,tail,23766,0.5218195700702863,0.5216597278177378,0.00015984225254846117,0.018050997222923505,0.02436531715822938,0.05213329967180005,0.11794159723975427,0.0,0.005905495245308429,0.050000000000000044,0.6647732054195069,429,1239,22098
