pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
mkgw_mhyper_adamf,Primary,direction,,12822,0.0006304136384165555,head
mkgw_mhyper_adamf,Primary,direction,,12822,0.0013974095858904929,tail
mkgw_mhyper_adamf,Primary,seed_direction,1.0,4274,0.00041596373286390106,head
mkgw_mhyper_adamf,Primary,seed_direction,1.0,4274,0.0008071121690007738,tail
mkgw_mhyper_adamf,Primary,seed_direction,2.0,4274,0.0005613598981463231,head
mkgw_mhyper_adamf,Primary,seed_direction,2.0,4274,0.0020797778139534247,tail
mkgw_mhyper_adamf,Primary,seed_direction,3.0,4274,0.0009139172842394419,head
mkgw_mhyper_adamf,Primary,seed_direction,3.0,4274,0.0013053387747172795,tail
mkgw_mhyper_adamf,Secondary,seed,1.0,8548,0.07332887090587469,
mkgw_mhyper_adamf,Secondary,seed,2.0,8548,0.057972605150902294,
mkgw_mhyper_adamf,Secondary,seed,3.0,8548,0.06194634812329621,
mkgw_mhyper_adamf,Secondary,direction,,12822,0.04575410033823867,head
mkgw_mhyper_adamf,Secondary,direction,,12822,0.08307778244847679,tail
mkgw_mhyper_adamf,Secondary,seed_direction,1.0,4274,0.053881371896098915,head
mkgw_mhyper_adamf,Secondary,seed_direction,1.0,4274,0.09277636991565047,tail
mkgw_mhyper_adamf,Secondary,seed_direction,2.0,4274,0.03958710410607734,head
mkgw_mhyper_adamf,Secondary,seed_direction,2.0,4274,0.07635810619572725,tail
mkgw_mhyper_adamf,Secondary,seed_direction,3.0,4274,0.04379382501253975,head
mkgw_mhyper_adamf,Secondary,seed_direction,3.0,4274,0.08009887123405268,tail
mkgw_mhyper_adamf,Equal-z,seed,1.0,8548,0.02844200067930267,
mkgw_mhyper_adamf,Equal-z,seed,2.0,8548,0.021654637187652308,
mkgw_mhyper_adamf,Equal-z,seed,3.0,8548,0.022174291546271308,
mkgw_mhyper_adamf,Equal-z,direction,,12822,0.014621369881140935,head
mkgw_mhyper_adamf,Equal-z,direction,,12822,0.03355924972767659,tail
mkgw_mhyper_adamf,Equal-z,seed_direction,1.0,4274,0.019239977262356704,head
mkgw_mhyper_adamf,Equal-z,seed_direction,1.0,4274,0.03764402409624863,tail
mkgw_mhyper_adamf,Equal-z,seed_direction,2.0,4274,0.01237503412063135,head
mkgw_mhyper_adamf,Equal-z,seed_direction,2.0,4274,0.03093424025467326,tail
mkgw_mhyper_adamf,Equal-z,seed_direction,3.0,4274,0.01224909826043475,head
mkgw_mhyper_adamf,Equal-z,seed_direction,3.0,4274,0.03209948483210786,tail
mkgw_mhyper_adamf,RRF,seed,1.0,8548,0.043019644443971605,
mkgw_mhyper_adamf,RRF,seed,2.0,8548,0.03433718423088327,
mkgw_mhyper_adamf,RRF,seed,3.0,8548,0.037434973540976385,
mkgw_mhyper_adamf,RRF,direction,,12822,0.025512048324844362,head
mkgw_mhyper_adamf,RRF,direction,,12822,0.05101581981904314,tail
mkgw_mhyper_adamf,RRF,seed_direction,1.0,4274,0.02950084131807333,head
mkgw_mhyper_adamf,RRF,seed_direction,1.0,4274,0.05653844756986987,tail
mkgw_mhyper_adamf,RRF,seed_direction,2.0,4274,0.021635848380309037,head
mkgw_mhyper_adamf,RRF,seed_direction,2.0,4274,0.047038520081457515,tail
mkgw_mhyper_adamf,RRF,seed_direction,3.0,4274,0.02539945527615071,head
mkgw_mhyper_adamf,RRF,seed_direction,3.0,4274,0.04947049180580204,tail
mkgw_mhyper_adamf,Global,seed,1.0,8548,0.0006115379509323375,
mkgw_mhyper_adamf,Global,seed,2.0,8548,0.0013205688560498738,
mkgw_mhyper_adamf,Global,seed,3.0,8548,0.0011096280294783606,
mkgw_mhyper_adamf,Global,direction,,12822,0.0006304136384165555,head
mkgw_mhyper_adamf,Global,direction,,12822,0.0013974095858904929,tail
mkgw_mhyper_adamf,Global,seed_direction,1.0,4274,0.00041596373286390106,head
mkgw_mhyper_adamf,Global,seed_direction,1.0,4274,0.0008071121690007738,tail
mkgw_mhyper_adamf,Global,seed_direction,2.0,4274,0.0005613598981463231,head
mkgw_mhyper_adamf,Global,seed_direction,2.0,4274,0.0020797778139534247,tail
mkgw_mhyper_adamf,Global,seed_direction,3.0,4274,0.0009139172842394419,head
mkgw_mhyper_adamf,Global,seed_direction,3.0,4274,0.0013053387747172795,tail
mkgw_mhyper_adamf,Relation,seed,1.0,8548,0.002192824972488642,
mkgw_mhyper_adamf,Relation,seed,2.0,8548,0.0024942641415364583,
mkgw_mhyper_adamf,Relation,seed,3.0,8548,0.00150002947453744,
mkgw_mhyper_adamf,Relation,direction,,12822,0.0006137641444256733,head
mkgw_mhyper_adamf,Relation,direction,,12822,0.003510981581282687,tail
mkgw_mhyper_adamf,Relation,seed_direction,1.0,4274,8.399274143914952e-05,head
mkgw_mhyper_adamf,Relation,seed_direction,1.0,4274,0.004301657203538135,tail
mkgw_mhyper_adamf,Relation,seed_direction,2.0,4274,0.0013834719063439502,head
mkgw_mhyper_adamf,Relation,seed_direction,2.0,4274,0.0036050563767289663,tail
mkgw_mhyper_adamf,Relation,seed_direction,3.0,4274,0.0003738277854939197,head
mkgw_mhyper_adamf,Relation,seed_direction,3.0,4274,0.002626231163580961,tail
mkgw_mhyper_adamf,Query-soft,seed,1.0,8548,0.023311632966183334,
mkgw_mhyper_adamf,Query-soft,seed,2.0,8548,0.018542396337973215,
mkgw_mhyper_adamf,Query-soft,seed,3.0,8548,0.018496794990797306,
mkgw_mhyper_adamf,Query-soft,direction,,12822,0.013279044394806403,head
mkgw_mhyper_adamf,Query-soft,direction,,12822,0.026954838468496167,tail
mkgw_mhyper_adamf,Query-soft,seed_direction,1.0,4274,0.01720168270671408,head
mkgw_mhyper_adamf,Query-soft,seed_direction,1.0,4274,0.02942158322565258,tail
mkgw_mhyper_adamf,Query-soft,seed_direction,2.0,4274,0.010964362499924257,head
mkgw_mhyper_adamf,Query-soft,seed_direction,2.0,4274,0.026120430176022173,tail
mkgw_mhyper_adamf,Query-soft,seed_direction,3.0,4274,0.011671087977780872,head
mkgw_mhyper_adamf,Query-soft,seed_direction,3.0,4274,0.02532250200381374,tail
mkgw_mhyper_adamf,Shrink,seed,1.0,8548,0.0006115379509323375,
mkgw_mhyper_adamf,Shrink,seed,2.0,8548,0.0013205688560498738,
mkgw_mhyper_adamf,Shrink,seed,3.0,8548,0.0011096280294783606,
mkgw_mhyper_adamf,Shrink,direction,,12822,0.0006304136384165555,head
mkgw_mhyper_adamf,Shrink,direction,,12822,0.0013974095858904929,tail
mkgw_mhyper_adamf,Shrink,seed_direction,1.0,4274,0.00041596373286390106,head
mkgw_mhyper_adamf,Shrink,seed_direction,1.0,4274,0.0008071121690007738,tail
mkgw_mhyper_adamf,Shrink,seed_direction,2.0,4274,0.0005613598981463231,head
mkgw_mhyper_adamf,Shrink,seed_direction,2.0,4274,0.0020797778139534247,tail
mkgw_mhyper_adamf,Shrink,seed_direction,3.0,4274,0.0009139172842394419,head
mkgw_mhyper_adamf,Shrink,seed_direction,3.0,4274,0.0013053387747172795,tail
mkgw_mhyper_adamf,Shrink-gate,seed,1.0,8548,0.0006115379509323375,
