pair,label,split,seed,direction,intervention,harm,harm_active,benefit,unchanged,conditional_loss,conditional_gain,mean_loss,mean_gain,utility,severe_10,severe_10_active,severe_50,severe_50_active,top1_retention,top1_loss,top1_outside10,top1_active_retention,top1_active_loss,top1_active_outside10,new_top1,hits1_delta,n,active_n,harm_n,benefit_n,unchanged_n,loss_sum,gain_sum,delta_sum,severe_10_n,severe_50_n,top1_n,top1_retained_n,top1_lost_n,top1_outside10_n,active_top1_n,active_top1_retained_n,active_top1_lost_n,active_top1_outside10_n,new_top1_n,hits1_delta_sum,active_unchanged_n,inactive_n,loss_q50,loss_q90,loss_q95,loss_q99,loss_max,worst_tenth_harm_n,worst_tenth_loss_share
mkgw_mhyper_adamf,W-A,test,2,head,0.38020589611605055,0.07323350491343004,0.1926153846153846,0.26368741226017783,0.6630790828263922,0.020811289062865817,0.007908771678220383,0.0015240836398401967,0.002085443537986516,0.000561359898146324,0.0030416471689284044,0.008,0.0021057557323350493,0.005538461538461538,0.9844827586206897,0.015517241379310345,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0009358914365933552,-0.001169864295741694,4274,1625,313,1127,2834,6.513933476677001,8.91318568135437,2.399252204677389,13,9,580,571,9,0,81,72,9,0,4,-5.0,185,2649,0.00041704579921140496,0.01785714285714285,0.06666666666666635,0.5,0.6666666666666667,32,0.9446436318488534
mkgw_mhyper_adamf,W-A,test,2,tail,0.08750584932147872,0.011932615816565278,0.13636363636363635,0.049836218998596166,0.9382311651848385,0.10391179427505216,0.06661254406039722,0.0012399395198941648,0.003319717333847592,0.0020797778139534265,0.0028076743097800653,0.03208556149732621,0.0018717828731867104,0.0213903743315508,0.9959939909864797,0.00400600901352028,0.0,0.875,0.125,0.0,0.004211511464670099,0.002339728591483388,4274,374,51,213,4010,5.29950150802766,14.18847188486461,8.888970376836944,12,8,1997,1989,8,0,64,56,8,0,18,10.0,110,3900,0.007575757575757583,0.5,0.5,0.5,0.5,6,0.566090979586592
mkgw_mhyper_adamf,W-A,test,3,head,0.2985493682732803,0.053579784744969584,0.17946708463949843,0.21314927468413664,0.7332709405708938,0.013828186209409683,0.0077637070414865,0.0007409112405135277,0.0016548285247529719,0.000913917284239441,0.001169864295741694,0.003918495297805642,0.0009358914365933552,0.003134796238244514,0.9931740614334471,0.006825938566552901,0.0,0.9354838709677419,0.06451612903225806,0.0,0.0002339728591483388,-0.0007019185774450163,4274,1276,229,911,3134,3.1666546419548176,7.072737114794202,3.906082472839371,5,4,586,582,4,0,62,58,4,0,1,-3.0,136,2998,0.0005857131484072018,0.01510989010989017,0.033333333333333354,0.5,0.5,23,0.8835840484221819
mkgw_mhyper_adamf,W-A,test,3,tail,0.0832943378568086,0.012868507253158634,0.1544943820224719,0.05194197473093121,0.9351895180159101,0.11161687840561588,0.05278354160112847,0.0014363426093375931,0.0027416813840548714,0.0013053387747172795,0.003275620028076743,0.03932584269662921,0.002339728591483388,0.028089887640449437,0.995,0.005,0.0,0.8,0.2,0.0,0.0028076743097800653,0.0004679457182966776,4274,356,55,222,3997,6.138928312308873,11.71794623545052,5.579017923141652,14,10,2000,1990,10,0,50,40,10,0,12,2.0,79,3918,0.005860290670417252,0.5,0.5,0.5,0.5,6,0.4886846445143924
db15k_mhyper_native,D-N,dev_oof,1,head,0.16851805099722292,0.02802322645796516,0.1662921348314607,0.06551375915172936,0.9064630143903055,0.028665614573005975,0.010167445304703664,0.0008033030087360927,0.0006661075628807373,-0.0001371954458553546,0.0023983842464024236,0.014232209737827715,0.0008836152486745772,0.0052434456928838954,0.995162404975812,0.0048375950241879755,0.0,0.9743589743589743,0.02564102564102564,0.0,0.0006311537490532694,-0.00025246149962130775,7922,1335,222,519,7181,6.363766435207326,5.276904113141201,-1.086862322066119,19,7,1447,1440,7,0,273,266,7,0,5,-2.0,594,6587,0.000303416359072477,0.08166666666666675,0.16666666666666669,0.5,0.5,23,0.907294380237797
db15k_mhyper_native,D-N,dev_oof,1,tail,0.011234536733148195,0.0017672304973491543,0.15730337078651685,0.003281999495077001,0.9949507700075738,0.03804872983422756,0.004329531146849165,6.724087574844556e-05,1.4209519037879107e-05,-5.3031356710566454e-05,0.00012623074981065388,0.011235955056179775,0.00012623074981065388,0.011235955056179775,0.9997063142437592,0.0002936857562408223,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,-0.00012623074981065388,7922,89,14,26,7882,0.5326822176791858,0.11256780981807829,-0.42011440786110743,1,1,3405,3404,1,0,17,16,1,0,0,-1.0,49,7833,0.0015912015912015898,0.011994949494949508,0.1840277777777776,0.43680555555555517,0.5,2,0.9647194365297633
db15k_mhyper_native,D-N,dev_oof,2,head,0.09517798535723303,0.01237061348144408,0.129973474801061,0.0374905326937642,0.9501388538247917,0.021188468563786714,0.010136373941366012,0.000262114354866334,0.0003800180586450019,0.00011790370377866787,0.0005049229992426155,0.005305039787798408,0.0003786922494319616,0.003978779840848806,0.9979035639412998,0.0020964360587002098,0.0,0.9811320754716981,0.018867924528301886,0.0,0.00025246149962130775,-0.00012623074981065388,7922,754,98,297,7527,2.076469919251098,3.0105030605857053,0.9340331413346069,4,3,1431,1428,3,0,159,156,3,0,2,-1.0,359,7168,0.00011811528524488068,0.018560606060606045,0.08333333333333331,0.5,0.5,10,0.9407963657089324
db15k_mhyper_native,D-N,dev_oof,2,tail,0.004796768492804847,0.0012623074981065387,0.2631578947368421,0.0013885382479171926,0.9973491542539763,0.018726733251225668,0.06875041130421954,2.36388957980632e-05,9.546257565594734e-05,7.182367985788413e-05,0.00012623074981065388,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00012623074981065388,0.00012623074981065388,7922,38,10,11,7901,0.18726733251225666,0.7562545243464148,0.5689871918341581,1,0,3386,3386,0,0,5,5,0,0,1,1.0,17,7884,0.0004797205434001481,0.02916666666666662,0.09791666666666651,0.1529166666666667,0.16666666666666669,1,0.8899932755530564
db15k_mhyper_native,D-N,dev_oof,3,head,0.29702095430446857,0.052890684170663976,0.1780705482362941,0.1269881343095178,0.8201211815198183,0.035221223644249844,0.013660622695055021,0.0018628746158723408,0.0017347369895512942,-0.0001281376263210484,0.0037869224943196163,0.012749681257968552,0.002777076495834385,0.009349766255843604,0.9847750865051903,0.01522491349480969,0.0,0.9544513457556936,0.045548654244306416,0.0,0.0017672304973491543,-0.001009845998485231,7922,2353,419,1006,6497,14.757692706940684,13.742586431225352,-1.0151062757153453,30,22,1445,1423,22,0,483,461,22,0,14,-8.0,928,5569,0.0004735392033061647,0.04999999999999999,0.5,0.5,0.6666666666666667,42,0.9050969634881246
db15k_mhyper_native,D-N,dev_oof,3,tail,0.030042918454935622,0.0025246149962130774,0.08403361344537816,0.008836152486745772,0.9886392325170411,0.020125711742798324,0.01431974403788941,5.0809673675330284e-05,0.00012653144188995945,7.572176821462913e-05,0.00012623074981065388,0.004201680672268907,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00012623074981065388,0.00012623074981065388,7922,238,20,70,7832,0.4025142348559665,1.0023820826522587,0.599867847796292,1,0,3406,3406,0,0,72,72,0,0,1,1.0,148,7684,0.001352278840267859,0.08333333333333331,0.08750000000000004,0.15083333333333324,0.16666666666666669,2,0.6210960466763583
