seed,dataset,pair,method,measurement_scope,n_seed_repetitions,n_queries_per_repetition,n_test_queries_available,entity_count,primary_query_batch_size,secondary_query_batch_size,outer_query_batch_size,base_params,combiner_params,scoring_time_mean_s,scoring_time_std_s,feature_time_mean_s,feature_time_std_s,combiner_inference_time_mean_s,combiner_inference_time_std_s,score_combination_time_mean_s,score_combination_time_std_s,combiner_only_overhead_mean_s,combiner_only_overhead_std_s,total_time_mean_s,total_time_std_s,queries_per_second_mean,queries_per_second_std,peak_gpu_memory_mean_mb,peak_gpu_memory_std_mb,peak_cpu_memory_mean_mb,peak_cpu_memory_std_mb,relative_overhead_vs_primary,combiner_only_overhead_vs_global_s,combiner_only_overhead_vs_global_relative
2,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,369,2.4800193599998237,0.1048217949098553,0.2224375199996757,0.02039534548938953,0.015862080000169955,0.000536340407372641,0.09304409999995186,0.004751692084364648,0.3313436999997975,0.0232841114126398,2.8204788400000327,0.10947004251178065,181.74434000056027,6.923221280531239,2508.59375,0.0,1194.9703125,33.84635762800212,4.979080924526035,0.12147046000063708,0.578780124617712
2,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,14,2.71434939999981,0.1520204362841742,0.4465011000001141,0.03467225378170404,0.07416576000032364,0.008941980560291015,0.10756261999986236,0.011770495979132682,0.6282294800003001,0.04850905061867476,3.351924979999967,0.13038676387890533,152.92685172563,5.747660982171585,2508.58544921875,0.0,1220.7953125,0.594395978780008,6.105683766930824,0.4183562400011397,1.9933758110505808
3,MKG-W,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,,32,20686933,0,0.6162621799999215,0.3956814121703075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6220233599999119,0.39851865847502493,1000.1743049732678,346.0506061805553,1778.1123046875,0.0,1071.409375,0.043357615392223776,0.0,-0.2573467000001074,-1.0
3,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,0,2.4653656200000116,0.06907302560515241,0.15859875999976794,0.024957705913194215,0.0004429199997503019,0.00011069592115773845,0.09830502000058913,0.011565224285463884,0.2573467000001074,0.036253081786760157,2.7313888599998792,0.0792749779228754,187.5773247369249,5.466340451623133,2508.58544921875,0.0,1226.91875,0.24661093967301256,3.3911355033358657,0.0,0.0
3,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,369,2.4330412600003,0.17317093654264276,0.19991433999994115,0.01791314188414905,0.01620043999992049,0.0016042956796701712,0.08728310000042257,0.0014124990777223856,0.3033978800002842,0.019465714374601106,2.744724339999993,0.19225063309876503,187.23515159075967,12.42579775516159,2508.59375,0.0,1231.78671875,0.35266320745241486,3.4125743766285277,0.04605118000017683,0.1789460676983914
3,MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,27028733,14,2.610321959999419,0.13459075850770247,0.44992552000012437,0.04719998345544418,0.07489986000009594,0.011874602225403895,0.09363407999990159,0.011952556682270306,0.6184594600001219,0.060067613930406355,3.2368394800001625,0.15393196870135198,158.4585549695532,7.35042667502625,2508.58544921875,0.0,1234.321875,0.37253625885295544,4.203726561009897,0.36111276000001447,1.403215040254504
1,MKG-W,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,,32,20686933,0,0.48471093999964976,0.031441451255788205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48985727999997836,0.031785190345124274,1048.824181849187,69.7786051219509,1778.1123046875,0.0,1072.58828125,0.03912104987048213,0.0,-0.25732098000012227,-1.0
1,MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,29115352,0,3.811850499999946,0.24235100079795682,0.15861587999997936,0.03652345295274346,0.00040340000005016917,6.298301335978874e-05,0.09830170000009275,0.00993940506631974,0.25732098000012227,0.04536193929348656,4.078066100000069,0.2744421421975836,126.00120454882722,8.389965553454584,3942.5458984375,0.0,1254.36328125,0.4251536372117437,7.325008663748449,0.0,0.0
1,MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,29115352,369,4.52094033999997,0.361121879165515,0.24707092000007833,0.028020680511049677,0.018820779999532532,0.004122421782909134,0.09939937999993162,0.004920530096511342,0.36529107999954247,0.03429280228465939,4.896112959999982,0.3612369276562858,105.0031564215737,7.301325944392385,3942.55419921875,0.0,1241.88046875,0.5461951689622092,8.994978455766134,0.1079700999994202,0.4195930701001096
1,MKG-W,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,29115352,14,5.256741899999724,0.274025131508866,0.49693413999980296,0.03208752767317147,0.07632108000007065,0.007444799585646583,0.10026067999997394,0.011053817423256762,0.6735158999998475,0.04189479177787444,5.939352980000012,0.24530533152288453,86.32609861468075,3.677130171053953,3942.5458984375,0.0,1263.17265625,0.6365353934612797,11.12466002342616,0.41619491999972524,1.6174154163392642
2,MKG-W,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,,32,20686933,0,0.46626788000007763,0.019486347496767264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4710283200000049,0.019612031553543057,1088.4254963985688,43.30023135979988,1778.1123046875,0.0,1075.22109375,0.018652088103614566,0.0,-0.2458711400019638,-1.0
2,MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,29115352,0,4.515108540000346,0.38487327336157545,0.14760074000068926,0.021086637972502615,0.0003942800006370817,6.31808280514849e-05,0.09787612000063746,0.015172377199379037,0.2458711400019638,0.03598785303413836,4.769995039999958,0.3940220669837701,107.91309537988285,8.72364245692412,3942.5458984375,0.0,1264.83515625,1.0750862974082591,9.126769108065325,0.0,0.0
2,MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,29115352,369,5.534777299999678,0.7311183283829287,0.35518152000004194,0.1465780550867804,0.023103679999621818,0.00870159622211901,0.14785205999978643,0.05488200559232897,0.5261372599994502,0.20450392704462447,6.074914739999985,0.9183551367340981,85.90674264877299,13.522056363808744,3942.55419921875,0.0,1241.40390625,0.7789791214658373,11.897132681958322,0.28026611999748635,1.1398902693307065
2,MKG-W,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,32,32,29115352,14,5.119449400000212,0.7078607374287533,0.46374617999954354,0.055671926337339694,0.07126503999979832,0.00586693746876842,0.0953379200004747,0.008075931779018754,0.6303491399998166,0.06579369018553498,5.759005419999994,0.7289250208145786,90.02871755501154,11.146960344257801,3942.5458984375,0.0,1244.015625,0.49906070219228466,11.226452583572755,0.38447799999785276,1.5637378180895158
3,MKG-W,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,8548,15000,32,,32,20686933,0,0.4750956800000495,0.030903109216897255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47988758000010423,0.03115645175627285,1070.3741890723745,66.65082979566677,1778.1123046875,0.0,1075.61796875,0.029413829057838594,0.0,-0.2468041199993422,-1.0
