pair_id,outer_fold,inner_fold,minimum_support,inner_global_alpha,inner_delta_mrr,inner_support_coverage,selected_for_outer_fold,pooled_inner_delta_mrr
mkg_y_mhyper_adamf,4,2,25,0.35,0.004522859882502246,0.6246498599439776,False,0.003372170143108007
mkg_y_mhyper_adamf,4,2,50,0.35,0.004059351568650607,0.5063025210084033,False,0.0035332974867898527
mkg_y_mhyper_adamf,4,2,100,0.35,-0.0014373177620949946,0.16806722689075632,False,5.4905015340859324e-05
mkg_y_mhyper_adamf,4,3,10,0.35,0.00395355665903465,0.8163841807909604,True,0.005021226687335738
mkg_y_mhyper_adamf,4,3,25,0.35,0.003352752491085915,0.672316384180791,False,0.003372170143108007
mkg_y_mhyper_adamf,4,3,50,0.35,0.0037150995495404526,0.4781073446327684,False,0.0035332974867898527
mkg_y_mhyper_adamf,4,3,100,0.35,0.00010198329547957005,0.1574858757062147,False,5.4905015340859324e-05
mkg_y_mhyper_adamf,5,1,10,0.35,0.004195815722719155,0.8085553997194951,False,0.0018825161882487593
mkg_y_mhyper_adamf,5,1,25,0.35,0.0022133834331106183,0.6318373071528752,False,0.0014555676317766855
mkg_y_mhyper_adamf,5,1,50,0.35,0.003854186405418326,0.45582047685834504,True,0.00259586450470124
mkg_y_mhyper_adamf,5,1,100,0.35,-0.0006710936200854827,0.15568022440392706,False,-0.0003298868625627244
mkg_y_mhyper_adamf,5,2,10,0.35,0.0019193613742002694,0.8158263305322129,False,0.0018825161882487593
mkg_y_mhyper_adamf,5,2,25,0.35,0.002096629904428857,0.626750700280112,False,0.0014555676317766855
mkg_y_mhyper_adamf,5,2,50,0.35,0.002087237250581444,0.4803921568627451,True,0.00259586450470124
mkg_y_mhyper_adamf,5,2,100,0.35,-0.0005508192823165198,0.17647058823529413,False,-0.0003298868625627244
mkg_y_mhyper_adamf,5,3,10,0.35,-0.0004809394264857541,0.808885754583921,False,0.0018825161882487593
mkg_y_mhyper_adamf,5,3,25,0.35,4.789326079679246e-05,0.6086036671368125,False,0.0014555676317766855
mkg_y_mhyper_adamf,5,3,50,0.35,0.0018426576559427796,0.47390691114245415,True,0.00259586450470124
mkg_y_mhyper_adamf,5,3,100,0.35,0.00023573537413394208,0.1755994358251058,False,-0.0003298868625627244
mkg_y_native_adamf,1,1,10,0.55,-0.0030942241770690946,0.8208744710860366,False,-0.0025459380877300305
mkg_y_native_adamf,1,1,25,0.55,-0.003830311802183479,0.6734837799717912,False,-0.002273083828053921
mkg_y_native_adamf,1,1,50,0.55,-0.002895320228588323,0.4605077574047955,False,-0.00151103362241477
mkg_y_native_adamf,1,1,100,0.55,-0.0016992545634025745,0.20380818053596614,True,-0.00036668351569485674
mkg_y_native_adamf,1,2,10,0.55,-0.002521042646323409,0.8070422535211268,False,-0.0025459380877300305
mkg_y_native_adamf,1,2,25,0.55,-0.0021913995636803963,0.6387323943661972,False,-0.002273083828053921
mkg_y_native_adamf,1,2,50,0.55,-0.0019080626960508646,0.49859154929577465,False,-0.00151103362241477
mkg_y_native_adamf,1,2,100,0.55,0.0001792032534039987,0.16267605633802817,True,-0.00036668351569485674
mkg_y_native_adamf,1,3,10,0.6,-0.002026247507978357,0.8221288515406162,False,-0.0025459380877300305
mkg_y_native_adamf,1,3,25,0.6,-0.0008079874611734526,0.6414565826330533,False,-0.002273083828053921
mkg_y_native_adamf,1,3,50,0.6,0.00025836392108477665,0.46078431372549017,False,-0.00151103362241477
