pair_id,level,group_key,fold_count,median_alpha,foldwise_mad,mean_support_original_triples
mkg_y_mhyper_adamf,L3,"[4,""head""]",5,0.6,0.0,298.4
mkg_y_mhyper_adamf,L3,"[5,""head""]",5,0.7,0.0,103.2
mkg_y_mhyper_adamf,L3,"[6,""head""]",5,0.4,0.0,148.0
mkg_y_mhyper_adamf,L3,"[8,""head""]",5,0.95,0.0,36.0
mkg_y_mhyper_adamf,L3,"[9,""head""]",5,0.2,0.0,623.2
mkg_y_mhyper_adamf,L3,"[10,""head""]",5,0.6,0.19999999999999996,27.2
mkg_y_mhyper_adamf,L3,"[12,""head""]",5,0.2,0.0,63.2
mkg_y_mhyper_adamf,L3,"[0,""tail""]",5,0.05,0.0,58.4
mkg_y_mhyper_adamf,L3,"[1,""tail""]",5,0.95,0.0,264.8
mkg_y_mhyper_adamf,L3,"[2,""tail""]",5,0.35,0.04999999999999999,108.0
mkg_y_mhyper_adamf,L3,"[3,""tail""]",5,0.85,0.0,332.0
mkg_y_mhyper_adamf,L3,"[4,""tail""]",5,1.0,0.0,298.4
mkg_y_mhyper_adamf,L3,"[5,""tail""]",5,0.4,0.15000000000000002,103.2
mkg_y_mhyper_adamf,L3,"[6,""tail""]",5,0.35,0.0,148.0
mkg_y_mhyper_adamf,L3,"[8,""tail""]",5,0.75,0.0,36.0
mkg_y_mhyper_adamf,L3,"[9,""tail""]",5,0.25,0.0,623.2
mkg_y_mhyper_adamf,L3,"[10,""tail""]",5,0.25,0.0,27.2
mkg_y_mhyper_adamf,L3,"[12,""tail""]",5,0.25,0.0,63.2
mkg_y_mhyper_adamf,L4,"[0,""head"",1,""text_and_image""]",4,0.35,0.0,22.0
mkg_y_mhyper_adamf,L4,"[0,""head"",3,""text_and_image""]",4,0.6,0.0,14.5
mkg_y_mhyper_adamf,L4,"[1,""head"",3,""text_and_image""]",5,1.0,0.0,134.4
mkg_y_mhyper_adamf,L4,"[1,""head"",1,""text_and_image""]",4,0.7,0.25,24.75
mkg_y_mhyper_adamf,L4,"[1,""head"",2,""text_and_image""]",4,0.625,0.07499999999999996,38.25
mkg_y_mhyper_adamf,L4,"[1,""head"",3,""image_only""]",5,0.75,0.19999999999999996,54.4
mkg_y_mhyper_adamf,L4,"[2,""head"",3,""text_and_image""]",4,0.15,0.0,11.0
mkg_y_mhyper_adamf,L4,"[2,""head"",0,""text_and_image""]",4,0.15,0.0,14.5
mkg_y_mhyper_adamf,L4,"[2,""head"",1,""text_and_image""]",5,0.25,0.04999999999999999,55.2
mkg_y_mhyper_adamf,L4,"[2,""head"",2,""text_and_image""]",4,1.0,0.0,12.0
mkg_y_mhyper_adamf,L4,"[3,""head"",1,""text_and_image""]",5,0.4,0.0,184.8
mkg_y_mhyper_adamf,L4,"[3,""head"",0,""image_only""]",4,0.925,0.024999999999999967,15.5
mkg_y_mhyper_adamf,L4,"[3,""head"",2,""text_and_image""]",4,0.85,0.0,38.25
mkg_y_mhyper_adamf,L4,"[3,""head"",1,""image_only""]",4,0.95,0.0,26.0
mkg_y_mhyper_adamf,L4,"[3,""head"",0,""text_and_image""]",4,0.35,0.0,45.25
mkg_y_mhyper_adamf,L4,"[4,""head"",1,""text_and_image""]",4,0.8,0.0,32.5
mkg_y_mhyper_adamf,L4,"[4,""head"",3,""text_and_image""]",5,0.6,0.0,148.0
mkg_y_mhyper_adamf,L4,"[4,""head"",2,""text_and_image""]",4,0.95,0.0,40.25
mkg_y_mhyper_adamf,L4,"[4,""head"",3,""image_only""]",5,0.55,0.10000000000000003,53.6
mkg_y_mhyper_adamf,L4,"[5,""head"",1,""text_and_image""]",4,0.6,0.04999999999999999,20.25
mkg_y_mhyper_adamf,L4,"[5,""head"",2,""text_and_image""]",4,0.775,0.22499999999999998,11.25
mkg_y_mhyper_adamf,L4,"[5,""head"",3,""text_and_image""]",4,0.4,0.0,40.0
mkg_y_mhyper_adamf,L4,"[6,""head"",1,""text_and_image""]",5,0.4,0.0,95.2
mkg_y_mhyper_adamf,L4,"[6,""head"",2,""text_and_image""]",4,0.65,0.15000000000000002,18.0
mkg_y_mhyper_adamf,L4,"[6,""head"",0,""text_and_image""]",4,0.35,0.0,16.0
mkg_y_mhyper_adamf,L4,"[8,""head"",1,""text_and_image""]",4,0.85,0.0,13.5
mkg_y_mhyper_adamf,L4,"[9,""head"",1,""text_and_image""]",5,0.25,0.0,337.6
mkg_y_mhyper_adamf,L4,"[9,""head"",2,""text_and_image""]",5,0.15,0.15,111.2
mkg_y_mhyper_adamf,L4,"[9,""head"",3,""text_and_image""]",4,0.1,0.025,28.75
mkg_y_mhyper_adamf,L4,"[9,""head"",0,""text_and_image""]",5,0.25,0.0,53.6
mkg_y_mhyper_adamf,L4,"[9,""head"",1,""image_only""]",4,0.35,0.1,38.25
mkg_y_mhyper_adamf,L4,"[9,""head"",2,""image_only""]",4,0.2,0.0,38.75
mkg_y_mhyper_adamf,L4,"[10,""head"",3,""text_and_image""]",4,0.75,0.15000000000000002,27.0
mkg_y_mhyper_adamf,L4,"[12,""head"",1,""text_and_image""]",4,0.175,0.02500000000000001,33.0
mkg_y_mhyper_adamf,L4,"[0,""tail"",2,""text_and_image""]",3,0.35,0.0,10.666666666666666
mkg_y_mhyper_adamf,L4,"[0,""tail"",1,""text_and_image""]",4,0.05,0.0,24.25
mkg_y_mhyper_adamf,L4,"[1,""tail"",1,""text_and_image""]",5,1.0,0.0,88.8
