pair_id,level,outer_fold,global_alpha,minimum_support,training_adaptive_gain,oof_delta_mrr,support_coverage,supported_group_count,degree_edges
mkg_y_mhyper_adamf,L5,2,0.35,,,0.007632854660626484,1.0,,
mkg_y_mhyper_adamf,L5,3,0.35,,,0.004675844192276851,1.0,,
mkg_y_mhyper_adamf,L5,4,0.35,,,0.004846558511163015,1.0,,
mkg_y_mhyper_adamf,L5,5,0.35,,,0.004710543381139046,1.0,,
mkg_y_native_adamf,L0,1,0.55,1,0.0,0.0,1.0,1,
mkg_y_native_adamf,L1,1,0.55,1,9.2721061978921e-06,-0.0010480844786639198,1.0,2,
mkg_y_native_adamf,L2,1,0.55,25,0.0028666342883608676,0.0007897135958022687,0.9680451127819549,11,
mkg_y_native_adamf,L3,1,0.55,25,0.0037257561897113883,0.0007900125025562339,0.9680451127819549,22,
mkg_y_native_adamf,L4,1,0.55,100,0.0012101149149282545,-0.000644017082175403,0.3768796992481203,11,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_native_adamf,L0,2,0.6,1,0.0,0.0,1.0,1,
mkg_y_native_adamf,L1,2,0.6,1,0.0003341061485919799,-0.0002804001213489328,1.0,2,
mkg_y_native_adamf,L2,2,0.6,25,0.0032699085037698338,-0.0003701327773609171,0.9644859813084112,11,
mkg_y_native_adamf,L3,2,0.6,25,0.004227465052983889,0.0003278020417202288,0.9644859813084112,22,
mkg_y_native_adamf,L4,2,0.6,10,0.007181790190796013,-0.0020522332212024458,0.8598130841121495,76,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_native_adamf,L0,3,0.55,1,0.0,0.0,1.0,1,
mkg_y_native_adamf,L1,3,0.55,1,0.0002839901542869408,-0.0011874344930406597,1.0,2,
mkg_y_native_adamf,L2,3,0.55,25,0.002020353841467748,0.0027668978919958074,0.9662921348314607,11,
mkg_y_native_adamf,L3,3,0.55,25,0.003218695563832449,0.0009207044244600967,0.9662921348314607,22,
mkg_y_native_adamf,L4,3,0.55,100,0.0009070621849590278,0.00012128924777747448,0.32303370786516855,9,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_native_adamf,L0,4,0.55,1,0.0,0.0,1.0,1,
mkg_y_native_adamf,L1,4,0.55,1,0.00022430814019144918,-0.0006353355623961897,1.0,2,
mkg_y_native_adamf,L2,4,0.55,25,0.003755391831386049,-0.0020315790831795643,0.9644859813084112,11,
mkg_y_native_adamf,L3,4,0.55,25,0.004480440708261306,-0.0031811986265337794,0.9644859813084112,22,
mkg_y_native_adamf,L4,4,0.55,50,0.00330963476062026,-0.000925954641544255,0.5383177570093458,21,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_native_adamf,L0,5,0.6,1,0.0,0.0,1.0,1,
mkg_y_native_adamf,L1,5,0.6,1,0.00037085789112760887,-0.0004808108040065614,1.0,2,
mkg_y_native_adamf,L2,5,0.6,25,0.0023603103313123075,0.0028100931788598606,0.9735349716446124,11,
mkg_y_native_adamf,L3,5,0.6,25,0.003768254981817818,-0.0007653059526370423,0.9735349716446124,22,
mkg_y_native_adamf,L4,5,0.6,100,0.0008781211733119496,0.0008738390137829801,0.31474480151228734,8,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_native_adamf,L5,1,0.55,,,0.0005534627884552526,1.0,,
mkg_y_native_adamf,L5,2,0.6,,,0.0012759274765788305,1.0,,
mkg_y_native_adamf,L5,3,0.55,,,-0.0009785103605932123,1.0,,
mkg_y_native_adamf,L5,4,0.55,,,-0.002966710170006037,1.0,,
mkg_y_native_adamf,L5,5,0.6,,,-8.11157755880592e-05,1.0,,
