dataset,pair_id,representation,delta_alpha,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_native_adamf,R0,-0.1,47532,0.024365498993139965,0.021193042445344413,0.10312801639976192,0.39506016999074306,0.45409313931686834,0.059032969326125284,0.5756496034804528,0.19029285533956072,0.1880904611807897,-0.0022023941587710205,0.5071457035961817,0.5530525912702261,0.0530525912702261,0.5523967763985901,0.5853530253303038,-0.03295624893171367,0.0009466339110975014,0.4958973280033663,0.1493793393646118,False,47532
db15k,db15k_native_adamf,R0,-0.05,47532,0.013523658085423149,0.011138581910448453,0.06578081878144748,0.36949844315408564,0.39538958031467664,0.025891137160590993,0.5409439628070036,0.1541908608937137,0.15518428242611068,0.000993421532396982,0.5133520704161949,0.5379562293362746,0.03795622933627463,0.49895510845235574,0.5236893040477993,-0.024734195595443598,-0.0010017281256441254,0.4031138228487271,0.12791920892068168,False,47532
db15k,db15k_native_adamf,R1,-0.3,47532,0.05853362253096964,0.0526808697110448,0.10632617958693293,0.4239038963224775,0.5360793462651794,0.1121754499427019,0.6231129993319844,0.2642009593536986,0.25652655504982247,-0.0076744043038761145,0.4745058037926529,0.5524411418101255,0.05244114181012549,0.619943663641515,0.6881048556761761,-0.06816119203466109,0.01111467204465336,0.6017252261729434,0.25120976225541763,False,47532
db15k,db15k_native_adamf,R1,-0.2,47532,0.04396770462501226,0.03890123581212422,0.10402999669310115,0.41584616679289743,0.5256543544444372,0.10980818765153977,0.6227891550837954,0.23369519481612389,0.21945206540812043,-0.014243129408003458,0.4636270419884051,0.5446938739427025,0.04469387394270252,0.5865419301915495,0.6495413616090213,-0.06299943141747177,0.0067952678951722,0.5907847675152536,0.22512097622554175,False,47532
db15k,db15k_native_adamf,R1,-0.1,47532,0.02515097852373235,0.02141323779410036,0.08990315943206967,0.39506016999074306,0.48183179603810067,0.08677162604735761,0.6083665332196452,0.19029285533956072,0.17044157472126373,-0.019851280618296996,0.45085628117944904,0.5260321421024721,0.026032142102472067,0.5393565089603234,0.5853530253303038,-0.04599651636998037,3.802601895428752e-05,0.5247212286976647,0.21081422259625499,False,47532
db15k,db15k_native_adamf,R1,-0.05,47532,0.014115185323466522,0.011267687884468114,0.0664072843512061,0.36949844315408564,0.4292635239754721,0.059765080821386485,0.5858138522448638,0.1541908608937137,0.13277747930771036,-0.02141338158600334,0.4409568499491225,0.5038097494168451,0.0038097494168450874,0.4979850388504449,0.5236893040477993,-0.025704265197354415,-0.0013102653268336575,0.45150431306543237,0.18472543656637913,False,47532
db15k,db15k_native_adamf,R2,-0.3,47532,0.05821530950404444,0.052516686855934046,0.10841805782604809,0.4239038963224775,0.5131588399321454,0.0892549436096679,0.6022123086087203,0.2642009593536986,0.2689127340395196,0.004711774685821013,0.4972707195597616,0.5575813490182959,0.057581349018295924,0.6440944047232152,0.6881048556761761,-0.044010450952960856,0.009524079144174065,0.5832106038291606,0.21586366505365032,True,47532
db15k,db15k_native_adamf,R2,-0.2,47532,0.04372548471600765,0.038779473284926105,0.10902977761715288,0.41584616679289743,0.5080859826871872,0.09223981589428976,0.6052606936728403,0.23369519481612389,0.22948000595434082,-0.00421518886178307,0.4855461062427152,0.5519142772199225,0.05191427721992248,0.6023587917794889,0.6495413616090213,-0.047182569829532395,0.00786277133343485,0.5689038501998738,0.20050494424573953,False,47532
db15k,db15k_native_adamf,R2,-0.1,47532,0.024931054328534753,0.021348717319450653,0.08521973262316135,0.39506016999074306,0.46923002100849887,0.0741698510177558,0.5869382781739034,0.19029285533956072,0.17795257242437967,-0.01234028291518105,0.4717470723712025,0.5313015018633533,0.03130150186335334,0.5497432301397771,0.5853530253303038,-0.03560979519052665,0.00022027830310209545,0.5194613928045445,0.17715127288028615,False,47532
db15k,db15k_native_adamf,R2,-0.05,47532,0.01373190377546598,0.01118253613649252,0.06289030706128519,0.36949844315408564,0.4160199810274996,0.046521537873413954,0.5575608251512385,0.1541908608937137,0.1444551964995594,-0.009735664394154298,0.4803879046272966,0.5208306137512774,0.02083061375127737,0.5032344894957147,0.5236893040477993,-0.020454814552084644,-0.0011370230172431676,0.44371975594361457,0.1476961918788134,False,47532
db15k,db15k_native_adamf,R3,-0.3,47532,0.05819087778308154,0.0525880155876936,0.09952054441264781,0.4239038963224775,0.5045853371215759,0.08068144079909845,0.5882635581729467,0.2642009593536986,0.2684216882632092,0.00422072890951064,0.4996232463925856,0.5512914888555497,0.05129148885554968,0.6583805927233323,0.6881048556761761,-0.029724262952843805,0.010938171616779855,0.5596465390279823,0.22448979591836735,True,47532
db15k,db15k_native_adamf,R3,-0.2,47532,0.043685304024834545,0.03882638392053164,0.10195668473109652,0.41584616679289743,0.49688768084336854,0.08104151405047111,0.589406864900478,0.23369519481612389,0.23197984153501708,-0.0017153532811068073,0.49354536393515464,0.5486294798585292,0.04862947985852917,0.6170047163850662,0.6495413616090213,-0.03253664522395516,0.012007872131729772,0.5518619819061645,0.17820324005891017,False,47532
db15k,db15k_native_adamf,R3,-0.1,47532,0.025034286629270864,0.021398909060376798,0.08435478368647228,0.39506016999074306,0.46106785857506316,0.0660076885843201,0.5747410606296063,0.19029285533956072,0.1836828470132885,-0.006610008326272232,0.48638050311633446,0.5355848095294701,0.035584809529470074,0.5660288373714852,0.5853530253303038,-0.019324187958818517,0.004950908384192454,0.5099936881969283,0.15421838838628235,False,47532
db15k,db15k_native_adamf,R3,-0.05,47532,0.013948728035920146,0.011243203306306546,0.058069077809284164,0.36949844315408564,0.4115736213151235,0.04207517816103784,0.5559307230160722,0.1541908608937137,0.1440589577277836,-0.0101319031659301,0.47779422147840533,0.517530221029062,0.017530221029061988,0.5105945368236066,0.5236893040477993,-0.013094767224192783,0.0007249856672780892,0.4342520513359983,0.14601304439301493,False,47532
