dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_native_adamf,R1,2,63376,0.0428468138503334,0.03812904981409987,0.09609965873698649,0.4074728603887907,0.4964137564314125,0.08894089604262179,0.6038995845216071,0.2243436001009846,0.22882976017047343,0.00448616006948882,0.4927104769540614,0.5550337088739286,0.055033708873928555,0.595891706325105,0.6318164604897754,-0.035924754164670336,0.004728312125741772,0.5526980119911644,0.2243609971599874,True,15844
db15k,db15k_native_adamf,R1,3,63376,0.029638407857778395,0.02555064846692679,0.07752586552384542,0.3895323150719515,0.4786501942964814,0.0891178792245299,0.5974338059607529,0.20327884372633173,0.1923946625954484,-0.010884181130883325,0.4667302442472065,0.5329731938663654,0.032973193866365436,0.5598503044505032,0.5928111587982833,-0.032960854347780066,0.0020103236461605574,0.5301356894919533,0.20558535815714737,False,15844
db15k,db15k_native_adamf,R2,1,63376,0.033586969052794055,0.02944307852239591,0.09371512671677372,0.40622633173441053,0.4807012862259182,0.07447495449150765,0.5807395390528006,0.20416245897500632,0.21554892034118991,0.011386461366183598,0.5067098748988865,0.5533317419888782,0.053331741988878245,0.5913519251421583,0.6103887907094168,-0.019036865567258476,0.007495682088111146,0.546071315872515,0.19611864941621962,True,15844
db15k,db15k_native_adamf,R2,2,63376,0.042651293355287036,0.03801717069167484,0.093153477947326,0.4074728603887907,0.4851980452876834,0.07772518489889269,0.5859513160338358,0.2243436001009846,0.23513931408572802,0.01079571398474341,0.501411625193494,0.5518423480877426,0.051842348087742574,0.6148567182159298,0.6318164604897754,-0.016959742273845557,0.003718109836021384,0.5465446513095614,0.20353423792994635,True,15844
db15k,db15k_native_adamf,R2,3,63376,0.029214551834958535,0.025410310983531748,0.08411237778207012,0.3895323150719515,0.4628098206171375,0.07327750554518597,0.5778389563573371,0.20327884372633173,0.2048815418253418,0.0016026980990100637,0.4967784823200335,0.5453923453863122,0.045392345386312205,0.5732775961889508,0.5928111587982833,-0.019533562609332478,0.0012636261472631994,0.514988955506469,0.18396970653202904,True,15844
db15k,db15k_native_adamf,R3,1,63376,0.033540851641145016,0.029426347831439693,0.09115524408510675,0.40622633173441053,0.47658706330619005,0.07036073157177952,0.5750630447342727,0.20416245897500632,0.2138204961840744,0.009658037209068077,0.5039527410867997,0.5479236189484425,0.04792361894844255,0.5992847152740588,0.6103887907094168,-0.011104075435357963,0.007998247080990117,0.5285579047017986,0.16913852950457559,True,15844
db15k,db15k_native_adamf,R3,2,63376,0.04271886889230402,0.038100523566278334,0.09349646834770817,0.4074728603887907,0.4800993562593246,0.07262649587053388,0.5810451045471386,0.2243436001009846,0.23527595112431515,0.010932351023330539,0.5032520975781034,0.55020398259933,0.05020398259933001,0.6258426341931599,0.6318164604897754,-0.00597382629661547,0.009933552149759278,0.5312401388450615,0.1970653202903124,True,15844
db15k,db15k_native_adamf,R3,3,63376,0.02938467682138128,0.025515512508463397,0.07382858308121153,0.3895323150719515,0.45198083246290033,0.06244851739094881,0.564925806557795,0.20327884372633173,0.2014265305934202,-0.0018523131329115372,0.4945445268190148,0.535931613392156,0.035931613392156,0.5825708212597288,0.5928111587982833,-0.010240337538554467,0.002508867855155275,0.5025244556642474,0.175765225623225,False,15844
mkg_w,mkgw_mhyper_adamf,R0,1,34208,0.02327486977594689,0.019436226271615734,0.14674280070484103,0.4186739943872778,0.5085471398518864,0.08987314546460856,0.618011593958767,0.16569223573433114,0.16948285517621275,0.0037906194418816097,0.5059119102113242,0.5734798458422312,0.07347984584223122,0.5335235997828865,0.5843662301216089,-0.05084263033872238,-0.001332312209958794,0.5521777258111663,0.1584332066647179,False,8552
mkg_w,mkgw_mhyper_adamf,R0,2,34208,0.021173067201017304,0.017318051877064512,0.14374448500103812,0.42323433115060805,0.524031750279782,0.10079741912917395,0.6197719111304167,0.15616230121608982,0.15456324991387752,-0.001599051302212301,0.49875644747727677,0.5685504372841295,0.06855043728412946,0.5321857146621979,0.5793966323666978,-0.04721091770449992,0.002339685447484017,0.5776088862905583,0.15375621163402514,False,8552
mkg_w,mkgw_mhyper_adamf,R0,3,34208,0.023024893240060757,0.019186825785027367,0.13713424848604835,0.421421889616464,0.5046908167740219,0.08326892715755796,0.6088979433696459,0.16157039289055192,0.1690804179114063,0.007510025020854377,0.5164439273161985,0.5770093895832125,0.07700938958321246,0.5360173928730467,0.582992282507016,-0.04697488963396923,0.0011928190060395384,0.5372698041508331,0.15638702133878982,True,8552
mkg_w,mkgw_mhyper_adamf,R1,1,34208,0.02331652171272555,0.019421669885439814,0.16807377300812754,0.4186739943872778,0.5397348150962782,0.12106082070900037,0.6396310930831083,0.16569223573433114,0.16824821114492378,0.0025559754105926313,0.5024105225168999,0.5830623086098079,0.0830623086098079,0.5181952746415379,0.5843662301216089,-0.06617095548007101,0.0035619017893651385,0.5957322420344928,0.15317158725518853,True,8552
