dataset,pair_id,representation,direction,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_adamf,R0,tail,51312,0.028481595628141603,0.024238701934285702,0.13212908226130568,0.2916861552853134,0.3894032283554715,0.09771707307015809,0.6025483421715512,0.1213946055503586,0.13681026415708128,0.015415658606722685,0.5277234362191564,0.5936598966916492,0.0936598966916492,0.41516207396792393,0.41308076083567197,0.0020813131322519607,0.0035931298593374025,0.46248294679399726,0.1243422334827519,True,12828
mkg_w,mkgw_mhyper_adamf,R1,head,51312,0.01643132961180727,0.01298190132577088,0.13559997473292257,0.5505339881509199,0.6230130673503401,0.0724790791994202,0.604802644949675,0.20088868101029,0.21072941904502074,0.009840738034730734,0.5221824876053434,0.5657972989054196,0.06579729890541963,0.6838998358603736,0.7514226691612098,-0.0675228333008362,-0.00010957765019121452,0.6335996881699474,0.1808614305203664,False,12828
mkg_w,mkgw_mhyper_adamf,R1,tail,51312,0.028587810007016518,0.024262863018069257,0.15545712410818258,0.2916861552853134,0.4020815834013652,0.1103954281160518,0.6206539561520602,0.1213946055503586,0.14148361291399655,0.02008900736363796,0.5342059374285435,0.6114573804758224,0.11145738047582243,0.38971104651240396,0.41308076083567197,-0.02336971432326801,0.009587616455123434,0.4572208146560125,0.12102903917365036,True,12828
mkg_w,mkgw_mhyper_adamf,R2,head,51312,0.017123343803201727,0.013283007991112358,0.14450334164077044,0.5505339881509199,0.646615191759855,0.09608120360893513,0.6147230419754693,0.20088868101029,0.21958881724081006,0.018700136230520054,0.5336741840248262,0.5785561493840606,0.07855614938406064,0.7024182792794822,0.7514226691612098,-0.04900438988172762,-0.0017309050388841047,0.7185733775092574,0.1703371662443968,False,12828
mkg_w,mkgw_mhyper_adamf,R2,tail,51312,0.02959696030682358,0.024722246934158948,0.1339990877678328,0.2916861552853134,0.40598898501395086,0.11430282972863748,0.601050009383233,0.1213946055503586,0.14525073490677884,0.023856129356420244,0.5420517915463797,0.6043991542457247,0.10439915424572466,0.41427531830151776,0.41308076083567197,0.0011945574658457914,0.008780019956746295,0.48177743129994155,0.12473202104852855,True,12828
mkg_w,mkgw_mhyper_adamf,R3,head,51312,0.01679765495876967,0.013180153179890346,0.13985262901732984,0.5505339881509199,0.6384348698127288,0.08790088166180887,0.6147651942673,0.20088868101029,0.21440461347062828,0.013515932460338276,0.5253892871483014,0.5722625673762951,0.0722625673762951,0.6927233824665225,0.7514226691612098,-0.05869928669468727,6.674968044130475e-05,0.6961605924770999,0.1703371662443968,True,12828
mkg_w,mkgw_mhyper_adamf,R3,tail,51312,0.029364823086118833,0.0246185844540561,0.13693742810008291,0.2916861552853134,0.3975704140688459,0.10588425878353253,0.6007908166986493,0.1213946055503586,0.14740049311908554,0.026005887568726946,0.5508103447889681,0.613113348751853,0.11311334875185297,0.4019639385868256,0.41308076083567197,-0.011116822248846359,0.009706787576595271,0.45566166439290584,0.10758136815435587,True,12828
mkg_w,mkgw_mhyper_native,R0,head,102624,0.014283719935891927,0.012038333188038965,0.20828858504220515,0.3577233395696913,0.4441801732320113,0.08645683366231999,0.6128103766731672,0.388992828188338,0.4635185949452503,0.07452576675691225,0.6011020723748467,0.6339814100839307,0.13398141008393072,0.7458173207079373,0.7467161677580293,-0.000898847050092022,0.0027369094093792545,0.4972714870395634,0.2567725589553693,True,12828
mkg_w,mkgw_mhyper_native,R0,tail,102624,0.029271998067244683,0.026371923853630463,0.2260372084879133,0.19482772061116307,0.3045402100925558,0.1097124894813927,0.6240958273201432,0.21803866541939507,0.34547217472462316,0.1274335093052281,0.6368300807494978,0.68945855480813,0.18945855480813,0.5203922660048833,0.41286638603055814,0.10752587997432517,0.006995288849251836,0.3778015981290197,0.16205418047164297,True,12828
mkg_w,mkgw_mhyper_native,R1,head,102624,0.014268864003588209,0.012032355757313568,0.23017814698377884,0.3577233395696913,0.44602386001354477,0.08830052044385345,0.614659352400891,0.388992828188338,0.4890672836266711,0.1000744554383331,0.621889448431502,0.6477966890988264,0.14779668909882637,0.750005794578653,0.7467161677580293,0.0032896268206237256,0.0022026415845244384,0.49045020463847205,0.25648021828103684,True,12828
mkg_w,mkgw_mhyper_native,R1,tail,102624,0.029097153759783462,0.026356755775036877,0.22331116153078232,0.19482772061116307,0.3166987882564993,0.1218710676453362,0.6262011724054551,0.21803866541939507,0.3664417376808208,0.1484030722614257,0.6317210734139256,0.6816068797221219,0.18160687972212186,0.5605414676551067,0.41286638603055814,0.14767508162454857,0.00557631711680493,0.4087897096082635,0.19080101344767103,True,12828
mkg_w,mkgw_mhyper_native,R2,head,102624,0.014273074289102756,0.012040433627865258,0.22761276754993998,0.3577233395696913,0.466634744026979,0.1089114044572877,0.627071635341747,0.388992828188338,0.47667570537709025,0.08768287718875223,0.6101764348181563,0.6459571703265975,0.1459571703265975,0.7753051831072749,0.7467161677580293,0.028589015349245628,0.005135548052632182,0.5320600272851296,0.2786006626388618,True,12828
mkg_w,mkgw_mhyper_native,R2,tail,102624,0.028975140081922052,0.026319425039950366,0.2351232288805885,0.19482772061116307,0.3502231872512733,0.15539546664011025,0.6435203255518589,0.21803866541939507,0.3590825290012451,0.14104386358185003,0.6297730084089163,0.6931974390314949,0.1931974390314949,0.5668084834126988,0.41286638603055814,0.1539420973821407,0.010202425971466936,0.46258039368544146,0.19177548236211264,True,12828
mkg_w,mkgw_mhyper_native,R3,head,102624,0.014282244548449948,0.012045296038430103,0.21747535334910964,0.3577233395696913,0.45737743282390064,0.09965409325420932,0.613571295606003,0.388992828188338,0.4892353496348236,0.1002425214464856,0.6124463135092589,0.6381260645149633,0.13812606451496334,0.7861616712313669,0.7467161677580293,0.03944550347333764,0.003057525984264424,0.5301110894562463,0.29058663028649384,True,12828
mkg_w,mkgw_mhyper_native,R3,tail,102624,0.02901549578596764,0.0263258162339399,0.22638586209485037,0.19482772061116307,0.32296038148139944,0.12813266087023636,0.638070412712825,0.21803866541939507,0.351150694291606,0.13311202887221094,0.6250771576315959,0.6914746907983729,0.19147469079837287,0.5323332820016247,0.41286638603055814,0.11946689597106652,0.009875483768323317,0.4111284350029234,0.1695575911128435,True,12828
mkg_w,mkgw_native_adamf,R0,head,64140,0.022211011660272194,0.01899956583652884,0.02828182623852093,0.3556439039600873,0.3622334633870912,0.006589559427003899,0.5215180475062122,0.40519176800748363,0.3973533334345466,-0.007838434572937036,0.5011316720386596,0.5148199310587692,0.01481993105876922,0.7163069331371772,0.760835671967571,-0.044528738830393766,-0.004897406764135721,0.3515746803866542,0.36435921421889617,False,12828
mkg_w,mkgw_native_adamf,R0,tail,64140,0.04284181878537407,0.03900880867932981,0.024031783378571286,0.22527284066105394,0.22596469172615413,0.0006918510651001963,0.5084939954178085,0.2202837542874961,0.2278887635361558,0.0076050092486597,0.5171221295148318,0.5201806323500855,0.020180632350085492,0.4286093433349504,0.44555659494855004,-0.016947251613599668,-0.0013814637571839487,0.21297162457125038,0.17227938883691923,False,12828
mkg_w,mkgw_native_adamf,R1,head,64140,0.02200675317500603,0.018968485819510807,0.02688525273896292,0.3556439039600873,0.3722539872004856,0.016610083240398255,0.5315413301097853,0.40519176800748363,0.39514402326568054,-0.010047744741803089,0.49168097552626944,0.5154689581046199,0.015468958104619901,0.7321048375596593,0.760835671967571,-0.028730834407911687,-0.003500218772627624,0.36077330838790145,0.4033364515123168,False,12828
mkg_w,mkgw_native_adamf,R1,tail,64140,0.0425278503855673,0.038967149105449184,0.03295072783140637,0.22527284066105394,0.2438319291576238,0.01855908849656987,0.5312026461813473,0.2202837542874961,0.2273558131814913,0.007072058893995203,0.5022672356550382,0.5257799046613395,0.025779904661339503,0.45214898789812286,0.44555659494855004,0.006592392949572812,-0.0038047479363319606,0.2541315871531026,0.21499844091050827,False,12828
mkg_w,mkgw_native_adamf,R2,head,64140,0.022131469322974277,0.018990556275587437,0.043931826282023495,0.3556439039600873,0.37728202523357196,0.021638121273484634,0.5352253370710831,0.40519176800748363,0.4037387513340108,-0.0014530166734728067,0.503083647456136,0.5246770881451164,0.024677088145116377,0.7337454077717395,0.760835671967571,-0.027090264195831493,-0.002174992634731333,0.3877455565949485,0.3938260056127222,False,12828
mkg_w,mkgw_native_adamf,R2,tail,64140,0.04274225052069233,0.03902990068460121,0.02636474327210404,0.22527284066105394,0.24147058222713008,0.016197741566076146,0.5122570684978367,0.2202837542874961,0.23677368014178402,0.016489925854287907,0.5174015075024495,0.5225821493215272,0.022582149321527245,0.4753367964646281,0.44555659494855004,0.029780201516078075,-0.005332501811207665,0.2664483941378235,0.21983161833489243,False,12828
mkg_w,mkgw_native_adamf,R3,head,64140,0.02191694735314224,0.018994300328162145,0.032164769250030284,0.3556439039600873,0.3704720629435352,0.014828158983447859,0.5216824177459678,0.40519176800748363,0.41014827523789654,0.00495650723041291,0.5060307930114,0.5175684661197317,0.01756846611973173,0.7567343481424175,0.760835671967571,-0.004101323825153491,-0.0037629016997201025,0.3726223885251013,0.4045837231057063,False,12828
mkg_w,mkgw_native_adamf,R3,tail,64140,0.04250626622684464,0.03899020449802743,0.04523954295665931,0.22527284066105394,0.2562663729167152,0.030993532255661288,0.5433993450553558,0.2202837542874961,0.23896119635663052,0.01867744206913441,0.5053117077778878,0.5368012706700974,0.03680127067009742,0.4756325805424402,0.44555659494855004,0.03007598559389013,-0.0020218510857162005,0.2675397567820393,0.22372934206423448,False,12828
