dataset,pair_id,representation,relation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_native,R1,44,624,0.0218638590994209,0.01939771335335169,0.04522592818079167,0.27724358974358976,0.28063665170626007,0.0033930619626703074,0.5162964766799534,0.3189102564102564,0.34488997371343977,0.02597971730318338,0.541956843038723,0.545066372324048,0.045066372324047976,0.5494891264659417,0.5961538461538461,-0.04666471968790442,0.053234347672298905,0.1935483870967742,0.3387096774193548,True,78
mkg_w,mkgw_mhyper_native,R1,45,432,0.029583056279640283,0.02660910381568413,0.12967948237654758,0.21296296296296297,0.339231485187386,0.12626852222442303,0.5740409207161126,0.22685185185185186,0.31427374336708735,0.0874218915152355,0.6021630208969816,0.6306566104702751,0.1306566104702751,0.5126059537934969,0.4398148148148148,0.07279113897868211,0.005861846869004628,0.5116279069767442,0.046511627906976744,True,54
mkg_w,mkgw_mhyper_native,R1,46,528,0.032284573880483884,0.02986413332262508,0.21244472907852396,0.08901515151515152,0.10376251091153456,0.014747359396383039,0.605785818551776,0.10227272727272728,0.17717774711039053,0.07490501983766325,0.6951476793248945,0.8128447596532703,0.3128447596532703,0.1625568090970181,0.19128787878787878,-0.028731069690860672,-0.0006289308176100642,0.018867924528301886,0.018867924528301886,False,66
mkg_w,mkgw_mhyper_native,R1,48,1536,0.020116542922353806,0.017074270569347894,0.19954462217080057,0.3157552083333333,0.42049952369509486,0.10474431536176154,0.5689701511569737,0.3326822916666667,0.4809933194607183,0.14831102779405164,0.6168431101140757,0.6232735489337664,0.12327354893376641,0.7659210440549603,0.6484375,0.11748354405496031,0.00435605559605021,0.525974025974026,0.33766233766233766,True,192
mkg_w,mkgw_mhyper_native,R1,49,624,0.026723198899199836,0.024332810309649774,0.14732016993351796,0.2483974358974359,0.35293184809872713,0.10453441220129123,0.6179654721782791,0.23717948717948717,0.3155108416566171,0.07833135447712991,0.5626703384056325,0.6268962510897995,0.12689625108979952,0.5710841044765169,0.4855769230769231,0.08550718139959385,-0.02893056234916018,0.3548387096774194,0.25806451612903225,False,78
mkg_w,mkgw_mhyper_native,R1,50,1872,0.03544386666661944,0.03240243006225981,0.31542135943103633,0.25053418803418803,0.400753237279614,0.15021904924542595,0.6477149939134386,0.24786324786324787,0.4648242161603079,0.21696096829706002,0.6635114615987461,0.7129209249319903,0.21292092493199033,0.6581396415042453,0.4983974358974359,0.1597422056068094,0.04248584779272206,0.5240641711229946,0.1711229946524064,True,234
mkg_w,mkgw_mhyper_native,R1,51,240,0.020729037524230547,0.017143535596846005,0.1398712409624931,0.3,0.4305145892622811,0.1305145892622811,0.6173941798941799,0.25416666666666665,0.24523026596640046,-0.00893640070026619,0.4932686143419727,0.5819672131147541,0.08196721311475408,0.5697953480668179,0.5541666666666667,0.015628681400151168,0.031870996564239834,0.375,0.3333333333333333,False,30
mkg_w,mkgw_mhyper_native,R1,52,192,0.03519312024483474,0.031245329654364582,0.30105845217740995,0.296875,0.5395890703066042,0.2427140703066042,0.6930474333983105,0.3177083333333333,0.39612939601290864,0.07842106267957533,0.5577524715304718,0.6660914581535806,0.16609145815358062,0.7754625361471327,0.6145833333333334,0.1608792028137993,0.017233733411163438,0.5789473684210527,0.3684210526315789,True,24
mkg_w,mkgw_mhyper_native,R1,53,816,0.03687652710111643,0.03378810983096443,0.2627415251673369,0.20465686274509803,0.3746670228329376,0.1700101600878396,0.6864637443141453,0.21200980392156862,0.30225726053833807,0.09024745661676944,0.6153147726966262,0.7330310477311274,0.23303104773112737,0.4730028732256874,0.4166666666666667,0.05633620655902072,0.015191477925284906,0.47560975609756095,0.06097560975609756,True,102
mkg_w,mkgw_mhyper_native,R1,54,96,0.01760247775117734,0.012978346498027515,-0.22624348458324187,0.40625,0.3242991562288777,-0.08195084377112227,0.36752136752136755,0.5833333333333334,0.5777699894110044,-0.005563343922328934,0.37901785714285713,0.3717948717948718,-0.1282051282051282,0.9908608409619045,0.9895833333333334,0.0012775076285711506,-0.00860630891869619,0.0,1.0,False,12
