relation_id,relation_name,n_queries,mean_rr_gate,mean_rr_residual,mean_delta_rr,mean_delta_rr_raw,mean_delta_rr_shrunk,fusion_win_rate,struct_win_rate,head_has_img_ratio,tail_no_img_ratio,is_visual_prior
52,rel_0052,126,0.07129694541971172,0.12040122939278157,-0.04237766973018354,-0.04910428397306981,-0.04237766973018354,0.5317460317460317,0.4523809523809524,0.35714285714285715,0.5,0
53,rel_0053,36,0.2276921036416006,0.33349546800987023,-0.06801644852245904,-0.1058033643682696,-0.06801644852245904,0.6666666666666666,0.19444444444444445,0.4166666666666667,0.5,0
54,rel_0054,48,0.08053387469070346,0.13953427045718456,-0.041647338188104316,-0.05900039576648111,-0.041647338188104316,0.7708333333333334,0.20833333333333334,0.25,0.5,0
55,rel_0055,12,0.4158142047134117,0.10726286131963514,0.1157067537726662,0.30855134339377654,0.1157067537726662,1.0,0.0,0.25,0.5,1
56,rel_0056,6,0.1291081574466165,0.0008986565010215833,0.029586807910521904,0.1282095009455949,0.029586807910521904,1.0,0.0,0.0,0.5,1
57,rel_0057,18,0.27437286921940046,0.008343688058323275,0.1260138226552471,0.2660291811610772,0.1260138226552471,1.0,0.0,0.5,0.5,1
59,rel_0059,6,0.0013209478221498,0.25005623719249487,-0.05740045139315656,-0.2487352893703451,-0.05740045139315656,0.5,0.5,0.0,0.5,0
61,rel_0061,126,0.2424969488816397,0.36020769329738705,-0.1015859849067408,-0.11771074441574728,-0.1015859849067408,0.4603174603174603,0.4603174603174603,0.2857142857142857,0.5,0
62,rel_0062,192,0.16517073558365386,0.2999969669204913,-0.12210677555034329,-0.13482623133683738,-0.12210677555034329,0.4635416666666667,0.515625,0.390625,0.5,0
63,rel_0063,6,0.08362157892233076,0.00031132933077617457,0.019225442213435678,0.0833102495915546,0.019225442213435678,1.0,0.0,0.5,0.5,1
64,rel_0064,162,0.1160193331432717,0.32598165465434337,-0.1868895389274372,-0.20996232151107144,-0.1868895389274372,0.4567901234567901,0.5246913580246914,0.35185185185185186,0.5,0
65,rel_0065,318,0.21946477911594703,0.36771582187761154,-0.13947879171067834,-0.1482510427616644,-0.13947879171067834,0.5377358490566038,0.3522012578616352,0.36792452830188677,0.5,0
