split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
test,pair,DB15K,M-Hyper + NativE,pooled,0.7,70,0.3758227545348531,0.0012560957470746665,0.0763145492493099,0.16974685248771293,0.036478908761525694,0.6999932673533966,0.3030195920016158,59412,41588,41588,18003,4534,10085,44793,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.7,70,0.3749401396060234,0.00037348081824500163,0.08425907224129806,0.18418837945196256,0.048802551968329076,0.6999932673533966,0.3075304652258803,59412,41588,41588,18271,5006,10943,43463,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.8,80,0.3701183348828585,0.005813593996240362,0.16580876618312276,0.2845499922009047,0.034329631517407,0.799992200904695,0.799992200904695,25644,20515,20515,20515,4252,7297,14095,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.8,80,0.3617379874967823,0.00201704802070055,0.07752300733114958,0.26021681484947745,0.024610335971501925,0.799992200904695,0.38238964280143506,25644,20515,20515,9806,1988,6673,16983,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.8,80,0.37579285613755503,0.0012261973497767155,0.08742341614488655,0.19666060728472362,0.03639536172955438,0.8000067326466034,0.3649094459031845,59412,47530,47530,21680,5194,11684,42534,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.8,80,0.3746582247505821,9.156596280368623e-05,0.09629367804483943,0.21130411364707466,0.05008497630375318,0.8000067326466034,0.36773715747660407,59412,47530,47530,21848,5721,12554,41137,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.9,90,0.37022929992933573,0.005924559042717596,0.19002495710497583,0.319294961784433,0.03298307642930536,0.90001559819061,0.90001559819061,25644,23080,23080,23080,4873,8188,12583,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.9,90,0.36167377731646677,0.0019528378403850196,0.08633598502573701,0.290282327250039,0.025301360035930837,0.90001559819061,0.44326158165652785,25644,23080,23080,11367,2214,7444,15986,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.9,90,0.37583572335862986,0.0012690645708515033,0.09489665387463812,0.21704369487645594,0.03498886676374065,0.9000033663233017,0.42390426176529994,59412,53471,53471,25185,5638,12895,40879,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.9,90,0.37433369039045494,-0.0002329683973234388,0.10499562377970781,0.23202383356897596,0.05172221467475856,0.9000033663233017,0.4251161381539083,59412,53471,53471,25257,6238,13785,39389,0
test,pair,MKG-W,M-Hyper + NativE,pooled,1.0,100,0.3701763045939824,0.005871563707364281,0.19989081266573078,0.33204648260801745,0.03286054269543111,1.0,0.9425596630790828,25644,25644,25644,24171,5126,8515,12003,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,1.0,100,0.3616618188574652,0.001940879381383467,0.08883169552331929,0.29878334113242866,0.025819895728174985,1.0,0.4627593199188894,25644,25644,25644,11867,2278,7662,15704,0
test,pair,DB15K,M-Hyper + NativE,pooled,1.0,100,0.37583807026233057,0.0012714114745521433,0.0973709015013802,0.22337238268363294,0.034421176755794564,1.0,0.4441695280414731,59412,59412,59412,26389,5785,13271,40356,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,1.0,100,0.37426786554541047,-0.0002987932423679853,0.10881640072712584,0.24065845283781054,0.05141788754455031,1.0,0.45142395475661484,59412,59412,59412,26820,6465,14298,38649,0
