split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
dev,pooled,Pooled,Pooled,head,0.7,70,0.22678268863711507,0.0015960462441638244,0.12331256490134995,0.2906624036727332,0.027973809100319817,0.7241624309996174,0.4891648904191944,73188,51232,53000,35801,9025,21273,42890,0
dev,pooled,Pooled,Pooled,tail,0.7,70,0.522720472060943,0.002362446474614849,0.05063671640159589,0.11096081324807346,0.06279334442079164,0.6758211728698694,0.2732415150024594,73188,51232,49462,19998,3706,8121,61361,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.8,80,0.19685467719769323,0.0035269219785948186,0.20330526972248206,0.4196289367009666,0.016676132210799905,0.8108824446523231,0.8108824446523231,12828,10262,10402,10402,2608,5383,4837,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.8,80,0.5285628607008174,0.009178500976531322,0.12270034299968818,0.16658871219207982,0.047683679760692946,0.7891331462425943,0.7891331462425943,12828,10262,10123,10123,1574,2137,9117,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.8,80,0.19002993423949188,0.0008944559097813939,0.10523854069223573,0.3592142188961646,0.015913324334549884,0.7634861241035236,0.5035079513564079,12828,10262,9794,6459,1350,4608,6870,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.8,80,0.5203194147559418,0.0038109623521122085,0.04614904895541004,0.1710321172435298,0.0494893788933194,0.8365294667913938,0.26387589647645776,12828,10262,10731,3385,592,2194,10042,0
dev,pair,DB15K,M-Hyper + NativE,head,0.8,80,0.24541524785543709,0.0019009496249566896,0.13704451737776654,0.2997559538836994,0.03245222077263796,0.8510056383068249,0.547925608011445,23766,19013,20225,13022,3257,7124,13385,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.8,80,0.52233196239493,0.000672234577192196,0.04094083985525541,0.09900698476815618,0.05256486752364027,0.7490111924598165,0.20087519986535388,23766,19013,17801,4774,973,2353,20440,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.8,80,0.24361584128667407,0.00010154305619367707,0.1276613649751746,0.287132878902634,0.03981695246876966,0.8324917950012624,0.47681561895144325,23766,19013,19785,11332,3034,6824,13908,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.8,80,0.5212283633064452,-0.00043136451129267134,0.058823529411764705,0.14247243961962466,0.0856891442129915,0.7675250357653791,0.2679878818480182,23766,19013,18241,6369,1398,3386,18982,0
dev,pooled,Pooled,Pooled,head,0.8,80,0.22661185795577996,0.001425215562828738,0.14003661802481282,0.32708914029622344,0.02843944360465777,0.8226211947313767,0.56313876591791,73188,58550,60206,41215,10249,23939,39000,0
dev,pooled,Pooled,Pooled,tail,0.8,80,0.5227129656525413,0.0023549400662131403,0.06199103678198612,0.1375908618899273,0.0606768490100154,0.7773952013991364,0.3368175110673881,73188,58550,56896,24651,4537,10070,58581,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.9,90,0.19715845360786133,0.003830698388762965,0.22630183972560025,0.4586061739943873,0.015865180956477768,0.9089491736825693,0.9089491736825693,12828,11545,11660,11660,2903,5883,4042,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.9,90,0.5282478580443121,0.008863498320026154,0.1448394137823511,0.1967570938571874,0.0463662331613771,0.8910196445275959,0.8910196445275959,12828,11545,11430,11430,1858,2524,8446,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.9,90,0.18989200403394701,0.0007565257042365548,0.119348300592454,0.40177736202058,0.01568035247619717,0.8809635173058934,0.5790458372310571,12828,11545,11301,7428,1531,5154,6143,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.9,90,0.5202631772648008,0.0037547248609712423,0.05168381665107577,0.189585282195198,0.04727094435704047,0.9190053009042719,0.3104926722793888,12828,11545,11789,3983,663,2432,9733,0
dev,pair,DB15K,M-Hyper + NativE,head,0.9,90,0.245440374057079,0.001926075826598581,0.14411343936716317,0.31776487419001936,0.031628811476799246,0.9296473954388622,0.5970293696877893,23766,21389,22094,14189,3425,7552,12789,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.9,90,0.5223848773769887,0.0007251495592508219,0.048682992510308845,0.12055036606917445,0.04932798131036723,0.8703610199444585,0.26836657409745013,23766,21389,20685,6378,1157,2865,19744,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.9,90,0.2434998738693133,-1.4424361167127605e-05,0.13704451737776654,0.3082134141210132,0.03998443166322951,0.9177817049566608,0.5293276108726752,23766,21389,21812,12580,3257,7325,13184,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.9,90,0.5208255134396835,-0.0008342143780542497,0.06770175881511403,0.16212235967348312,0.0840940530398899,0.8822267104266599,0.3324917950012623,23766,21389,20967,7902,1609,3853,18304,0
dev,pooled,Pooled,Pooled,head,0.9,90,0.22661142814187787,0.001424785748926624,0.151882822320599,0.35407443843252995,0.027763693162368548,0.9136333825217249,0.626564464119801,73188,65869,66867,45857,11116,25914,36158,0
dev,pooled,Pooled,Pooled,tail,0.9,90,0.5225342639379998,0.002176238351671754,0.07223861835273541,0.1595070230092365,0.0586095901342603,0.8863611521014374,0.4057085861070121,73188,65869,64871,29693,5287,11674,56227,0
dev,pair,MKG-W,M-Hyper + NativE,head,1.0,100,0.19698363619552628,0.0036558809764279158,0.24002182725288432,0.4714686623012161,0.01585922125323024,1.0,0.9475366386030558,12828,12828,12828,12155,3079,6048,3701,0
dev,pair,MKG-W,M-Hyper + NativE,tail,1.0,100,0.5280544254839146,0.00867006575962865,0.15551917680074837,0.2056439039600873,0.045317932751785625,1.0,0.9339725600249454,12828,12828,12828,11981,1995,2638,8195,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,1.0,100,0.1897721800063166,0.0006367016766061057,0.12270034299968818,0.41245712503897725,0.01639404706041403,1.0,0.6000935453695042,12828,12828,12828,7698,1574,5291,5963,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,1.0,100,0.5202285677730178,0.003720115369188322,0.05277517929529155,0.19465232304334268,0.04721236430088378,1.0,0.325615840349236,12828,12828,12828,4177,677,2497,9654,0
dev,pair,DB15K,M-Hyper + NativE,head,1.0,100,0.24543204369386182,0.0019177454633814077,0.14621728519734073,0.32302448876546325,0.03142633677452913,1.0,0.6126399057477068,23766,23766,23766,14560,3475,7677,12614,0
dev,pair,DB15K,M-Hyper + NativE,tail,1.0,100,0.5224203554762709,0.0007606276585329924,0.05129176133972903,0.1276613649751746,0.047661847197894174,1.0,0.2936127240595809,23766,23766,23766,6978,1219,3034,19513,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,1.0,100,0.24342498823650965,-8.93099939707698e-05,0.1407893629554826,0.3159976436926702,0.040070702038134856,1.0,0.5527644534208533,23766,23766,23766,13137,3346,7510,12910,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,1.0,100,0.5207168602349056,-0.0009428675828323023,0.0715307582260372,0.17036943532777918,0.08282484627907535,1.0,0.3617352520407305,23766,23766,23766,8597,1700,4049,18017,0
dev,pooled,Pooled,Pooled,head,1.0,100,0.226532762626311,0.0013461202333597535,0.15677433459037002,0.36243646499426135,0.027707674884336373,1.0,0.6496966715855058,73188,73188,73188,47550,11474,26526,35188,0
