dataset,pair_id,coverage_target,metric,observed,random_mean,random_ci95_low,random_ci95_high,observed_minus_random_mean,random_samples,matching_strata
mkg_w,mkgw_native_adamf,0.3,stable3_gain_capture,0.38264242422327777,0.36612232426397334,0.3388778903132024,0.39401592978761146,0.016520099959304424,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,consensus_gain_capture,0.3321170713535548,0.3400526392232023,0.32935298386819756,0.35063072020801217,-0.007935567869647497,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,high_gain_precision,0.09224373132389242,0.1031782512667273,0.09847992724438093,0.10770430037677017,-0.010934519942834883,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,high_gain_recall,0.2764797507788162,0.3092535046728972,0.29517133956386293,0.32281931464174457,-0.03277375389408099,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,high_gain_enrichment,0.921575222291972,1.0308182299451538,0.9838788992919926,1.07603642152119,-0.10924300765318185,2000,seed|direction|relation_id
mkg_w,mkgw_native_adamf,0.3,raw_oracle_gain_capture,0.32055868305424845,0.3286081675161058,0.31900608140792525,0.3383123580424753,-0.008049484461857326,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,selected_mean_realized_utility,0.08959367749795268,0.014882509549085899,0.004518111139722887,0.025331058272092158,0.07471116794886677,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,selective_population_gain,0.0008972185157162643,0.00014903800692932947,4.5245748180343646e-05,0.0002536729726818958,0.0007481805087869348,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,positive_transfer_rate,0.542016806722689,0.23787500000000003,0.20378151260504201,0.27310924369747897,0.304141806722689,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,negative_transfer_rate,0.2605042016806723,0.12299789915966386,0.09663865546218488,0.14915966386554622,0.13750630252100843,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,changed_rate,1.0,0.5372846638655462,0.5,0.5735294117647058,0.4627153361344538,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,stable2_opportunity_rate,0.6512605042016807,0.496093487394958,0.45588235294117646,0.5336134453781513,0.15516701680672268,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,stable2_opportunity_enrichment,1.4234475691228348,1.0843020022466152,0.9964132983859842,1.1663086534103226,0.33914556687621955,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,stable2_gain_capture,0.03996074652269874,0.018722347370774235,0.015198957100278274,0.022478490084312384,0.021238399151924502,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,stable3_opportunity_rate,0.41386554621848737,0.2818928571428571,0.24579831932773108,0.31932773109243695,0.13197268907563026,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,stable3_opportunity_enrichment,1.6996593349626008,1.1576750722061764,1.009442346145301,1.3114122787528697,0.5419842627564244,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,stable3_gain_capture,0.050944005753430444,0.022295857970919663,0.016913788204218634,0.02820027338350245,0.02864814778251078,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,consensus_gain_capture,0.036341240324608164,0.01806731491582681,0.015155364242652628,0.021067492395646415,0.018273925408781352,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,high_gain_precision,0.25,0.1455861344537815,0.11554621848739496,0.17436974789915966,0.10441386554621851,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,high_gain_recall,0.025010508617065993,0.014564733081126522,0.011559478772593527,0.01744430432955023,0.01044577553593947,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,high_gain_enrichment,2.4974779319041613,1.454392631958206,1.1542965231489823,1.741938389479373,1.0430852999459554,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.01,raw_oracle_gain_capture,0.03298959496758273,0.017412057361401747,0.01488605823401882,0.02001701614363203,0.015577537606180986,2000,seed|direction|relation_id
db15k,db15k_mhyper_native,0.05,selected_mean_realized_utility,0.03194712618365413,0.008573029049860105,0.0047032769699819465,0.012627914849980663,0.023374097133794028,2000,seed|direction|relation_id
