pair,method,deployable,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation,hits_at_1,hits_at_3,hits_at_10
mkgw_native_adamf,RRF,True,25644,0.2964576402931182,0.34412700905997506,-0.047669368766856776,0.47090937451255654,0.2590469505537358,0.7299563250662923,0.13026240157163252,0.06134178604660093,0.013672417279744144,,,0.18113398845733894,0.37466853844953985,0.4767976914677897
mkgw_native_adamf,Global,True,25644,0.34412700905997506,0.34412700905997506,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.2531976290750273,0.3965060053033848,0.49738730307284357
mkgw_native_adamf,Relation,True,25644,0.3439642842296396,0.34412700905997506,-0.00016272483033543588,0.12462954297301514,0.12533146155046015,0.24996100452347528,0.06290834220276519,0.007840237937920665,0.007677513107585229,,,0.2524957104975823,0.39662299173295895,0.49699734830759634
mkgw_native_adamf,Expert-oracle,False,25644,0.37734839117055335,0.34412700905997506,0.0332213821105784,0.08586803930744033,0.4987521447512089,0.5846201840586492,0.05553342906988491,0.004768546670249827,0.03798992878082822,,,0.2938309156137888,0.42115114646700985,0.5228513492434878
db15k_native_adamf,Primary,True,59412,0.31276148478023846,0.31276148478023846,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.20681007203931864,0.37808860162930047,0.49951188312125494
db15k_native_adamf,Secondary,True,59412,0.2825884394797199,0.31276148478023846,-0.030173045300518595,0.42272604860970847,0.3941291321618528,0.8168551807715613,0.17738545839979689,0.07498545391016798,0.04481240860964938,,,0.15890729145627147,0.365262909849862,0.49641486568370025
db15k_native_adamf,Equal-z,True,59412,0.3004049893422086,0.31276148478023846,-0.012356495438029826,0.32012051437420047,0.42690028950380393,0.7470208038780044,0.14196204763541614,0.045444963710664164,0.033088468272634335,,,0.17570524473170404,0.38300343364976774,0.5165623106443142
db15k_native_adamf,RRF,True,59412,0.2849884703011413,0.31276148478023846,-0.027773014479097132,0.3602302565138356,0.38372719315963105,0.7439574496734667,0.14115375529815613,0.050847853478945965,0.02307483899984883,,,0.1568201710092237,0.3716084292735474,0.5120346058035413
db15k_native_adamf,Global,True,59412,0.31276148478023846,0.31276148478023846,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.20681007203931864,0.37808860162930047,0.49951188312125494
db15k_native_adamf,Relation,True,59412,0.31272582067998766,0.31276148478023846,-3.566410025082078e-05,0.09185013128660877,0.16690230929778496,0.25875244058439373,0.10601095797171775,0.00973712040752144,0.009701456307270621,,,0.20271998922776543,0.3814717565474988,0.5066484885208375
db15k_native_adamf,Expert-oracle,False,59412,0.3575738933898878,0.31276148478023846,0.04481240860964938,0.0,0.3941291321618528,0.3941291321618528,,0.0,0.04481240860964938,,,0.25427523059314616,0.41915774590991717,0.5406651854844139
