split,dataset,pair,variant_id,variant,seed,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,1,19804,0.36663716688836057,0.37537340126984575,-0.008736234381485113,0.2992324782872147,0.3544233488184205,0.10269211192730844,0.0,1.0,0.47043021611795593,0.65,0.0,5926,7019,6859,9902
test,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,2,19804,0.3678585201999993,0.3748110422730253,-0.0069525220730260375,0.27373257927691375,0.371743082205615,0.10318447147663107,0.0,1.0,0.45271157341951124,0.6,0.0,5421,7362,7021,9902
test,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,3,19804,0.3623671635597227,0.3735155328204642,-0.011148369260741434,0.29832357099575846,0.37229852555039383,0.11717179674208895,0.0,1.0,0.4673500302969097,0.65,0.0,5908,7373,6523,9902
test,DB15K,M-Hyper + NativE,C_no_bound,No Bound,1,19804,0.3775251735570928,0.37537340126984575,0.002151772287247092,0.13133710361543122,0.23606342153100385,0.05236781229009537,0.0,0.4756109876792567,0.14946980407998384,0.5,0.5098464956574429,2601,4675,12528,9902
test,DB15K,M-Hyper + NativE,C_no_bound,No Bound,2,19804,0.37705929645566494,0.3748110422730253,0.002248254182639529,0.10916986467380327,0.22707533831549181,0.0476309248363296,0.0,0.4412744900020198,0.12390931125025245,0.44999999999999996,0.5405978590183801,2162,4497,13145,9902
test,DB15K,M-Hyper + NativE,C_no_bound,No Bound,3,19804,0.37667707735764117,0.3735155328204642,0.0031615445371770256,0.12204605130276712,0.24732377297515654,0.05380938076311568,0.0,0.4672793375075742,0.14251161381539085,0.5,0.515501918804282,2417,4898,12489,9902
test,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,1,19804,0.3767455158670009,0.37537340126984575,0.001372114597155162,0.10558473035750353,0.22369218339729346,0.03389004994881412,0.0,0.4585942233892143,0.07465663502322764,0.25,0.5098464956574429,2091,4430,13283,9902
test,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,2,19804,0.3756129887517452,0.3748110422730253,0.0008019464787198388,0.08745707937790345,0.212027873156938,0.032945124657818896,0.0,0.42269238537669157,0.06197232882246011,0.25,0.5405978590183801,1732,4199,13873,9902
test,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,3,19804,0.37515570616824556,0.3735155328204642,0.0016401733477814286,0.09907089476873358,0.23439709149666735,0.03629024321200758,0.0,0.45122197535851344,0.07117501514845484,0.25,0.515501918804282,1962,4642,13200,9902
dev,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,1,15844,0.3842844379319015,0.3841293779489628,0.00015505998293865455,0.04891441555162838,0.10868467558697299,0.050981479435697384,0.5302953799545569,0.1721787427417319,0.047008331229487506,0.30000000000000004,0.5083312294875032,775,1722,13347,7922
dev,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,2,15844,0.38233989845470207,0.38203732246464484,0.00030257599005728363,0.05023983842464024,0.11404948245392578,0.04935890265038876,0.5373011865690482,0.1801943953547084,0.04933728856349407,0.30000000000000004,0.5047336531178995,796,1807,13241,7922
dev,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,3,15844,0.3824852516140669,0.38159433865871994,0.0008909129553469911,0.02827568795758647,0.0770638727594042,0.043836433624333974,0.5620424135319364,0.1141125978288311,0.02998611461752083,0.25,0.5347765715728351,448,1221,14175,7922
dev,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,1,15844,0.35522205710762556,0.3841293779489628,-0.028907320841337257,0.33331229487503156,0.35249936884625094,0.14814532340988162,0.0,1.0,0.46824981065387533,0.65,0.0,5281,5585,4978,7922
dev,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,2,15844,0.3529819400416807,0.38203732246464484,-0.029055382422964095,0.32573844988639233,0.36676344357485485,0.15767706942678028,0.0,1.0,0.4705377429941934,0.65,0.0,5161,5811,4872,7922
