split,dataset,pair,variant_id,variant,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,DB15K,M-Hyper + NativE,B_no_anchor_query_soft,No Anchor / Query-soft,tail,29706,0.4973737444896153,0.5119073528274648,-0.014533608337849347,0.22726048609708477,0.29159092439237866,0.1691817881117149,0.0,1.0,0.4298626540092911,0.6,0.0,6751,8662,14293,9902
test,DB15K,M-Hyper + NativE,C_no_bound,No Bound,head,29706,0.24027265873582895,0.23722596474809207,0.003046693987736858,0.1747458425907224,0.32737494108934223,0.047455903267463156,0.0,0.6076550191880428,0.20971520904867705,0.55,0.379754931663637,5191,9725,14790,9902
test,DB15K,M-Hyper + NativE,C_no_bound,No Bound,tail,29706,0.5139017061777703,0.5119073528274648,0.0019943533503055727,0.066956170470612,0.1462667474584259,0.06179005465346004,0.0,0.315121524271191,0.06754527704840772,0.35,0.664209250656433,1989,4345,23372,9902
test,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,head,29706,0.2387055438608147,0.23722596474809207,0.0014795791127226148,0.1434053726519895,0.3185888372719316,0.03163225089447293,0.0,0.5955025920689423,0.10485928768598936,0.25,0.379754931663637,4260,9464,15982,9902
test,DB15K,M-Hyper + NativE,D_no_fallback,No Fallback,tail,29706,0.5129705966638464,0.5119073528274648,0.0010632438363816716,0.05133643035077089,0.12815592809533427,0.04221188112906022,0.0,0.2928364640140039,0.0336766983101057,0.15000000000000002,0.664209250656433,1525,3807,24374,9902
dev,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,head,23766,0.2440329711614841,0.24351429823048046,0.0005186729310036462,0.06420937473701926,0.14390305478414542,0.0370966472144493,0.5166203820584028,0.22326011949844315,0.06046663300513338,0.30000000000000004,0.42548178069511067,1526,3420,18820,7922
dev,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,tail,23766,0.5220400875056295,0.5216597278177378,0.0003803596878916399,0.02074391988555079,0.05596229908272322,0.08484700139315801,0.5698056046452916,0.08773037111840444,0.02375452326853488,0.25,0.6064125220903812,493,1330,21943,7922
dev,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,head,23766,0.2248818678386162,0.24351429823048046,-0.018632430391864283,0.377345788100648,0.4333080871833712,0.09947910924025911,0.0,1.0,0.4876903980476311,0.65,0.0,8968,10298,4500,7922
dev,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,tail,23766,0.4872663939548536,0.5216597278177378,-0.034393333862884255,0.2667676512665152,0.29331818564335604,0.22233041869120207,0.0,0.9999579230833965,0.4367878481864849,0.65,0.0,6340,6971,10455,7922
dev,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,head,23766,0.24400758609450754,0.24351429823048046,0.0004932878640271029,0.07944121854750484,0.13451990238155348,0.05761874330242675,0.5166203820584028,0.22326011949844315,0.12072708911890936,0.6,0.42548178069511067,1888,3197,18681,7922
dev,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,tail,23766,0.5224463102671486,0.5216597278177378,0.0007865824494107537,0.02671884204325507,0.05423714550197761,0.10232747669905808,0.5698056046452916,0.08773037111840444,0.04760792729108811,0.5,0.6064125220903812,635,1289,21842,7922
dev,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,head,23766,0.24342498823650965,0.24351429823048046,-8.93099939707698e-05,0.1407893629554826,0.3159976436926702,0.040070702038134856,0.0,0.5527644534208533,0.1092169485820079,0.30000000000000004,0.42548178069511067,3346,7510,12910,7922
dev,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,tail,23766,0.5207168602349056,0.5216597278177378,-0.0009428675828323023,0.0715307582260372,0.17036943532777918,0.08282484627907535,0.0,0.3617352520407305,0.05766010266767651,0.25,0.6064125220903812,1700,4049,18017,7922
test,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,head,29706,0.23790300324290925,0.23722596474809207,0.0006770384948171822,0.031037500841580825,0.06759577189793307,0.030247977288099328,0.6588231333737292,0.10243721807042348,0.032439574496734666,0.30000000000000004,0.4368141116272807,922,2008,26776,9902
test,DB15K,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,tail,29706,0.5126584685775339,0.5119073528274648,0.0007511157500691142,0.010065306672052785,0.024742476267420724,0.07160205526613997,0.6842388743014879,0.037063219551605735,0.012202921968625867,0.0,0.6054669090419443,299,735,28672,9902
test,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,head,29706,0.21904759914709562,0.23722596474809207,-0.01817836560099646,0.38325590789739444,0.4308893826163065,0.09392410032253898,0.0,1.0,0.48330471958526894,0.65,0.0,11385,12800,5521,9902
test,DB15K,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,tail,29706,0.4768950683952435,0.5119073528274648,-0.035012284432221194,0.26981081263044504,0.2971116946071501,0.22071840549811267,0.0,1.0,0.4379148993469333,0.65,0.0,8015,8826,12865,9902
test,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,head,29706,0.23799607772576253,0.23722596474809207,0.0007701129776704715,0.038510738571332394,0.061704706119975763,0.04404861131456914,0.6588231333737292,0.10243721807042348,0.06382717296169124,0.6,0.4368141116272807,1144,1833,26729,9902
test,DB15K,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,tail,29706,0.5130795456069981,0.5119073528274648,0.0011721927795333323,0.012152427119100518,0.023160304315626472,0.09284511721979204,0.6842388743014879,0.037063219551605735,0.024161785497879215,0.0,0.6054669090419443,361,688,28657,9902
test,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,head,29706,0.23692039332689943,0.23722596474809207,-0.00030557142119263587,0.14579546219618933,0.30808590857065915,0.03833403067177735,0.0,0.5424493368343095,0.1075607621355955,0.30000000000000004,0.4368141116272807,4331,9152,16223,9902
test,DB15K,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,tail,29706,0.5116153377639214,0.5119073528274648,-0.0002920150635433349,0.07183733925806235,0.17323099710496195,0.07797186323151362,0.0,0.36039857267892006,0.05763145492493099,0.25,0.6054669090419443,2134,5146,22426,9902
