pair,label,comparator,seed,direction,n,delta
db15k_mhyper_native,D-N,Relation,1,tail,9902,0.0008333973556813878
db15k_mhyper_native,D-N,Relation,2,head,9902,-0.00035155349829684904
db15k_mhyper_native,D-N,Relation,2,tail,9902,0.00017540838458630873
db15k_mhyper_native,D-N,Relation,3,head,9902,-0.0014028598667637545
db15k_mhyper_native,D-N,Relation,3,tail,9902,0.001784602011458095
db15k_mhyper_native,D-N,Query-soft,1,head,9902,0.005403721350546744
db15k_mhyper_native,D-N,Query-soft,1,tail,9902,0.02164734123844674
db15k_mhyper_native,D-N,Query-soft,2,head,9902,0.00560804677699048
db15k_mhyper_native,D-N,Query-soft,2,tail,9902,0.016186836125668357
db15k_mhyper_native,D-N,Query-soft,3,head,9902,0.005273790867481421
db15k_mhyper_native,D-N,Query-soft,3,tail,9902,0.02685236146649494
db15k_mhyper_native,D-N,Shrink,1,head,9902,-0.00021661664903475242
db15k_mhyper_native,D-N,Shrink,1,tail,9902,1.5804648919224822e-05
db15k_mhyper_native,D-N,Shrink,2,head,9902,-5.8391917720076395e-05
db15k_mhyper_native,D-N,Shrink,2,tail,9902,7.754887330702302e-05
db15k_mhyper_native,D-N,Shrink,3,head,9902,-0.00028804544277247636
db15k_mhyper_native,D-N,Shrink,3,tail,9902,-1.763904048414825e-05
db15k_mhyper_native,D-N,Shrink-gate,1,head,9902,-0.00028987379606379557
db15k_mhyper_native,D-N,Shrink-gate,1,tail,9902,2.8811276935638395e-05
db15k_mhyper_native,D-N,Shrink-gate,2,head,9902,-3.8943840966607566e-05
db15k_mhyper_native,D-N,Shrink-gate,2,tail,9902,0.0002070605816868332
db15k_mhyper_native,D-N,Shrink-gate,3,head,9902,-0.00011005859472705526
db15k_mhyper_native,D-N,Shrink-gate,3,tail,9902,-1.9738556633840905e-05
db15k_mhyper_native,D-N,Linear-p,1,head,9902,-8.18566667934867e-07
db15k_mhyper_native,D-N,Linear-p,1,tail,9902,-4.693237058238529e-10
db15k_mhyper_native,D-N,Linear-p,2,head,9902,3.96444436293124e-07
db15k_mhyper_native,D-N,Linear-p,2,tail,9902,-7.181738198807026e-07
db15k_mhyper_native,D-N,Linear-p,3,head,9902,-6.381010087253862e-05
db15k_mhyper_native,D-N,Linear-p,3,tail,9902,3.2751511677658153e-10
db15k_mhyper_native,D-N,Clip-g,1,head,9902,-8.453670797212621e-07
db15k_mhyper_native,D-N,Clip-g,1,tail,9902,-4.03762199829086e-10
db15k_mhyper_native,D-N,Clip-g,2,head,9902,3.3075721035436557e-07
db15k_mhyper_native,D-N,Clip-g,2,tail,9902,-7.100599160086384e-07
db15k_mhyper_native,D-N,Clip-g,3,head,9902,-7.681356320678332e-05
db15k_mhyper_native,D-N,Clip-g,3,tail,9902,3.2751511677658153e-10
db15k_mhyper_native,D-N,Linear-g,1,head,9902,-2.2755656859561433e-06
db15k_mhyper_native,D-N,Linear-g,1,tail,9902,-1.460558099296383e-09
db15k_mhyper_native,D-N,Linear-g,2,head,9902,3.395416474571317e-07
db15k_mhyper_native,D-N,Linear-g,2,tail,9902,-7.680932194128817e-07
db15k_mhyper_native,D-N,Linear-g,3,head,9902,-7.685415995778226e-05
db15k_mhyper_native,D-N,Linear-g,3,tail,9902,3.2751511677658153e-10
db15k_mhyper_native,D-N,R0,1,head,9902,0.02769803021676058
db15k_mhyper_native,D-N,R0,1,tail,9902,0.09384956206994298
db15k_mhyper_native,D-N,R0,2,head,9902,-0.0026510072295372147
db15k_mhyper_native,D-N,R0,2,tail,9902,0.0016810787518815498
db15k_mhyper_native,D-N,R0,3,head,9902,0.029457578376133116
db15k_mhyper_native,D-N,R0,3,tail,9902,0.09754677908580567
db15k_mhyper_native,D-N,R3,1,head,9902,-0.0009034041787218347
db15k_mhyper_native,D-N,R3,1,tail,9902,-0.0005473618267667984
db15k_mhyper_native,D-N,R3,2,head,9902,-0.00021478794561990633
db15k_mhyper_native,D-N,R3,2,tail,9902,-1.0984201661886058e-05
db15k_mhyper_native,D-N,R3,3,head,9902,-0.0011483604491104773
db15k_mhyper_native,D-N,R3,3,tail,9902,-0.00016692368659745736
db15k_mhyper_native,D-N,Expanded-radius,1,head,9902,0.00048154949858083185
db15k_mhyper_native,D-N,Expanded-radius,1,tail,9902,4.968360922746017e-05
db15k_mhyper_native,D-N,Expanded-radius,2,head,9902,-8.064645177109934e-05
db15k_mhyper_native,D-N,Expanded-radius,2,tail,9902,1.9617671181790378e-05
db15k_mhyper_native,D-N,Expanded-radius,3,head,9902,0.0010447411958917805
db15k_mhyper_native,D-N,Expanded-radius,3,tail,9902,-0.00011784930126693305
db15k_mhyper_native,D-N,No-fallback,1,head,9902,-0.00018953010727560686
db15k_mhyper_native,D-N,No-fallback,1,tail,9902,-0.00015263819422319327
db15k_mhyper_native,D-N,No-fallback,2,head,9902,5.924964900359117e-05
db15k_mhyper_native,D-N,No-fallback,2,tail,9902,0.0002372954550981096
db15k_mhyper_native,D-N,No-fallback,3,head,9902,8.407837077939639e-05
db15k_mhyper_native,D-N,No-fallback,3,tail,9902,0.00035709886808796244
db15k_mhyper_adamf,D-A,Primary,1,head,9902,0.000288695096878944
db15k_mhyper_adamf,D-A,Primary,1,tail,9902,9.747002056649808e-05
db15k_mhyper_adamf,D-A,Primary,2,head,9902,0.0005342003810482885
db15k_mhyper_adamf,D-A,Primary,2,tail,9902,0.0001412415423039399
db15k_mhyper_adamf,D-A,Primary,3,head,9902,0.00018564132968051247
db15k_mhyper_adamf,D-A,Primary,3,tail,9902,2.2073165407811014e-05
db15k_mhyper_adamf,D-A,Secondary,1,head,9902,0.05526375516755272
db15k_mhyper_adamf,D-A,Secondary,1,tail,9902,0.12652019137498322
db15k_mhyper_adamf,D-A,Secondary,2,head,9902,0.06909129019703046
db15k_mhyper_adamf,D-A,Secondary,2,tail,9902,0.1340536944962993
db15k_mhyper_adamf,D-A,Secondary,3,head,9902,0.049058553608393736
db15k_mhyper_adamf,D-A,Secondary,3,tail,9902,0.11915115253997788
db15k_mhyper_adamf,D-A,Equal-z,1,head,9902,0.02242270984400749
db15k_mhyper_adamf,D-A,Equal-z,1,tail,9902,0.05124060557580848
db15k_mhyper_adamf,D-A,Equal-z,2,head,9902,0.03068038324964604
db15k_mhyper_adamf,D-A,Equal-z,2,tail,9902,0.05265099246304132
db15k_mhyper_adamf,D-A,Equal-z,3,head,9902,0.019751889655415033
db15k_mhyper_adamf,D-A,Equal-z,3,tail,9902,0.04327253129693867
db15k_mhyper_adamf,D-A,RRF,1,head,9902,0.029975256492322078
db15k_mhyper_adamf,D-A,RRF,1,tail,9902,0.0675539403056422
db15k_mhyper_adamf,D-A,RRF,2,head,9902,0.03684757610217483
db15k_mhyper_adamf,D-A,RRF,2,tail,9902,0.07021452879522758
db15k_mhyper_adamf,D-A,RRF,3,head,9902,0.02535627755909466
db15k_mhyper_adamf,D-A,RRF,3,tail,9902,0.058016542391172765
db15k_mhyper_adamf,D-A,Global,1,head,9902,0.000288695096878944
db15k_mhyper_adamf,D-A,Global,1,tail,9902,9.747002056649808e-05
db15k_mhyper_adamf,D-A,Global,2,head,9902,0.0005342003810482885
db15k_mhyper_adamf,D-A,Global,2,tail,9902,0.0001412415423039399
db15k_mhyper_adamf,D-A,Global,3,head,9902,0.00018564132968051247
db15k_mhyper_adamf,D-A,Global,3,tail,9902,2.2073165407811014e-05
db15k_mhyper_adamf,D-A,Relation,1,head,9902,0.0014226956172817217
db15k_mhyper_adamf,D-A,Relation,1,tail,9902,0.002014566283026717
db15k_mhyper_adamf,D-A,Relation,2,head,9902,0.0024762620010262875
db15k_mhyper_adamf,D-A,Relation,2,tail,9902,0.0015163415009449444
db15k_mhyper_adamf,D-A,Relation,3,head,9902,0.0012915860453021264
db15k_mhyper_adamf,D-A,Relation,3,tail,9902,0.0008749682969214093
db15k_mhyper_adamf,D-A,Query-soft,1,head,9902,0.02283261812880251
db15k_mhyper_adamf,D-A,Query-soft,1,tail,9902,0.049522228382449414
db15k_mhyper_adamf,D-A,Query-soft,2,head,9902,0.03143737812126445
db15k_mhyper_adamf,D-A,Query-soft,2,tail,9902,0.05043313620201357
db15k_mhyper_adamf,D-A,Query-soft,3,head,9902,0.0205346534376546
db15k_mhyper_adamf,D-A,Query-soft,3,tail,9902,0.04134833623937576
db15k_mhyper_adamf,D-A,Shrink,1,head,9902,0.000288695096878944
db15k_mhyper_adamf,D-A,Shrink,1,tail,9902,9.747002056649808e-05
db15k_mhyper_adamf,D-A,Shrink,2,head,9902,0.0005342003810482885
db15k_mhyper_adamf,D-A,Shrink,2,tail,9902,0.0001412415423039399
db15k_mhyper_adamf,D-A,Shrink,3,head,9902,0.00018564132968051247
db15k_mhyper_adamf,D-A,Shrink,3,tail,9902,2.2073165407811014e-05
db15k_mhyper_adamf,D-A,Shrink-gate,1,head,9902,-0.00030472445556266846
db15k_mhyper_adamf,D-A,Shrink-gate,1,tail,9902,0.00024523216245780617
db15k_mhyper_adamf,D-A,Shrink-gate,2,head,9902,-0.00020451545139013746
db15k_mhyper_adamf,D-A,Shrink-gate,2,tail,9902,9.587423582150364e-05
db15k_mhyper_adamf,D-A,Shrink-gate,3,head,9902,-0.0002754907761810022
db15k_mhyper_adamf,D-A,Shrink-gate,3,tail,9902,0.0001110030960364135
db15k_mhyper_adamf,D-A,Linear-p,1,head,9902,0.00018214116642104004
db15k_mhyper_adamf,D-A,Linear-p,1,tail,9902,9.308134951127914e-05
db15k_mhyper_adamf,D-A,Linear-p,2,head,9902,0.0002562402950437081
db15k_mhyper_adamf,D-A,Linear-p,2,tail,9902,0.00012745748777276376
db15k_mhyper_adamf,D-A,Linear-p,3,head,9902,0.0001838732303845192
db15k_mhyper_adamf,D-A,Linear-p,3,tail,9902,2.1271736916924567e-05
db15k_mhyper_adamf,D-A,Clip-g,1,head,9902,-1.4437814105405809e-05
db15k_mhyper_adamf,D-A,Clip-g,1,tail,9902,7.503048956252844e-08
db15k_mhyper_adamf,D-A,Clip-g,2,head,9902,-6.95848559042226e-05
db15k_mhyper_adamf,D-A,Clip-g,2,tail,9902,-4.711487702398373e-05
db15k_mhyper_adamf,D-A,Clip-g,3,head,9902,-1.890720959060139e-05
