pair,label,dataset,split,partition,group,defined_relations,direction,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,100-999,68,tail,6927,2309,68,0.1457334006563999,2.377679348915635e-06,0.5240598184531694,0.5240761337202132,1.6315267043836868e-05,4.5319398136648545e-05,2.9004131092811677e-05,0.0021654395842356,0.006785044030604879,0.01703479139598672,0.8007795582503248
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,1000+,19,head,15855,5285,19,0.3335647563746529,-2.969745549856381e-06,0.19850196761921943,0.19849306456368646,-8.90305553300369e-06,0.0007285675270946785,0.000737470582627682,0.031031220435193945,0.07972248502049827,0.17590665405234943,0.674550614947966
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,1000+,19,tail,15855,5285,19,0.3335647563746529,1.3374669211408833e-05,0.5264294101382149,0.5264695063083161,4.009617010133615e-05,9.821992721060783e-05,5.8123757109271665e-05,0.0018290760012614317,0.003784295175023652,0.015011037527593819,0.8423210343740145
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R1,1,head,3126,1042,1,0.06576622065135067,1.2878720039001092e-08,0.005921496296874631,0.005921692122633074,1.9582575844331411e-07,1.9582575844331411e-07,0.0,0.0,0.0009596928982725527,0.0009596928982725527,0.33397312859884837
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R1,1,tail,3126,1042,1,0.06576622065135067,0.0,0.7609316129949528,0.7609316129949528,0.0,0.0,0.0,0.0,0.0,0.0006397952655150352,0.8483685220729367
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R2,1,head,1779,593,1,0.037427417318858874,1.4704158347873024e-05,0.12824262988803903,0.1286355011947232,0.0003928713066841487,0.001152288957966299,0.0007594176512821501,0.05564924114671164,0.19898819561551434,0.29454749859471613,0.6891512085441259
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R2,1,tail,1779,593,1,0.037427417318858874,1.7088796515475937e-06,0.1268138547037097,0.12685951320151598,4.565849780627331e-05,5.000183419482356e-05,4.3433363885502545e-06,0.004496908375491849,0.015739179314221474,0.023608768971332208,0.8201236649803261
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R3,1,head,1611,537,1,0.03389295632416057,-2.0247723535850778e-05,0.0925301108379778,0.09193270873052527,-0.0005974021074525507,0.0006181540109748943,0.0012155561184274447,0.05462445685909373,0.11421477343265053,0.22470515207945377,0.750465549348231
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R3,1,tail,1611,537,1,0.03389295632416057,-4.2584804699781397e-10,0.3937886103648261,0.39378859780032616,-1.2564499919242764e-08,0.0,1.2564499919242764e-08,0.00186219739292365,0.0,0.00558659217877095,0.8653010552451893
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R4,1,head,1236,412,1,0.0260035344609947,1.1114879554826979e-05,0.1179336467182635,0.11836108397959037,0.00042743726132688994,0.0005818756238715611,0.00015443836254467103,0.01779935275080906,0.09546925566343042,0.1634304207119741,0.8325242718446602
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R4,1,tail,1236,412,1,0.0260035344609947,1.323987642463616e-06,0.420069035165403,0.4201199508455176,5.091568011454741e-05,5.091568011454741e-05,0.0,0.0,0.0048543689320388345,0.02750809061488673,0.8948220064724919
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R5,1,head,873,291,1,0.01836657409745014,-1.6733277759464897e-05,0.29243578909270046,0.29152471674623665,-0.0009110723464637863,0.002023176128766647,0.002934248475230433,0.07331042382588775,0.13631156930126,0.3459335624284078,0.6426116838487973
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R5,1,tail,873,291,1,0.01836657409745014,1.2975466684542222e-06,0.4699106550496686,0.46998130222978884,7.064718012023607e-05,0.0006852026930752532,0.0006145555129550171,0.006872852233676976,0.010309278350515464,0.032073310423825885,0.827033218785796
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,Other,274,head,15141,5047,183,0.31854329714718504,-1.342247672704581e-05,0.32960690416544897,0.329564767109522,-4.213705592694944e-05,0.001089636236325885,0.0011317732922528345,0.030777359487484314,0.06895185258569447,0.20137375338484909,0.7752460207383924
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,Other,274,tail,15141,5047,183,0.31854329714718504,1.1422360445906038e-05,0.5435347890466748,0.5435706471562258,3.585810955120572e-05,7.404645810104245e-05,3.8188348549836726e-05,0.0017832375668714088,0.004226933491843339,0.016511458952513044,0.8146093388811836
db15k_mhyper_native,D-N,db15k,test,frequency,Train-zero,6,head,21,7,6,0.0003534639466774389,0.0,0.0002981301276007824,0.0002981301276007824,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238
db15k_mhyper_native,D-N,db15k,test,frequency,Train-zero,6,tail,21,7,6,0.0003534639466774389,0.0,0.0032426731082541987,0.0032426731082541987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db15k_mhyper_native,D-N,db15k,test,frequency,1-99,186,head,1194,398,98,0.02009695011108867,-1.4133974981144332e-05,0.3724806010675336,0.3717773115184718,-0.0007032895490617648,0.001998587697220902,0.002701877246282667,0.018425460636515914,0.05527638190954774,0.13316582914572864,0.8417085427135679
db15k_mhyper_native,D-N,db15k,test,frequency,1-99,186,tail,1194,398,98,0.02009695011108867,1.343534090096157e-06,0.3898234212900659,0.38989027392604647,6.685263598056356e-05,6.685263598056356e-05,0.0,0.0,0.006700167504187605,0.008375209380234505,0.7973199329983249
db15k_mhyper_native,D-N,db15k,test,frequency,100-999,68,head,8652,2884,68,0.14562714603110483,6.032231127687599e-06,0.33678511921899684,0.3368265416549374,4.142243594061207e-05,0.0017353417619215804,0.0016939193259809685,0.028548312528895052,0.061950993989828944,0.16909385113268607,0.8199260286638927
db15k_mhyper_native,D-N,db15k,test,frequency,100-999,68,tail,8652,2884,68,0.14562714603110483,3.367341134713977e-06,0.514479577813196,0.5145027008450378,2.3123031841843136e-05,2.4530966203506198e-05,1.407934361663062e-06,0.0008090614886731392,0.003005085529357374,0.005779010633379565,0.8421174294960703
db15k_mhyper_native,D-N,db15k,test,frequency,1000+,19,head,19839,6613,19,0.3339224399111291,-8.574059106776078e-05,0.18591771555606373,0.18566094757398208,-0.0002567679820816474,0.0006473257463303786,0.0009040937284120261,0.027723171530823126,0.06729169817027068,0.14416049196028025,0.7115782045466001
db15k_mhyper_native,D-N,db15k,test,frequency,1000+,19,tail,19839,6613,19,0.3339224399111291,7.908205065539806e-06,0.5186715688642212,0.5186952516244083,2.3682760187199503e-05,6.675101527849575e-05,4.306825509129624e-05,0.0010081153283935682,0.0024194767881445638,0.006855184233076264,0.8967689903724986
db15k_mhyper_native,D-N,db15k,test,named_group,R1,1,head,4035,1345,1,0.06791557261159362,0.0,0.004690180853937195,0.004690180853937195,0.0,0.0,0.0,0.0,0.0,0.0,0.3613382899628253
db15k_mhyper_native,D-N,db15k,test,named_group,R1,1,tail,4035,1345,1,0.06791557261159362,0.0,0.7560518542879247,0.7560518542879247,0.0,0.0,0.0,0.0,0.0,0.0,0.9296158612143742
db15k_mhyper_native,D-N,db15k,test,named_group,R2,1,head,2286,762,1,0.03847707533831549,3.923528546046499e-06,0.09945015688496692,0.09955212743526339,0.00010197055029646309,0.0006540010058813102,0.0005520304555848472,0.06561679790026247,0.18241469816272965,0.28346456692913385,0.7025371828521435
db15k_mhyper_native,D-N,db15k,test,named_group,R2,1,tail,2286,762,1,0.03847707533831549,-2.7971656260382682e-06,0.10813641418961936,0.10806371724991064,-7.26969397087426e-05,4.075944393813209e-07,7.310453414812394e-05,0.0017497812773403325,0.0030621172353455816,0.004811898512685914,0.8495188101487314
db15k_mhyper_native,D-N,db15k,test,named_group,R3,1,head,1932,644,1,0.03251868309432438,-2.1665137019600917e-05,0.08878271201500289,0.08811647541013305,-0.0006662366048698393,0.0004532496129304163,0.0011194862178002555,0.04503105590062112,0.09213250517598344,0.17339544513457558,0.8126293995859213
db15k_mhyper_native,D-N,db15k,test,named_group,R3,1,tail,1932,644,1,0.03251868309432438,0.0,0.37991436835683073,0.37991436835683073,0.0,0.0,0.0,0.0,0.0,0.002587991718426501,0.9337474120082816
db15k_mhyper_native,D-N,db15k,test,named_group,R4,1,head,1500,500,1,0.025247424762674206,-7.267273305970215e-06,0.11032144605469663,0.11003360389359375,-0.0002878421611028683,0.00025212291079204375,0.000539965071894912,0.015333333333333332,0.04933333333333333,0.092,0.906
db15k_mhyper_native,D-N,db15k,test,named_group,R4,1,tail,1500,500,1,0.025247424762674206,1.6756398865031773e-06,0.40021628966100053,0.40028265840562516,6.636874462461785e-05,6.884531590413949e-05,2.476571279521622e-06,0.0033333333333333335,0.0026666666666666666,0.011333333333333334,0.9486666666666667
db15k_mhyper_native,D-N,db15k,test,named_group,R5,1,head,1089,363,1,0.018329630377701474,-1.0953484770225632e-05,0.2741166341862482,0.2735190506810428,-0.0005975835052053675,0.0034230406745050816,0.004020624179710448,0.06703397612488522,0.17263544536271808,0.3415977961432507,0.6538108356290174
db15k_mhyper_native,D-N,db15k,test,named_group,R5,1,tail,1089,363,1,0.018329630377701474,3.333879622769706e-07,0.45200178405597174,0.4520199725276107,1.818847163893423e-05,2.0587277103599708e-05,2.3988054646654762e-06,0.0027548209366391185,0.015610651974288337,0.024793388429752067,0.8806244260789715
db15k_mhyper_native,D-N,db15k,test,named_group,Other,274,head,18864,6288,186,0.31751161381539084,-5.7879968371467255e-05,0.32682586869689867,0.32664357625198326,-0.0001822924449154799,0.0012598699058378557,0.0014421623507533358,0.025763358778625955,0.05725190839694656,0.15844995759117897,0.8228371501272265
