pair,label,dataset,split,partition,group,defined_relations,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,1-99,186,1968,328,101,0.04140368593789447,2.1149268811510097e-06,0.39273292976531315,0.3927840104078512,5.108064253804359e-05,0.0006105006875943481,0.0005594200450563045,0.013211382113821139,0.038109756097560975,0.10264227642276423,0.7809959349593496
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,100-999,68,13854,2309,68,0.2914668013127998,-2.133906338200148e-05,0.42720084473362924,0.4271276320614282,-7.321267220104623e-05,0.0006922923040690784,0.0007655049762701247,0.01703479139598672,0.038256099321495596,0.11390212213079255,0.7858380251190992
db15k_mhyper_native,D-N,db15k,dev_oof,frequency,1000+,19,31710,5285,19,0.6671295127493058,1.0404923661552436e-05,0.3624656888787171,0.36248128543600133,1.5596557284166206e-05,0.0004133937271526432,0.00039779716986847695,0.016430148218227688,0.04175339009776096,0.09545884578997162,0.7584358246609902
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R1,1,6252,1042,1,0.13153244130270134,1.2878720039001092e-08,0.3834265546459137,0.3834266525587929,9.791287922165706e-08,9.791287922165706e-08,0.0,0.0,0.0004798464491362764,0.000799744081893794,0.5911708253358925
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R2,1,3558,593,1,0.07485483463771775,1.6413037999420624e-05,0.12752824229587437,0.1277475071981196,0.0002192649022452111,0.0006011453960805612,0.00038188049383535024,0.030073074761101742,0.10736368746486791,0.15907813378302418,0.7546374367622259
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R3,1,3222,537,1,0.06778591264832114,-2.0248149383897776e-05,0.24315936060140195,0.24286065326542572,-0.00029870733597623495,0.00030907700548744713,0.0006077843414636822,0.02824332712600869,0.057107386716325266,0.11514587212911236,0.8078833022967101
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R4,1,2472,412,1,0.0520070689219894,1.2438867197290601e-05,0.26900134094183326,0.26924051741255395,0.00023917647072071877,0.00031639565199305424,7.721918127233551e-05,0.00889967637540453,0.05016181229773463,0.09546925566343042,0.863673139158576
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,R5,1,1746,291,1,0.03673314819490028,-1.5435731091010685e-05,0.38117322207118454,0.3807530094880128,-0.0004202125831717754,0.00135418941092095,0.0017744019940927251,0.04009163802978236,0.07331042382588775,0.18900343642611683,0.7348224513172967
db15k_mhyper_native,D-N,db15k,dev_oof,named_group,Other,274,30282,5047,183,0.6370865942943701,-2.0001162811397873e-06,0.4365708466060619,0.43656770713287396,-3.1394731878718836e-06,0.0005818413472134636,0.0005849808204013357,0.016280298527177862,0.0365893930387689,0.10894260616868107,0.794927679809788
db15k_mhyper_native,D-N,db15k,test,frequency,Train-zero,6,42,7,6,0.0007069278933548778,0.0,0.0017704016179274904,0.0017704016179274904,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619
db15k_mhyper_native,D-N,db15k,test,frequency,1-99,186,2388,398,98,0.04019390022217734,-1.279044089104817e-05,0.38115201117879977,0.38083379272225915,-0.00031821845654060046,0.0010327201666007326,0.0013509386231413336,0.009212730318257957,0.03098827470686767,0.07077051926298157,0.8195142378559463
