pair,method,base_seed,selector_seed,direction,mrr,delta_vs_global,n
mkgw_mhyper_adamf,R3_softplus,1,23,head,0.18408318144651029,-0.000635319295372329,4274
mkgw_mhyper_adamf,R3_softplus,1,23,tail,0.5351545155384227,-0.0013474665863241076,4274
mkgw_mhyper_adamf,R3_softplus,1,37,head,0.18332438343316915,-0.0013941173087134578,4274
mkgw_mhyper_adamf,R3_softplus,1,37,tail,0.5347726653704824,-0.0017293167542644598,4274
mkgw_mhyper_adamf,R3_softplus,2,11,head,0.18177771821780764,-0.001965072024697028,4274
mkgw_mhyper_adamf,R3_softplus,2,11,tail,0.5345922645175907,0.0006268110929545204,4274
mkgw_mhyper_adamf,R3_softplus,2,23,head,0.18226214295342663,-0.0014806472890780172,4274
mkgw_mhyper_adamf,R3_softplus,2,23,tail,0.5351026495388761,0.001137196114239825,4274
mkgw_mhyper_adamf,R3_softplus,2,37,head,0.1814635437912068,-0.0022792464512978476,4274
mkgw_mhyper_adamf,R3_softplus,2,37,tail,0.5342420537335137,0.00027660030887754344,4274
mkgw_mhyper_adamf,R3_softplus,3,11,head,0.18430926210453985,0.00028858093354008923,4274
mkgw_mhyper_adamf,R3_softplus,3,11,tail,0.5344617800931684,-0.000914449058552133,4274
mkgw_mhyper_adamf,R3_softplus,3,23,head,0.18423672775911745,0.00021604658811767558,4274
mkgw_mhyper_adamf,R3_softplus,3,23,tail,0.5341943801891919,-0.0011818489625286248,4274
mkgw_mhyper_adamf,R3_softplus,3,37,head,0.18443114101733726,0.0004104598463375026,4274
mkgw_mhyper_adamf,R3_softplus,3,37,tail,0.5342106987357584,-0.0011655304159618935,4274
mkgw_mhyper_adamf,R4_swap,1,11,head,0.14557215651142366,-0.039146344230458936,4274
mkgw_mhyper_adamf,R4_swap,1,11,tail,0.4777941531476946,-0.05870782897705228,4274
mkgw_mhyper_adamf,R4_swap,1,23,head,0.14535546836219904,-0.039363032379683555,4274
mkgw_mhyper_adamf,R4_swap,1,23,tail,0.47711677441545575,-0.05938520770929109,4274
mkgw_mhyper_adamf,R4_swap,1,37,head,0.14536314617981727,-0.03935535456206531,4274
mkgw_mhyper_adamf,R4_swap,1,37,tail,0.47714739278358076,-0.059354589341166115,4274
mkgw_mhyper_adamf,R4_swap,2,11,head,0.15713885598589258,-0.02660393425661207,4274
mkgw_mhyper_adamf,R4_swap,2,11,tail,0.48492267798636496,-0.04904277543827126,4274
mkgw_mhyper_adamf,R4_swap,2,23,head,0.1576291349810974,-0.026113655261407236,4274
mkgw_mhyper_adamf,R4_swap,2,23,tail,0.48519689358616347,-0.048768559838472815,4274
mkgw_mhyper_adamf,R4_swap,2,37,head,0.15731856860744203,-0.02642422163506262,4274
mkgw_mhyper_adamf,R4_swap,2,37,tail,0.4849290127858418,-0.049036440638794455,4274
mkgw_mhyper_adamf,R4_swap,3,11,head,0.15089882828694695,-0.03312185288405278,4274
mkgw_mhyper_adamf,R4_swap,3,11,tail,0.47957745083001646,-0.05579877832170401,4274
mkgw_mhyper_adamf,R4_swap,3,23,head,0.15057685513520155,-0.03344382603579823,4274
mkgw_mhyper_adamf,R4_swap,3,23,tail,0.47885966629763227,-0.05651656285408818,4274
mkgw_mhyper_adamf,R4_swap,3,37,head,0.15132933929591483,-0.032691341875084934,4274
mkgw_mhyper_adamf,R4_swap,3,37,tail,0.4790692380068516,-0.05630699114486882,4274
mkgw_mhyper_adamf,R0_historical,1,1,head,0.1312530925786476,-0.053465408163235015,4274
mkgw_mhyper_adamf,R0_historical,1,1,tail,0.44453272437809715,-0.09196925774664969,4274
mkgw_mhyper_adamf,R0_historical,2,2,head,0.17397259106367247,-0.009770199178832201,4274
mkgw_mhyper_adamf,R0_historical,2,2,tail,0.5144397719138061,-0.01952568151083017,4274
mkgw_mhyper_adamf,R0_historical,3,3,head,0.14114077344269946,-0.04287990772830031,4274
mkgw_mhyper_adamf,R0_historical,3,3,tail,0.45658269669238505,-0.07879353245933539,4274
mkgw_mhyper_adamf,Global,1,-1,head,0.1847185007418826,0.0,4274
mkgw_mhyper_adamf,Global,1,-1,tail,0.5365019821247469,0.0,4274
mkgw_mhyper_adamf,Global,2,-1,head,0.18374279024250467,0.0,4274
mkgw_mhyper_adamf,Global,2,-1,tail,0.5339654534246362,0.0,4274
mkgw_mhyper_adamf,Global,3,-1,head,0.18402068117099976,0.0,4274
mkgw_mhyper_adamf,Global,3,-1,tail,0.5353762291517203,0.0,4274
mkgw_mhyper_adamf,ADC,1,-1,head,0.1851344644747465,0.00041596373286390096,4274
mkgw_mhyper_adamf,ADC,1,-1,tail,0.5373090942937476,0.000807112169000774,4274
mkgw_mhyper_adamf,ADC,2,-1,head,0.18430415014065096,0.0005613598981463236,4274
mkgw_mhyper_adamf,ADC,2,-1,tail,0.5360452312385896,0.0020797778139534247,4274
mkgw_mhyper_adamf,ADC,3,-1,head,0.1849345984552392,0.0009139172842394419,4274
mkgw_mhyper_adamf,ADC,3,-1,tail,0.5366815679264376,0.0013053387747172798,4274
mkgw_mhyper_adamf,Query-soft,1,-1,head,0.16793278176803242,-0.016785718973850183,4274
mkgw_mhyper_adamf,Query-soft,1,-1,tail,0.507887511068095,-0.028614471056651807,4274
mkgw_mhyper_adamf,Query-soft,2,-1,head,0.17333978764072674,-0.010403002601777935,4274
