pair,run,stage,variant,base_seed,selector_seed,learning_rate,epochs,all_layers_updated_every_epoch,min_epoch_parameter_update,min_epoch_layer_max_gradient,permanent_zero_gradient,final_all_zero_weight
mkgw_mhyper_native,cv_b3_s37_f2_lr1e-05,cv,R3_softplus,3,37,1e-05,10,True,0.0017631053924560547,0.0025709315668791533,False,False
mkgw_mhyper_native,cv_b3_s37_f2_lr5e-05,cv,R3_softplus,3,37,5e-05,10,True,0.0023174285888671875,0.01366147119551897,False,False
mkgw_mhyper_native,cv_b3_s37_f2_lr0.0001,cv,R3_softplus,3,37,0.0001,10,True,0.001647353172302246,0.010734605602920055,False,False
mkgw_mhyper_native,final_R1_source_b1_s11,final,R1_source,1,11,5e-05,1,True,0.012994065880775452,0.28499510884284973,False,False
mkgw_mhyper_native,final_R2_init_b1_s11,final,R2_init,1,11,5e-05,1,True,0.013114094734191895,0.02905203029513359,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b1_s11,final,R3_softplus_fixed,1,11,5e-05,1,True,0.013662397861480713,0.023581434041261673,False,False
mkgw_mhyper_native,final_R3_softplus_b1_s11,final,R3_softplus,1,11,1e-05,1,True,0.0026529431343078613,0.0039067440666258335,False,False
mkgw_mhyper_native,final_R4_swap_b1_s11,final,R4_swap,1,11,1e-05,1,True,0.002675771713256836,0.0030981560703366995,False,False
mkgw_mhyper_native,final_R1_source_b1_s23,final,R1_source,1,23,5e-05,1,True,0.013040542602539062,0.326025128364563,False,False
mkgw_mhyper_native,final_R2_init_b1_s23,final,R2_init,1,23,5e-05,1,True,0.013277053833007812,0.026790114119648933,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b1_s23,final,R3_softplus_fixed,1,23,5e-05,1,True,0.013876616954803467,0.021490324288606644,False,False
mkgw_mhyper_native,final_R3_softplus_b1_s23,final,R3_softplus,1,23,1e-05,1,True,0.0026920437812805176,0.00361807644367218,False,False
mkgw_mhyper_native,final_R4_swap_b1_s23,final,R4_swap,1,23,1e-05,1,True,0.0026973485946655273,0.002970091300085187,False,False
mkgw_mhyper_native,final_R1_source_b1_s37,final,R1_source,1,37,5e-05,1,True,0.015159755945205688,0.30935895442962646,False,False
mkgw_mhyper_native,final_R2_init_b1_s37,final,R2_init,1,37,5e-05,1,True,0.01300191879272461,0.023931752890348434,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b1_s37,final,R3_softplus_fixed,1,37,5e-05,1,True,0.013748407363891602,0.021505098789930344,False,False
mkgw_mhyper_native,final_R3_softplus_b1_s37,final,R3_softplus,1,37,1e-05,1,True,0.0026608705520629883,0.003806730266660452,False,False
mkgw_mhyper_native,final_R4_swap_b1_s37,final,R4_swap,1,37,1e-05,1,True,0.002676248550415039,0.002878808416426182,False,False
mkgw_mhyper_native,final_R1_source_b2_s11,final,R1_source,2,11,5e-05,1,True,0.013037264347076416,0.2894654870033264,False,False
mkgw_mhyper_native,final_R2_init_b2_s11,final,R2_init,2,11,5e-05,1,True,0.01313769817352295,0.028323864564299583,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b2_s11,final,R3_softplus_fixed,2,11,5e-05,1,True,0.013673782348632812,0.022915417328476906,False,False
mkgw_mhyper_native,final_R3_softplus_b2_s11,final,R3_softplus,2,11,1e-05,1,True,0.002654552459716797,0.0037744948640465736,False,False
mkgw_mhyper_native,final_R4_swap_b2_s11,final,R4_swap,2,11,1e-05,1,True,0.0026751160621643066,0.003057742491364479,False,False
mkgw_mhyper_native,final_R1_source_b2_s23,final,R1_source,2,23,5e-05,1,True,0.013118430972099304,0.3308195471763611,False,False
mkgw_mhyper_native,final_R2_init_b2_s23,final,R2_init,2,23,5e-05,1,True,0.013303518295288086,0.02616267465054989,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b2_s23,final,R3_softplus_fixed,2,23,5e-05,1,True,0.013881087303161621,0.020889850333333015,False,False
mkgw_mhyper_native,final_R3_softplus_b2_s23,final,R3_softplus,2,23,1e-05,1,True,0.002691984176635742,0.00351694761775434,False,False
mkgw_mhyper_native,final_R4_swap_b2_s23,final,R4_swap,2,23,1e-05,1,True,0.0026968717575073242,0.0029725797940045595,False,False
mkgw_mhyper_native,final_R1_source_b2_s37,final,R1_source,2,37,5e-05,1,True,0.015130877494812012,0.3284539580345154,False,False
mkgw_mhyper_native,final_R2_init_b2_s37,final,R2_init,2,37,5e-05,1,True,0.013023138046264648,0.023883333429694176,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b2_s37,final,R3_softplus_fixed,2,37,5e-05,1,True,0.013739287853240967,0.02058671973645687,False,False
mkgw_mhyper_native,final_R3_softplus_b2_s37,final,R3_softplus,2,37,1e-05,1,True,0.00265657901763916,0.003666800679638982,False,False
mkgw_mhyper_native,final_R4_swap_b2_s37,final,R4_swap,2,37,1e-05,1,True,0.0026757121086120605,0.002913080621510744,False,False
mkgw_mhyper_native,final_R1_source_b3_s11,final,R1_source,3,11,5e-05,1,True,0.013018503785133362,0.2910626232624054,False,False
mkgw_mhyper_native,final_R2_init_b3_s11,final,R2_init,3,11,5e-05,1,True,0.0131378173828125,0.02801521308720112,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b3_s11,final,R3_softplus_fixed,3,11,5e-05,1,True,0.013683319091796875,0.02321908436715603,False,False
mkgw_mhyper_native,final_R3_softplus_b3_s11,final,R3_softplus,3,11,1e-05,1,True,0.0026577115058898926,0.0038275837432593107,False,False
mkgw_mhyper_native,final_R4_swap_b3_s11,final,R4_swap,3,11,1e-05,1,True,0.002674400806427002,0.003160853637382388,False,False
mkgw_mhyper_native,final_R1_source_b3_s23,final,R1_source,3,23,5e-05,1,True,0.01306961476802826,0.32441914081573486,False,False
mkgw_mhyper_native,final_R2_init_b3_s23,final,R2_init,3,23,5e-05,1,True,0.01328122615814209,0.026357805356383324,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b3_s23,final,R3_softplus_fixed,3,23,5e-05,1,True,0.013867497444152832,0.02111947536468506,False,False
mkgw_mhyper_native,final_R3_softplus_b3_s23,final,R3_softplus,3,23,1e-05,1,True,0.002690136432647705,0.0035503769759088755,False,False
mkgw_mhyper_native,final_R4_swap_b3_s23,final,R4_swap,3,23,1e-05,1,True,0.002696990966796875,0.0030226800590753555,False,False
mkgw_mhyper_native,final_R1_source_b3_s37,final,R1_source,3,37,5e-05,1,True,0.015084385871887207,0.3055313527584076,False,False
mkgw_mhyper_native,final_R2_init_b3_s37,final,R2_init,3,37,5e-05,1,True,0.013010621070861816,0.023972997441887856,False,False
mkgw_mhyper_native,final_R3_softplus_fixed_b3_s37,final,R3_softplus_fixed,3,37,5e-05,1,True,0.013740897178649902,0.021566832438111305,False,False
mkgw_mhyper_native,final_R3_softplus_b3_s37,final,R3_softplus,3,37,1e-05,1,True,0.0026587843894958496,0.0037782106082886457,False,False
mkgw_mhyper_native,final_R4_swap_b3_s37,final,R4_swap,3,37,1e-05,1,True,0.0026738643646240234,0.0029266683850437403,False,False
mkgw_mhyper_adamf,cv_b1_s11_f0_lr1e-05,cv,R3_softplus,1,11,1e-05,10,True,0.0017589926719665527,0.002427033381536603,False,False
mkgw_mhyper_adamf,cv_b1_s11_f0_lr5e-05,cv,R3_softplus,1,11,5e-05,10,True,0.0024768710136413574,0.013417092151939869,False,False
mkgw_mhyper_adamf,cv_b1_s11_f0_lr0.0001,cv,R3_softplus,1,11,0.0001,10,True,0.0017484426498413086,0.012443884275853634,False,False
mkgw_mhyper_adamf,cv_b1_s11_f1_lr1e-05,cv,R3_softplus,1,11,1e-05,10,True,0.001765608787536621,0.002884865505620837,False,False
mkgw_mhyper_adamf,cv_b1_s11_f1_lr5e-05,cv,R3_softplus,1,11,5e-05,10,True,0.002490401268005371,0.016294732689857483,False,False
mkgw_mhyper_adamf,cv_b1_s11_f1_lr0.0001,cv,R3_softplus,1,11,0.0001,10,True,0.0017881393432617188,0.011579866521060467,False,False
mkgw_mhyper_adamf,cv_b1_s11_f2_lr1e-05,cv,R3_softplus,1,11,1e-05,10,True,0.0018112659454345703,0.0024259681813418865,False,False
mkgw_mhyper_adamf,cv_b1_s11_f2_lr5e-05,cv,R3_softplus,1,11,5e-05,10,True,0.0025386810302734375,0.013236838392913342,False,False
mkgw_mhyper_adamf,cv_b1_s11_f2_lr0.0001,cv,R3_softplus,1,11,0.0001,10,True,0.001795351505279541,0.01005593128502369,False,False
mkgw_mhyper_adamf,cv_b1_s23_f0_lr1e-05,cv,R3_softplus,1,23,1e-05,10,True,0.001759946346282959,0.0024835465010255575,False,False
mkgw_mhyper_adamf,cv_b1_s23_f0_lr5e-05,cv,R3_softplus,1,23,5e-05,10,True,0.002556145191192627,0.013141822069883347,False,False
mkgw_mhyper_adamf,cv_b1_s23_f0_lr0.0001,cv,R3_softplus,1,23,0.0001,10,True,0.0019170641899108887,0.009188725613057613,False,False
mkgw_mhyper_adamf,cv_b1_s23_f1_lr1e-05,cv,R3_softplus,1,23,1e-05,10,True,0.0017805695533752441,0.00269687594845891,False,False
mkgw_mhyper_adamf,cv_b1_s23_f1_lr5e-05,cv,R3_softplus,1,23,5e-05,10,True,0.002481818199157715,0.014300622045993805,False,False
mkgw_mhyper_adamf,cv_b1_s23_f1_lr0.0001,cv,R3_softplus,1,23,0.0001,10,True,0.0018338561058044434,0.00974186323583126,False,False
mkgw_mhyper_adamf,cv_b1_s23_f2_lr1e-05,cv,R3_softplus,1,23,1e-05,10,True,0.0017984509468078613,0.0023508830927312374,False,False
mkgw_mhyper_adamf,cv_b1_s23_f2_lr5e-05,cv,R3_softplus,1,23,5e-05,10,True,0.002455413341522217,0.012261510826647282,False,False
mkgw_mhyper_adamf,cv_b1_s23_f2_lr0.0001,cv,R3_softplus,1,23,0.0001,10,True,0.0017496347427368164,0.01290006935596466,False,False
mkgw_mhyper_adamf,cv_b1_s37_f0_lr1e-05,cv,R3_softplus,1,37,1e-05,10,True,0.0017628073692321777,0.002904691267758608,False,False
mkgw_mhyper_adamf,cv_b1_s37_f0_lr5e-05,cv,R3_softplus,1,37,5e-05,10,True,0.002442002296447754,0.01506166160106659,False,False
mkgw_mhyper_adamf,cv_b1_s37_f0_lr0.0001,cv,R3_softplus,1,37,0.0001,10,True,0.0018258094787597656,0.010360682383179665,False,False
mkgw_mhyper_adamf,cv_b1_s37_f1_lr1e-05,cv,R3_softplus,1,37,1e-05,10,True,0.001773536205291748,0.002537291729822755,False,False
mkgw_mhyper_adamf,cv_b1_s37_f1_lr5e-05,cv,R3_softplus,1,37,5e-05,10,True,0.0025708675384521484,0.013080865144729614,False,False
mkgw_mhyper_adamf,cv_b1_s37_f1_lr0.0001,cv,R3_softplus,1,37,0.0001,10,True,0.001972198486328125,0.010453497990965843,False,False
mkgw_mhyper_adamf,cv_b1_s37_f2_lr1e-05,cv,R3_softplus,1,37,1e-05,10,True,0.0017942190170288086,0.0027048452757298946,False,False
mkgw_mhyper_adamf,cv_b1_s37_f2_lr5e-05,cv,R3_softplus,1,37,5e-05,10,True,0.002457559108734131,0.01428453903645277,False,False
mkgw_mhyper_adamf,cv_b1_s37_f2_lr0.0001,cv,R3_softplus,1,37,0.0001,10,True,0.001762092113494873,0.009687949903309345,False,False
mkgw_mhyper_adamf,cv_b2_s11_f0_lr1e-05,cv,R3_softplus,2,11,1e-05,10,True,0.0017559528350830078,0.0023993896320462227,False,False
mkgw_mhyper_adamf,cv_b2_s11_f0_lr5e-05,cv,R3_softplus,2,11,5e-05,10,True,0.0024296045303344727,0.01311187632381916,False,False
mkgw_mhyper_adamf,cv_b2_s11_f0_lr0.0001,cv,R3_softplus,2,11,0.0001,10,True,0.0017270445823669434,0.011376972310245037,False,False
mkgw_mhyper_adamf,cv_b2_s11_f1_lr1e-05,cv,R3_softplus,2,11,1e-05,10,True,0.0017633438110351562,0.0029238949064165354,False,False
mkgw_mhyper_adamf,cv_b2_s11_f1_lr5e-05,cv,R3_softplus,2,11,5e-05,10,True,0.002411961555480957,0.016137108206748962,False,False
mkgw_mhyper_adamf,cv_b2_s11_f1_lr0.0001,cv,R3_softplus,2,11,0.0001,10,True,0.0016291141510009766,0.012479047290980816,False,False
mkgw_mhyper_adamf,cv_b2_s11_f2_lr1e-05,cv,R3_softplus,2,11,1e-05,10,True,0.0018024444580078125,0.002446601400151849,False,False
mkgw_mhyper_adamf,cv_b2_s11_f2_lr5e-05,cv,R3_softplus,2,11,5e-05,10,True,0.0024766921997070312,0.013294828124344349,False,False
mkgw_mhyper_adamf,cv_b2_s11_f2_lr0.0001,cv,R3_softplus,2,11,0.0001,10,True,0.0016546249389648438,0.012192110531032085,False,False
mkgw_mhyper_adamf,cv_b2_s23_f0_lr1e-05,cv,R3_softplus,2,23,1e-05,10,True,0.0017557740211486816,0.0025236308574676514,False,False
mkgw_mhyper_adamf,cv_b2_s23_f0_lr5e-05,cv,R3_softplus,2,23,5e-05,10,True,0.002527177333831787,0.013365253806114197,False,False
mkgw_mhyper_adamf,cv_b2_s23_f0_lr0.0001,cv,R3_softplus,2,23,0.0001,10,True,0.0018649697303771973,0.011121989227831364,False,False
mkgw_mhyper_adamf,cv_b2_s23_f1_lr1e-05,cv,R3_softplus,2,23,1e-05,10,True,0.0017771124839782715,0.0026892507448792458,False,False
mkgw_mhyper_adamf,cv_b2_s23_f1_lr5e-05,cv,R3_softplus,2,23,5e-05,10,True,0.002451956272125244,0.014271716587245464,False,False
mkgw_mhyper_adamf,cv_b2_s23_f1_lr0.0001,cv,R3_softplus,2,23,0.0001,10,True,0.001743018627166748,0.010874301195144653,False,False
mkgw_mhyper_adamf,cv_b2_s23_f2_lr1e-05,cv,R3_softplus,2,23,1e-05,10,True,0.0017929673194885254,0.002374557312577963,False,False
mkgw_mhyper_adamf,cv_b2_s23_f2_lr5e-05,cv,R3_softplus,2,23,5e-05,10,True,0.002434968948364258,0.01227851863950491,False,False
mkgw_mhyper_adamf,cv_b2_s23_f2_lr0.0001,cv,R3_softplus,2,23,0.0001,10,True,0.001708388328552246,0.011465659365057945,False,False
mkgw_mhyper_adamf,cv_b2_s37_f0_lr1e-05,cv,R3_softplus,2,37,1e-05,10,True,0.0017601251602172852,0.0029111383482813835,False,False
mkgw_mhyper_adamf,cv_b2_s37_f0_lr5e-05,cv,R3_softplus,2,37,5e-05,10,True,0.0023502707481384277,0.01510791014879942,False,False
mkgw_mhyper_adamf,cv_b2_s37_f0_lr0.0001,cv,R3_softplus,2,37,0.0001,10,True,0.0016734600067138672,0.009704823605716228,False,False
mkgw_mhyper_adamf,cv_b2_s37_f1_lr1e-05,cv,R3_softplus,2,37,1e-05,10,True,0.0017646551132202148,0.002423020778223872,False,False
mkgw_mhyper_adamf,cv_b2_s37_f1_lr5e-05,cv,R3_softplus,2,37,5e-05,10,True,0.0024963021278381348,0.012602398172020912,False,False
mkgw_mhyper_adamf,cv_b2_s37_f1_lr0.0001,cv,R3_softplus,2,37,0.0001,10,True,0.0018015503883361816,0.00959064345806837,False,False
mkgw_mhyper_adamf,cv_b2_s37_f2_lr1e-05,cv,R3_softplus,2,37,1e-05,10,True,0.001783907413482666,0.0027891378849744797,False,False
mkgw_mhyper_adamf,cv_b2_s37_f2_lr5e-05,cv,R3_softplus,2,37,5e-05,10,True,0.0024295449256896973,0.014754264615476131,False,False
