dataset,pair_id,level,scope,value,count,delta_mrr,clustered_ci95_low,clustered_ci95_high
db15k,db15k_mhyper_adamf,L5,seed,3,15844,0.0019411124978250406,0.0010680949151823712,0.0028090605775554305
db15k,db15k_mhyper_adamf,L5,direction,head,23766,0.0009839833687449258,0.0002598181965133407,0.0017174206656532709
db15k,db15k_mhyper_adamf,L5,direction,tail,23766,0.0008646274385769768,5.416366501051925e-05,0.0016673490880482564
db15k,db15k_native_adamf,L0,seed,1,15844,0.0,0.0,0.0
db15k,db15k_native_adamf,L0,seed,2,15844,0.0,0.0,0.0
db15k,db15k_native_adamf,L0,seed,3,15844,0.0,0.0,0.0
db15k,db15k_native_adamf,L0,direction,head,23766,0.0,0.0,0.0
db15k,db15k_native_adamf,L0,direction,tail,23766,0.0,0.0,0.0
db15k,db15k_native_adamf,L1,seed,1,15844,0.0,0.0,0.0
db15k,db15k_native_adamf,L1,seed,2,15844,0.0,0.0,0.0
db15k,db15k_native_adamf,L1,seed,3,15844,0.0,0.0,0.0
db15k,db15k_native_adamf,L1,direction,head,23766,0.0,0.0,0.0
db15k,db15k_native_adamf,L1,direction,tail,23766,0.0,0.0,0.0
db15k,db15k_native_adamf,L2,seed,1,15844,0.0005900964579033713,-0.0007159280475485876,0.0018508098555035353
db15k,db15k_native_adamf,L2,seed,2,15844,-0.00013414024278486384,-0.0015476243340691316,0.0012956933616258093
db15k,db15k_native_adamf,L2,seed,3,15844,-0.00026582427675966955,-0.001544827430339328,0.0009873222866707818
db15k,db15k_native_adamf,L2,direction,head,23766,-0.0009907307842283517,-0.001804080471502703,-0.00018214988170735515
db15k,db15k_native_adamf,L2,direction,tail,23766,0.0011174854098009099,-0.00019446811152216083,0.0024259436096420923
db15k,db15k_native_adamf,L3,seed,1,15844,0.0004582351128327982,-0.0010228301222249526,0.001960466212047579
db15k,db15k_native_adamf,L3,seed,2,15844,-0.001324377763655918,-0.0029423666278292613,0.00028422706854052765
db15k,db15k_native_adamf,L3,seed,3,15844,-0.0010469848908026466,-0.0024981384974653307,0.0004208958801440162
db15k,db15k_native_adamf,L3,direction,head,23766,-0.0019073527936801177,-0.0028061327220546377,-0.0010279392015520698
db15k,db15k_native_adamf,L3,direction,tail,23766,0.0006319344325962732,-0.0009433178616879853,0.002219181720945211
db15k,db15k_native_adamf,L4,seed,1,15844,0.0004055776070029094,-0.0004877836773980408,0.0012886605182625866
db15k,db15k_native_adamf,L4,seed,2,15844,-0.0005254306254886445,-0.0015881843626929164,0.0005083923206985203
db15k,db15k_native_adamf,L4,seed,3,15844,-0.0005987958993842205,-0.0014392822020948234,0.00023683235841966626
db15k,db15k_native_adamf,L4,direction,head,23766,-0.0004907770998232523,-0.0009682449318487892,-2.4493645996032472e-05
db15k,db15k_native_adamf,L4,direction,tail,23766,1.1677821243281946e-05,-0.0009990356972105691,0.0010477991614487206
db15k,db15k_native_adamf,L5,seed,1,15844,0.0019731556883798578,0.0011300042261463588,0.0028238359266996413
db15k,db15k_native_adamf,L5,seed,2,15844,0.0013867320378233704,0.0005153525014385159,0.0022787516924332326
db15k,db15k_native_adamf,L5,seed,3,15844,0.0013310231191095588,0.00046249470271533745,0.002186275353940056
db15k,db15k_native_adamf,L5,direction,head,23766,0.0005315495974210269,0.00012496218130556954,0.0009319582925724847
db15k,db15k_native_adamf,L5,direction,tail,23766,0.0025957242994541644,0.0016337401299432017,0.003570701740820177
