pair_id,level,outer_fold,global_alpha,minimum_support,training_adaptive_gain,oof_delta_mrr,support_coverage,supported_group_count,degree_edges
db15k_mhyper_adamf,L2,4,1.0,25,0.000644822960472544,0.0007391851290890819,0.8490566037735849,42,
db15k_mhyper_adamf,L3,4,1.0,25,0.001577476044687506,-0.0003253074804716338,0.8490566037735849,84,
db15k_mhyper_adamf,L4,4,1.0,100,0.0003085487333528725,-0.00016550917381764766,0.2320754716981132,14,"[2.079441547393799, 2.7725887298583984, 3.8501474857330322]"
db15k_mhyper_adamf,L0,5,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_adamf,L1,5,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_adamf,L2,5,1.0,25,0.0008320852725275721,-0.00019072382957903723,0.852365930599369,42,
db15k_mhyper_adamf,L3,5,1.0,25,0.001663486664859168,-0.0006803153725425986,0.852365930599369,84,
db15k_mhyper_adamf,L4,5,1.0,100,0.00031793852513206346,-1.967201090836927e-05,0.23249211356466876,15,"[2.079441547393799, 2.70805025100708, 3.8501474857330322]"
db15k_mhyper_adamf,L5,1,1.0,,,-0.0004984158403781622,1.0,,
db15k_mhyper_adamf,L5,2,1.0,,,0.0014289864795459552,1.0,,
db15k_mhyper_adamf,L5,3,1.0,,,0.0014959045982014484,1.0,,
db15k_mhyper_adamf,L5,4,1.0,,,0.0006323987504426506,1.0,,
db15k_mhyper_adamf,L5,5,1.0,,,0.001559998804723083,1.0,,
db15k_native_adamf,L0,1,1.0,1,0.0,0.0,1.0,1,
db15k_native_adamf,L1,1,1.0,1,0.0,0.0,1.0,2,
db15k_native_adamf,L2,1,1.0,25,0.0018698472358513211,0.0004825548166298558,0.8512658227848101,42,
db15k_native_adamf,L3,1,1.0,25,0.0025261009331259882,-2.8255990861379588e-06,0.8512658227848101,84,
db15k_native_adamf,L4,1,1.0,50,0.001994036808408507,-0.0005277795200345077,0.3996835443037975,48,"[2.1972246170043945, 2.70805025100708, 3.8501474857330322]"
db15k_native_adamf,L0,2,1.0,1,0.0,0.0,1.0,1,
db15k_native_adamf,L1,2,1.0,1,0.0,0.0,1.0,2,
db15k_native_adamf,L2,2,1.0,25,0.002080939831907313,-0.0005006006137899043,0.8532574320050601,42,
db15k_native_adamf,L3,2,1.0,25,0.0030672950262310454,-0.0010485916768616448,0.8532574320050601,84,
db15k_native_adamf,L4,2,1.0,50,0.00215456558396684,-0.001367662677838513,0.40227703984819735,46,"[2.079441547393799, 2.70805025100708, 3.8501474857330322]"
db15k_native_adamf,L0,3,1.0,1,0.0,0.0,1.0,1,
db15k_native_adamf,L1,3,1.0,1,0.0,0.0,1.0,2,
db15k_native_adamf,L2,3,1.0,25,0.0017793322722937945,0.0007487219672121057,0.8511979823455234,42,
db15k_native_adamf,L3,3,1.0,25,0.002662431320835909,-0.000179079466640183,0.8511979823455234,84,
db15k_native_adamf,L4,3,1.0,50,0.0019029857740863131,-0.00036674229759066287,0.4010088272383354,48,"[2.079441547393799, 2.70805025100708, 3.828641414642334]"
db15k_native_adamf,L0,4,1.0,1,0.0,0.0,1.0,1,
db15k_native_adamf,L1,4,1.0,1,0.0,0.0,1.0,2,
db15k_native_adamf,L2,4,1.0,25,0.0021881678883556317,-0.0007408433762235787,0.8490566037735849,42,
db15k_native_adamf,L3,4,1.0,25,0.002934172336003099,-0.0011370133334998136,0.8490566037735849,84,
db15k_native_adamf,L4,4,1.0,100,0.0007795720798390626,0.0007367716110116789,0.2320754716981132,14,"[2.079441547393799, 2.7725887298583984, 3.8501474857330322]"
db15k_native_adamf,L0,5,1.0,1,0.0,0.0,1.0,1,
db15k_native_adamf,L1,5,1.0,1,0.0,0.0,1.0,2,
db15k_native_adamf,L2,5,1.0,25,0.0019261947273539754,0.0003290573881493126,0.852365930599369,42,
db15k_native_adamf,L3,5,1.0,25,0.002640507795809878,-0.0008187842310553419,0.852365930599369,84,
db15k_native_adamf,L4,5,1.0,100,0.0006515521589788948,0.0003209088424808653,0.23249211356466876,15,"[2.079441547393799, 2.70805025100708, 3.8501474857330322]"
db15k_native_adamf,L5,1,1.0,,,0.001173218147384154,1.0,,
db15k_native_adamf,L5,2,1.0,,,0.0012325862038635549,1.0,,
db15k_native_adamf,L5,3,1.0,,,0.0023023877087689935,1.0,,
db15k_native_adamf,L5,4,1.0,,,0.000964609051481505,1.0,,
db15k_native_adamf,L5,5,1.0,,,0.002144740155447428,1.0,,
