pair,split,left,right,n,delta_mrr,seed_1,seed_2,seed_3,direction_head,direction_tail
db15k_mhyper_native,test,ADC_grid_001,ADC_grid_005,59412,-2.7792238088633607e-06,1.9961860126082113e-06,4.3875461938071415e-05,-5.420931937726965e-05,3.576548399576683e-05,-4.132393161349353e-05
db15k_mhyper_native,test,ADC_continuous,ADC_grid_005,59412,1.024154976524959e-06,1.858468625299479e-05,4.7658664908489944e-05,-6.317088623190986e-05,2.2348524706578473e-05,-2.0300214753528547e-05
db15k_mhyper_native,test,Query-soft_grid_001,Query-soft_grid_005,59412,-0.00020726991369714496,-0.0002876639940379661,-0.00024004091965290395,-9.410482740056484e-05,-0.00022720832619230262,-0.00018733150120198722
db15k_mhyper_native,test,Query-soft_continuous,Query-soft_grid_005,59412,0.0006160083582955291,0.0003895995924098942,0.0002929537920175603,0.0011654716904591327,0.00023127569692928693,0.0010007410196617712
db15k_mhyper_adamf,test,ADC_grid_005,Global,59412,0.00021155358931433234,0.00019308255872272108,0.00033772096167611413,0.00010385724754416174,0.0003361789358692484,8.692824275941635e-05
db15k_mhyper_adamf,test,ADC_grid_001,Global,59412,0.00022217682771840159,0.0001930448503566573,0.0003451365402736531,0.00012834909252489434,0.0003581009444485172,8.625271098828601e-05
db15k_mhyper_adamf,test,ADC_continuous,Global,59412,0.00020781201453497322,0.0001933028430734922,0.00032703090761397277,0.00010310229291745467,0.00032916079074402684,8.646323832591964e-05
db15k_mhyper_adamf,test,Query-soft_grid_005,Global,59412,-0.03580650482927906,-0.03598434069690324,-0.04059753619996289,-0.030837637590971023,-0.02459870429337127,-0.04701430536518683
db15k_mhyper_adamf,test,Query-soft_grid_001,Global,59412,-0.03573389331543131,-0.03612011506006896,-0.04027073707697573,-0.030810827809249215,-0.025077133399295147,-0.04639065323156746
db15k_mhyper_adamf,test,Query-soft_continuous,Global,59412,-0.03606641936569342,-0.03661642390087088,-0.039906823200533924,-0.03167601099567548,-0.025173755234055264,-0.0469590834973316
db15k_mhyper_adamf,test,ADC_grid_005,Query-soft_grid_005,59412,0.03601805841859338,0.03617742325562596,0.040935257161639,0.03094149483851518,0.02493488322924052,0.04710123360794625
db15k_mhyper_adamf,test,ADC_grid_001,Query-soft_grid_001,59412,0.0359560701431497,0.036313159910425614,0.040615873617249394,0.030939176901774106,0.025435234343743666,0.04647690594255574
db15k_mhyper_adamf,test,ADC_continuous,Query-soft_continuous,59412,0.0362742313802284,0.03680972674394437,0.040233854108147886,0.03177911328859294,0.02550291602479929,0.047045546735657515
db15k_mhyper_adamf,test,ADC_grid_001,ADC_grid_005,59412,1.0623238404069238e-05,-3.770836606376676e-08,7.415578597538885e-06,2.4491844980732597e-05,2.192200857926881e-05,-6.755317711303324e-07
