pair,split,method,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,test,ADC_grid_005,25644,0.3671117713259244,0.36466512265731504,0.0024466486686093203,0.15149742629854937,0.1941974730931212,0.3456948993916706,0.03606094302748472,0.005463140058562553,0.007909788727171874,0.6332865387615036,0.12098346591795352
mkgw_mhyper_native,test,ADC_grid_001,25644,0.3671702518706571,0.36466512265731504,0.002505129213342056,0.15192637654032132,0.19443144595226955,0.34635782249259084,0.03707281023899,0.005632337727776674,0.008137466941118731,0.6332865387615036,0.12132662611137109
mkgw_mhyper_native,test,ADC_continuous,25644,0.3669934091101804,0.36466512265731504,0.002328286452865429,0.15134144439245048,0.1940414911870223,0.3453829355794728,0.03676173436860288,0.005563573977715949,0.007891860430581377,0.6332865387615036,0.1212173144665476
mkgw_mhyper_native,test,Query-soft_grid_005,25644,0.36654291914622517,0.36466512265731504,0.001877796488910103,0.1635470285446888,0.29020433629698955,0.4537513648416784,0.03282727593084427,0.005368803433706164,0.007246599922616267,0.7979254406488847,0.0825651224457963
mkgw_mhyper_native,test,Query-soft_grid_001,25644,0.3663043204321027,0.36466512265731504,0.0016391977747876262,0.1859304320698799,0.3184760567774138,0.5044064888472937,0.0366837984500009,0.006820634495773058,0.008459832270560685,0.958586803930744,0.08292739042271097
mkgw_mhyper_native,test,Query-soft_continuous,25644,0.3661241603021455,0.36466512265731504,0.0014590376448304827,0.18986897519887694,0.3212837310871939,0.5111527062860708,0.036726307811454736,0.006973186426999419,0.0084322240718299,1.0,0.08293122974633617
mkgw_mhyper_adamf,test,Global,25644,0.3597209394760818,0.3597209394760818,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,test,ADC_grid_005,25644,0.36073485108823533,0.3597209394760818,0.001013911612153524,0.03618780221494307,0.1380439868975199,0.17423178911246295,0.039379354634442684,0.0014250522968633132,0.0024389639090168372,0.20293245983465918,0.040038605521759474
mkgw_mhyper_adamf,test,ADC_grid_001,25644,0.360802533451187,0.3597209394760818,0.0010815939751052752,0.03622679769146779,0.13812197785056934,0.17434877554203712,0.03962746890118868,0.0014355762989082933,0.0025171702740135688,0.20293245983465918,0.040484323818437064
mkgw_mhyper_adamf,test,ADC_continuous,25644,0.36086886636533366,0.3597209394760818,0.0011479268892519506,0.03618780221494307,0.13843394166276712,0.17462174387771018,0.038575307686626384,0.0013959556049442086,0.0025438824941961587,0.20293245983465918,0.04033815188333637
mkgw_mhyper_adamf,test,Query-soft_grid_005,25644,0.340617909656584,0.3597209394760818,-0.01910302981949776,0.2636094213071284,0.43312275776009984,0.6967321790672282,0.14657061378394465,0.038637394680216264,0.0195343648607185,1.0,0.4828907346747777
mkgw_mhyper_adamf,test,Query-soft_grid_001,25644,0.3406080629381991,0.3597209394760818,-0.01911287653788263,0.2636484167836531,0.4330447668070504,0.6966931835907034,0.14636847985287174,0.03858981798023966,0.019476941442357027,1.0,0.48315629386991105
