pair,split,method,n_observations,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters,bootstrap_samples,bootstrap_seed,cluster_unit,delta_mrr_ci95,harmful_query_rate_ci95,mean_harm_ci95
mkgw_mhyper_adamf,test,ADC,25644,0.3607348510882352,0.0010139116121535242,0.03618780221494307,0.1380439868975199,0.825768210887537,0.039379354634442684,0.017668019910403326,0.0,928,3540,21176,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0005032863943047457, 0.0015491810933521597]","[0.03334113242863828, 0.03903447200124786]","[0.03142229999306326, 0.04807552556363384]"
mkgw_mhyper_adamf,test,Query-soft,25644,0.340617909656584,-0.019103029819497762,0.2636094213071284,0.43312275776009984,0.3032678209327718,0.14657061378394465,0.04510122017540877,0.0,6760,11107,7777,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.021721995241464225, -0.016498748689698965]","[0.2559663079082826, 0.2712135392294494]","[0.13921293387106815, 0.15410911638888689]"
mkgw_mhyper_adamf,test,Relation,25644,0.3586724782253811,-0.0010484612507006563,0.04507877086257994,0.08848073623459679,0.8664404929028233,0.10063278950870945,0.03942034568492749,0.0,1156,2269,22219,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0021272402741221957, -4.821469422356537e-05]","[0.04067228201528623, 0.04960322102636093]","[0.08431506187115091, 0.118171161971896]"
mkgw_mhyper_adamf,test,DynaSemble,25644,0.3103202750115513,-0.04940066446453046,0.3970519419747309,0.37615036655747935,0.22679769146778975,0.2000428062797342,0.07982637507897933,0.0,10182,9646,5816,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.05370117031578713, -0.04516065055873703]","[0.3883949461862424, 0.40574890812665726]","[0.19205235318817662, 0.2079720479567001]"
mkgw_mhyper_native,dev,Global,25656,0.35633141255901196,0.0,0.0,0.0,1.0,,,0.0,0,0,25656,4276,,,,,,
mkgw_mhyper_native,dev,ADC,25656,0.3595785783905677,0.003247165831555731,0.1472949797318366,0.1997583411287808,0.6529466791393826,0.030493819443041126,0.03874057175602853,0.0,3779,5125,16752,4276,,,,,,
mkgw_mhyper_native,dev,Query-soft,25656,0.35774230138899565,0.0014108888299836845,0.1572731524789523,0.2987215466167758,0.5440053009042719,0.032188329102662484,0.02166984234750842,0.0,4035,7664,13957,4276,,,,,,
mkgw_mhyper_native,dev,Relation,25656,0.36521175583315063,0.008880343274138634,0.26032896788275645,0.3491191144371687,0.39055191768007486,0.043001168289733875,0.05750127163653381,0.0,6679,8957,10020,4276,,,,,,
mkgw_mhyper_native,dev,DynaSemble,25656,0.3395807824939684,-0.016750630065043595,0.3045681322107889,0.39830838790146555,0.29712347988774557,0.13429477643759136,0.060634623557547736,0.0,7814,10219,7623,4276,,,,,,
mkgw_mhyper_native,test,Global,25644,0.36466512265731504,0.0,0.0,0.0,1.0,,,0.0,0,0,25644,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0, 0.0]","[0.0, 0.0]","[None, None]"
