dataset,pair_id,scope,relation_id,direction,n_queries,n_original_triples,positive_opportunities,toward_a,toward_b,direction_consistency,signed_direction_preference,supported,support_min
mkg_y,mkg_y_mhyper_adamf,direction,,head,7995,2665,5245,1587,3658,0.6974261201143946,-0.39485224022878934,True,60
mkg_y,mkg_y_mhyper_adamf,direction,,tail,7995,2665,5183,1574,3609,0.6963148755546981,-0.39262975110939613,True,60
mkg_y,mkg_y_mhyper_adamf,relation,0,,438,73,336,121,215,0.6398809523809523,-0.27976190476190477,True,60
mkg_y,mkg_y_mhyper_adamf,relation,1,,1986,331,612,229,383,0.6258169934640523,-0.25163398692810457,True,60
mkg_y,mkg_y_mhyper_adamf,relation,2,,810,135,638,217,421,0.6598746081504702,-0.31974921630094044,True,60
mkg_y,mkg_y_mhyper_adamf,relation,3,,2490,415,1655,542,1113,0.6725075528700907,-0.3450151057401813,True,60
mkg_y,mkg_y_mhyper_adamf,relation,4,,2238,373,819,274,545,0.6654456654456654,-0.3308913308913309,True,60
mkg_y,mkg_y_mhyper_adamf,relation,5,,774,129,413,203,210,0.5084745762711864,-0.01694915254237288,True,60
mkg_y,mkg_y_mhyper_adamf,relation,6,,1110,185,837,258,579,0.6917562724014337,-0.3835125448028674,True,60
mkg_y,mkg_y_mhyper_adamf,relation,7,,84,14,59,19,40,0.6779661016949152,-0.3559322033898305,True,60
mkg_y,mkg_y_mhyper_adamf,relation,8,,270,45,58,33,25,0.5689655172413793,0.13793103448275862,True,60
mkg_y,mkg_y_mhyper_adamf,relation,9,,4674,779,4215,993,3222,0.7644128113879004,-0.5288256227758007,True,60
mkg_y,mkg_y_mhyper_adamf,relation,10,,204,34,107,38,69,0.6448598130841121,-0.2897196261682243,True,60
mkg_y,mkg_y_mhyper_adamf,relation,11,,42,7,40,18,22,0.55,-0.1,False,60
mkg_y,mkg_y_mhyper_adamf,relation,12,,474,79,368,112,256,0.6956521739130435,-0.391304347826087,True,60
mkg_y,mkg_y_mhyper_adamf,relation,13,,54,9,22,4,18,0.8181818181818182,-0.6363636363636364,False,60
mkg_y,mkg_y_mhyper_adamf,relation,14,,6,1,6,4,2,0.6666666666666666,0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_adamf,relation,15,,60,10,45,18,27,0.6,-0.2,True,60
mkg_y,mkg_y_mhyper_adamf,relation,16,,12,2,7,2,5,0.7142857142857143,-0.42857142857142855,False,60
mkg_y,mkg_y_mhyper_adamf,relation,17,,120,20,101,50,51,0.504950495049505,-0.009900990099009901,True,60
mkg_y,mkg_y_mhyper_adamf,relation,18,,36,6,19,6,13,0.6842105263157895,-0.3684210526315789,False,60
mkg_y,mkg_y_mhyper_adamf,relation,19,,6,1,3,0,3,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation,20,,6,1,5,0,5,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation,21,,18,3,6,5,1,0.8333333333333334,0.6666666666666666,False,60
mkg_y,mkg_y_mhyper_adamf,relation,22,,12,2,10,1,9,0.9,-0.8,False,60
mkg_y,mkg_y_mhyper_adamf,relation,23,,42,7,37,9,28,0.7567567567567568,-0.5135135135135135,False,60
mkg_y,mkg_y_mhyper_adamf,relation,24,,6,1,1,0,1,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation,25,,12,2,6,5,1,0.8333333333333334,0.6666666666666666,False,60
mkg_y,mkg_y_mhyper_adamf,relation,26,,6,1,3,0,3,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,0,head,219,73,178,57,121,0.6797752808988764,-0.3595505617977528,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,0,tail,219,73,158,64,94,0.5949367088607594,-0.189873417721519,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,1,head,993,331,363,142,221,0.6088154269972452,-0.21763085399449036,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,1,tail,993,331,249,87,162,0.6506024096385542,-0.30120481927710846,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,2,head,405,135,290,109,181,0.6241379310344828,-0.2482758620689655,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,2,tail,405,135,348,108,240,0.6896551724137931,-0.3793103448275862,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,3,head,1245,415,782,237,545,0.69693094629156,-0.3938618925831202,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,3,tail,1245,415,873,305,568,0.6506300114547537,-0.30126002290950743,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,4,head,1119,373,459,168,291,0.6339869281045751,-0.2679738562091503,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,4,tail,1119,373,360,106,254,0.7055555555555556,-0.4111111111111111,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,5,head,387,129,225,110,115,0.5111111111111111,-0.022222222222222223,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,5,tail,387,129,188,93,95,0.5053191489361702,-0.010638297872340425,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,6,head,555,185,402,119,283,0.7039800995024875,-0.4079601990049751,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,6,tail,555,185,435,139,296,0.6804597701149425,-0.36091954022988504,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,7,head,42,14,42,12,30,0.7142857142857143,-0.42857142857142855,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,7,tail,42,14,17,7,10,0.5882352941176471,-0.17647058823529413,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,8,head,135,45,30,15,15,0.5,0.0,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,8,tail,135,45,28,18,10,0.6428571428571429,0.2857142857142857,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,9,head,2337,779,2060,479,1581,0.7674757281553398,-0.5349514563106796,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,9,tail,2337,779,2155,514,1641,0.7614849187935034,-0.522969837587007,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,10,head,102,34,84,26,58,0.6904761904761905,-0.38095238095238093,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,10,tail,102,34,23,12,11,0.5217391304347826,0.043478260869565216,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,11,head,21,7,19,9,10,0.5263157894736842,-0.05263157894736842,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,11,tail,21,7,21,9,12,0.5714285714285714,-0.14285714285714285,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,12,head,237,79,166,58,108,0.6506024096385542,-0.30120481927710846,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,12,tail,237,79,202,54,148,0.7326732673267327,-0.46534653465346537,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,13,head,27,9,11,2,9,0.8181818181818182,-0.6363636363636364,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,13,tail,27,9,11,2,9,0.8181818181818182,-0.6363636363636364,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,14,head,3,1,3,1,2,0.6666666666666666,-0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,14,tail,3,1,3,3,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,15,head,30,10,24,10,14,0.5833333333333334,-0.16666666666666666,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,15,tail,30,10,21,8,13,0.6190476190476191,-0.23809523809523808,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,16,head,6,2,3,0,3,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,16,tail,6,2,4,2,2,0.5,0.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,17,head,60,20,57,23,34,0.5964912280701754,-0.19298245614035087,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,17,tail,60,20,44,27,17,0.6136363636363636,0.22727272727272727,True,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,18,head,18,6,7,1,6,0.8571428571428571,-0.7142857142857143,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,18,tail,18,6,12,5,7,0.5833333333333334,-0.16666666666666666,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,19,head,3,1,3,0,3,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,19,tail,3,1,0,0,0,,,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,20,head,3,1,3,0,3,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,20,tail,3,1,2,0,2,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,21,head,9,3,3,2,1,0.6666666666666666,0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,21,tail,9,3,3,3,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,22,head,6,2,6,1,5,0.8333333333333334,-0.6666666666666666,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,22,tail,6,2,4,0,4,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,23,head,21,7,19,3,16,0.8421052631578947,-0.6842105263157895,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,23,tail,21,7,18,6,12,0.6666666666666666,-0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,24,head,3,1,1,0,1,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,24,tail,3,1,0,0,0,,,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,25,head,6,2,3,3,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_adamf,relation_x_direction,25,tail,6,2,3,2,1,0.6666666666666666,0.3333333333333333,False,60
